nama_gambar,mean,median,modus
10084_35_1_01272020_20_wrp.tiff,89.9515706343144,95.0,102
10084_35_1_01272020_80_wrp.tiff,67.73518728107008,70.0,70
10084_35_1_02222021_20_wrp.tiff,88.3517956590516,105.0,5
10084_35_1_02222021_80_wrp.tiff,72.87486243616424,85.0,6
10085_35_1_01272020_20_wrp.tiff,82.82178588469692,86.0,77
10085_35_1_01272020_80_wrp.tiff,64.00196140492868,65.0,63
10085_35_1_02222021_20_wrp.tiff,86.75803986263989,100.0,5
10085_35_1_02222021_80_wrp.tiff,70.8577941481497,82.0,6
10105_24_3_03012021_20_wrp.tiff,103.57608491653306,116.0,8
10105_24_3_03012021_80_wrp.tiff,91.26026210303655,101.0,104
10109_24_3_03012021_20_wrp.tiff,108.26751743242149,125.0,126
10109_24_3_03012021_80_wrp.tiff,95.96274601889479,108.0,109
10195_24_3_03012021_20_wrp.tiff,103.09328436702441,119.0,8
10195_24_3_03012021_80_wrp.tiff,90.21273789421305,102.0,109
10196_24_3_03012021_20_wrp.tiff,114.63149004030659,131.0,9
10196_24_3_03012021_80_wrp.tiff,99.42240043861591,112.0,118
10209_15_2_01142020_20_wrp.tiff,123.31659770726289,131.0,134
10209_15_2_01142020_80_wrp.tiff,195.34300160790312,211.0,255
10319_34_5_01202020_20_wrp.tiff,107.13398769945448,115.0,116
10319_34_5_01202020_80_wrp.tiff,128.97336908608568,137.0,136
10321_34_5_01202020_20_wrp.tiff,108.84265986749615,117.0,119
10321_34_5_01202020_80_wrp.tiff,128.69709105872204,137.0,137
10322_34_5_01202020_20_wrp.tiff,106.3007829098886,114.0,114
10322_34_5_01202020_80_wrp.tiff,124.93907078017321,133.0,135
10326_34_5_01202020_20_wrp.tiff,108.32945958107702,117.0,120
10326_34_5_01202020_80_wrp.tiff,127.384395168653,136.0,137
10327_34_5_01202020_20_wrp.tiff,101.84684595701239,109.0,111
10327_34_5_01202020_80_wrp.tiff,121.47395411482782,128.0,126
10328_34_5_01202020_20_wrp.tiff,99.36501106186863,105.0,101
10328_34_5_01202020_80_wrp.tiff,120.76565986734461,127.0,126
10329_34_5_01202020_80_wrp.tiff,126.58692208674768,135.0,136
10332_34_5_01202020_20_wrp.tiff,110.59012310347033,118.0,118
10332_34_5_01202020_80_wrp.tiff,129.84306932466603,139.0,139
10333_34_5_01202020_20_wrp.tiff,106.3619879848929,114.0,114
10333_34_5_01202020_80_wrp.tiff,125.80740937027913,134.0,136
2529_36_1_08062019_20_wrp.tiff,86.08428481852738,91.0,90
2529_36_1_08062019_80_wrp.tiff,103.42551166543753,111.0,115
2530_36_1_08062019_20_wrp.tiff,83.7304078973664,93.0,97
2530_36_1_08062019_80_wrp.tiff,100.27356883939042,110.0,113
2531_36_1_08062019_20_wrp.tiff,100.42383639846663,107.0,108
2531_36_1_08062019_80_wrp.tiff,116.17207448943175,126.0,132
2532_36_1_08062019_20_wrp.tiff,131.67940003862782,143.0,144
2532_36_1_08062019_80_wrp.tiff,101.88914022632528,109.0,112
2533_36_1_08062019_20_wrp.tiff,117.1221492473527,127.0,125
2533_36_1_08062019_80_wrp.tiff,102.2532872826342,110.0,111
2989_34_5_01202020_80_wrp.tiff,127.48715891157443,136.0,136
3159_30_4_12222015_20_wrp.tiff,116.76908200789325,125.0,121
3159_30_4_12222015_80_wrp.tiff,131.67096834783067,142.0,143
3160_30_4_12222015_20_wrp.tiff,114.24887391138708,124.0,129
3160_30_4_12222015_80_wrp.tiff,133.4391167313875,146.0,149
3161_38_2_12222015_20_wrp.tiff,109.68485114448013,120.0,125
3161_38_2_12222015_80_wrp.tiff,133.5873469880923,143.0,147
3179_24_2_02262021_20_wrp.tiff,101.98892923553404,120.0,122
3179_24_2_02262021_80_wrp.tiff,112.06545162854943,127.0,13
3185_38_2_12162015_20_wrp.tiff,109.76076132244843,119.0,126
3185_38_2_12162015_80_wrp.tiff,138.4340448390064,148.0,6
3186_38_2_12162015_20_wrp.tiff,98.01869884411819,107.0,115
3186_38_2_12162015_80_wrp.tiff,122.4126114295313,131.0,136
3187_38_2_12162015_20_wrp.tiff,102.85134435945464,112.0,117
3187_38_2_12162015_80_wrp.tiff,132.07633563516706,141.0,143
3188_38_2_12162015_20_wrp.tiff,108.78188863508865,119.0,128
3188_38_2_12162015_80_wrp.tiff,137.37794975425308,147.0,155
3189_38_2_12162015_20_wrp.tiff,94.91366125728811,104.0,111
3189_38_2_12162015_80_wrp.tiff,122.19051061037226,131.0,137
3190_38_2_12162015_20_wrp.tiff,108.72178836387694,118.0,127
3190_38_2_12162015_80_wrp.tiff,135.42874002346989,144.0,148
3191_38_2_12162015_20_wrp.tiff,103.01763907341628,109.0,112
3191_38_2_12162015_80_wrp.tiff,132.84964853895852,142.0,147
3195_30_4_12162015_20_wrp.tiff,117.43783233166684,126.0,127
3195_30_4_12162015_80_wrp.tiff,136.7706842357196,151.0,154
3197_30_4_12162015_20_wrp.tiff,126.68322020993092,137.0,142
3197_30_4_12162015_80_wrp.tiff,139.96792370537509,153.0,164
3199_30_4_12162015_20_wrp.tiff,126.80020278393333,137.0,146
3199_30_4_12162015_80_wrp.tiff,139.75468715914067,152.0,161
3201_30_4_12162015_20_wrp.tiff,104.40252437439064,110.0,128
3201_30_4_12162015_80_wrp.tiff,124.56735083672089,133.0,146
3236_24_4_02242021_20_wrp.tiff,88.26567242929168,92.0,92
3236_24_4_02242021_80_wrp.tiff,112.41791382046443,117.0,115
3237_24_4_02242021_20_wrp.tiff,88.79420358841062,94.0,96
3237_24_4_02242021_80_wrp.tiff,110.77522692208606,116.0,116
