nama_gambar,mean,median,modus,mean_relative
10084_35_1_01272020_20_wrp.tiff,89.9515706343144,95.0,102,0.4734293191254788
10084_35_1_01272020_80_wrp.tiff,67.73518728107008,70.0,70,0.37840886748989766
10084_35_1_02222021_20_wrp.tiff,88.3517956590516,105.0,5,0.4507744676459226
10084_35_1_02222021_80_wrp.tiff,72.87486243616424,85.0,6,0.3855812827289876
10085_35_1_01272020_20_wrp.tiff,82.82178588469692,86.0,77,0.45257806494122593
10085_35_1_01272020_80_wrp.tiff,64.00196140492868,65.0,63,0.3721044267706778
10085_35_1_02222021_20_wrp.tiff,86.75803986263989,100.0,5,0.44264306052141456
10085_35_1_02222021_80_wrp.tiff,70.8577941481497,82.0,6,0.3690510111863575
10105_24_3_03012021_20_wrp.tiff,103.57608491653306,116.0,8,0.5153039050548147
10105_24_3_03012021_80_wrp.tiff,91.26026210303655,101.0,104,0.48802279199223814
10109_24_3_03012021_20_wrp.tiff,108.26751743242149,125.0,126,0.5155596068185997
10109_24_3_03012021_80_wrp.tiff,95.96274601889479,108.0,109,0.46811095618744725
10195_24_3_03012021_20_wrp.tiff,103.09328436702441,119.0,8,0.5103627938936339
10195_24_3_03012021_80_wrp.tiff,90.21273789421305,102.0,109,0.4674235124028271
10196_24_3_03012021_20_wrp.tiff,114.63149004030659,131.0,9,0.5537753142017044
10196_24_3_03012021_80_wrp.tiff,99.42240043861591,112.0,118,0.5288425555217398
10209_15_2_01142020_20_wrp.tiff,123.31659770726289,131.0,134,0.5554801698500333
10209_15_2_01142020_80_wrp.tiff,195.34300160790312,211.0,255,0.7660509866946552
10319_34_5_01202020_20_wrp.tiff,107.13398769945448,115.0,116,0.5383617472307343
10319_34_5_01202020_80_wrp.tiff,128.97336908608568,137.0,136,0.5264219146349358
10321_34_5_01202020_20_wrp.tiff,108.84265986749615,117.0,119,0.5469480395324081
10321_34_5_01202020_80_wrp.tiff,128.69709105872204,137.0,137,0.5523480302925738
10322_34_5_01202020_20_wrp.tiff,106.3007829098886,114.0,114,0.5315039145467855
10322_34_5_01202020_80_wrp.tiff,124.93907078017321,133.0,135,0.5455854619197713
10326_34_5_01202020_20_wrp.tiff,108.32945958107702,117.0,120,0.5443691436207672
10326_34_5_01202020_80_wrp.tiff,127.384395168653,136.0,137,0.5307683132005093
10327_34_5_01202020_20_wrp.tiff,101.84684595701239,109.0,111,0.5169890657690123
10327_34_5_01202020_80_wrp.tiff,121.47395411482782,128.0,126,0.5169104430396209
10328_34_5_01202020_20_wrp.tiff,99.36501106186863,105.0,101,0.5069643421498045
10328_34_5_01202020_80_wrp.tiff,120.76565986734461,127.0,126,0.4889297970318044
10329_34_5_01202020_80_wrp.tiff,126.58692208674768,135.0,136,0.5209338357457891
10332_34_5_01202020_20_wrp.tiff,110.59012310347033,118.0,118,0.5501996174274634
10332_34_5_01202020_80_wrp.tiff,129.84306932466603,139.0,139,0.529971711527086
10333_34_5_01202020_20_wrp.tiff,106.3619879848929,114.0,114,0.5318099399218055
10333_34_5_01202020_80_wrp.tiff,125.80740937027913,134.0,136,0.5641587864112779
2529_36_1_08062019_20_wrp.tiff,86.08428481852738,91.0,90,0.475603783525148
2529_36_1_08062019_80_wrp.tiff,103.42551166543753,111.0,115,0.5530776024860131
2530_36_1_08062019_20_wrp.tiff,83.7304078973664,93.0,97,0.4293867071637796
2530_36_1_08062019_80_wrp.tiff,100.27356883939042,110.0,113,0.5391052088110286
2531_36_1_08062019_20_wrp.tiff,100.42383639846663,107.0,108,0.5203307585385819
2531_36_1_08062019_80_wrp.tiff,116.17207448943175,126.0,132,0.5779705198450437
2532_36_1_08062019_20_wrp.tiff,131.67940003862782,143.0,144,0.6040339451285495
2532_36_1_08062019_80_wrp.tiff,101.88914022632528,109.0,112,0.550752109328511
2533_36_1_08062019_20_wrp.tiff,117.1221492473527,127.0,125,0.5856107462338355
2533_36_1_08062019_80_wrp.tiff,102.2532872826342,110.0,111,0.552720471795035
2989_34_5_01202020_80_wrp.tiff,127.48715891157443,136.0,136,0.5379205017343313
3159_30_4_12222015_20_wrp.tiff,116.76908200789325,125.0,121,0.5189736978105524
3159_30_4_12222015_80_wrp.tiff,131.67096834783067,142.0,143,0.5163567386169189
3160_30_4_12222015_20_wrp.tiff,114.24887391138708,124.0,129,0.6013098626883462
3160_30_4_12222015_80_wrp.tiff,133.4391167313875,146.0,149,0.5536892810408042
3161_38_2_12222015_20_wrp.tiff,109.68485114448013,120.0,125,0.5376708389408945
3161_38_2_12222015_80_wrp.tiff,133.5873469880923,143.0,147,0.5238719489708565
3179_24_2_02262021_20_wrp.tiff,101.98892923553404,120.0,122,0.5024085183991707
3179_24_2_02262021_80_wrp.tiff,112.06545162854943,127.0,13,0.5212346587350148
3185_38_2_12162015_20_wrp.tiff,109.76076132244843,119.0,126,0.5251711068034606
3185_38_2_12162015_80_wrp.tiff,138.4340448390064,148.0,6,0.5428786072096609
3186_38_2_12162015_20_wrp.tiff,98.01869884411819,107.0,115,0.48048381786096916
3186_38_2_12162015_80_wrp.tiff,122.4126114295313,131.0,136,0.5058372373100226
3187_38_2_12162015_20_wrp.tiff,102.85134435945464,112.0,117,0.49447761711038546
3187_38_2_12162015_80_wrp.tiff,132.07633563516706,141.0,143,0.5179464142535259
3188_38_2_12162015_20_wrp.tiff,108.78188863508865,119.0,128,0.5255163702152809
3188_38_2_12162015_80_wrp.tiff,137.37794975425308,147.0,155,0.5387370578577033
