,V,I
0,-0.24915,8.7496
1,-0.21178,8.7516
2,-0.18998,8.7506
3,-0.16506,8.7478
4,-0.11523,8.7492
5,-0.093432,8.7443
6,-0.071631,8.751
7,-0.040487,8.7495
8,0.012458,8.7441
9,0.018686,8.7467
10,0.071631,8.7525
11,0.096546,8.7538
12,0.13392,8.7552
13,0.19309,8.7516
14,0.20244,8.7454
15,0.28964,8.7366
16,0.29275,8.7479
17,0.35504,8.7511
18,0.39864,8.7517
19,0.42667,8.7471
20,0.50142,8.746
21,0.54502,8.7396
22,0.60419,8.7442
23,0.61976,8.7459
24,0.68828,8.7508
25,0.73188,8.7463
26,0.7786,8.7452
27,0.84711,8.7414
28,0.88137,8.7409
29,0.95612,8.7439
30,0.99972,8.7474
31,1.0558,8.7488
32,1.1181,8.744
33,1.1586,8.7393
34,1.2426,8.7401
35,1.2987,8.7357
36,1.3454,8.7407
37,1.4108,8.7466
38,1.4793,8.7445
39,1.5354,8.744
40,1.5946,8.7429
41,1.6506,8.7329
42,1.7378,8.7398
43,1.7877,8.7385
44,1.8437,8.7387
45,1.9216,8.7423
46,1.9776,8.744
47,2.0742,8.7449
48,2.1147,8.7407
49,2.2206,8.7377
50,2.2673,8.7365
51,2.3545,8.7392
52,2.4261,8.7397
53,2.5133,8.7362
54,2.5787,8.7432
55,2.6597,8.7357
56,2.75,8.7319
57,2.803,8.7373
58,2.8933,8.7392
59,2.9929,8.7349
60,3.0365,8.7426
61,3.158,8.7365
62,3.2421,8.7311
63,3.348,8.7207
64,3.404,8.7334
65,3.5099,8.7375
66,3.6034,8.7369
67,3.703,8.7368
68,3.7964,8.7287
69,3.9054,8.7257
70,3.9802,8.7227
71,4.0674,8.7258
72,4.1702,8.7303
73,4.2325,8.7303
74,4.3165,8.739
75,4.4256,8.7298
76,4.519,8.7235
77,4.6062,8.7276
78,4.6934,8.7238
79,4.7868,8.7356
80,4.8647,8.7237
81,4.9737,8.7315
82,5.0578,8.7225
83,5.1823,8.724
84,5.2384,8.7234
85,5.3256,8.7259
86,5.4284,8.7233
87,5.5,8.7229
88,5.5966,8.7162
89,5.6495,8.7269
90,5.771,8.722
91,5.8333,8.7255
92,5.9298,8.7242
93,6.0263,8.7184
94,6.1011,8.7241
95,6.2194,8.7199
96,6.3066,8.7091
97,6.397,8.7191
98,6.481,8.7146
99,6.5651,8.7203
100,6.6679,8.7106
101,6.752,8.7123
102,6.8143,8.7158
103,6.9015,8.713
104,6.9731,8.7127
105,7.0448,8.7106
106,7.1288,8.7093
107,7.2067,8.7119
108,7.2846,8.7082
109,7.3406,8.7165
110,7.4372,8.7095
111,7.4932,8.705
112,7.5711,8.7066
113,7.6458,8.704
114,7.6957,8.7049
115,7.7829,8.7043
116,7.8296,8.6955
117,7.895,8.7004
118,7.9261,8.7082
119,7.9417,8.7081
120,8.0476,8.7013
121,8.0289,8.7014
122,8.0943,8.7019
123,8.1348,8.698
124,8.1877,8.6989
125,8.2095,8.6991
126,8.2531,8.6988
