,V,I
0,-0.24296,9.454
1,-0.24608,9.4503
2,-0.23362,9.4429
3,-0.18689,9.4412
4,-0.18378,9.4463
5,-0.17755,9.4391
6,-0.19312,9.4421
7,-0.18378,9.4493
8,-0.1682,9.4538
9,-0.15886,9.4506
10,-0.14951,9.4429
11,-0.1246,9.431
12,-0.10902,9.4356
13,-0.10279,9.4429
14,-0.10591,9.4467
15,-0.10902,9.4453
16,-0.077872,9.4384
17,-0.043608,9.4375
18,-0.021804,9.4406
19,-0.043608,9.4355
20,-0.024919,9.4413
21,-0.028034,9.4432
22,-0.0031149,9.447
23,0.01246,9.4418
24,0.021804,9.4357
25,0.024919,9.4341
26,0.077872,9.4431
27,0.065412,9.4418
28,0.077872,9.4338
29,0.074757,9.4353
30,0.11837,9.4396
31,0.12148,9.4471
32,0.16509,9.4484
33,0.15574,9.4426
34,0.17755,9.4317
35,0.18689,9.4329
36,0.22739,9.4286
37,0.22116,9.4338
38,0.28034,9.4376
39,0.27411,9.4447
40,0.29903,9.4373
41,0.30526,9.4352
42,0.32706,9.4325
43,0.34575,9.4416
44,0.38624,9.4421
45,0.40182,9.4414
46,0.44854,9.4359
47,0.44543,9.4388
48,0.47969,9.439
49,0.50461,9.4357
50,0.5233,9.4418
51,0.5856,9.4341
52,0.63232,9.4324
53,0.6697,9.4277
54,0.6915,9.4344
55,0.71642,9.4325
56,0.73823,9.4373
57,0.77249,9.4324
58,0.80675,9.4331
59,0.86594,9.4282
60,0.88462,9.4412
61,0.91889,9.4409
62,0.94692,9.4426
63,0.9625,9.4409
64,1.0217,9.437
65,1.0497,9.4317
66,1.112,9.4353
67,1.165,9.4392
68,1.2055,9.4379
69,1.2397,9.438
70,1.2646,9.44
71,1.3145,9.4283
72,1.3861,9.4267
73,1.4453,9.4425
74,1.4889,9.4408
75,1.5419,9.4418
76,1.5917,9.4368
77,1.6602,9.4204
78,1.7225,9.4314
79,1.7755,9.4296
80,1.8191,9.4335
81,1.8938,9.4383
82,1.9593,9.429
83,1.9966,9.4322
84,2.0527,9.4293
85,2.1119,9.4275
86,2.1742,9.437
87,2.2552,9.4357
88,2.3019,9.4296
89,2.3735,9.4312
90,2.4421,9.4235
91,2.5075,9.4345
92,2.5916,9.4397
93,2.657,9.4375
94,2.738,9.4255
95,2.8127,9.4239
96,2.8626,9.4274
97,2.9155,9.4328
98,2.9903,9.4406
99,3.0526,9.444
100,3.1211,9.4364
101,3.1959,9.4297
102,3.2831,9.4348
103,3.3547,9.4255
104,3.4451,9.4323
105,3.5136,9.4241
106,3.5915,9.4258
107,3.6818,9.4262
108,3.7565,9.434
109,3.8126,9.4371
110,3.9061,9.4328
111,3.9746,9.4337
112,4.0525,9.425
113,4.1334,9.4215
114,4.2238,9.4227
115,4.2861,9.4363
116,4.3982,9.4407
117,4.4636,9.4406
118,4.5695,9.4238
119,4.6474,9.4216
120,4.7658,9.4147
121,4.8343,9.4232
122,4.9495,9.4265
123,5.0087,9.4192
124,5.0959,9.4256
125,5.1489,9.4276
126,5.2299,9.4261
127,5.3077,9.4326
128,5.4168,9.4316
129,5.5133,9.4301
130,5.5974,9.4236
131,5.6597,9.4198
132,5.7251,9.4251
133,5.8248,9.4329
134,5.8902,9.442
135,5.9743,9.4343
136,6.074,9.4264
137,6.1643,9.4187
138,6.2547,9.4195
139,6.3325,9.4206
140,6.3917,9.4245
141,6.4696,9.4206
142,6.5755,9.4242
143,6.6596,9.4248
144,6.7375,9.4235
145,6.8403,9.4221
146,6.915,9.4233
147,6.9804,9.4234
148,7.0677,9.4272
149,7.13,9.416
150,7.2078,9.4228
151,7.2857,9.418
152,7.3698,9.4221
153,7.4228,9.422
154,7.4913,9.419
155,7.5723,9.4142
156,7.6221,9.4178
157,7.6813,9.4225
158,7.7716,9.424
159,7.8401,9.4262
160,7.8993,9.4114
161,7.9647,9.4012
162,8.0208,9.4097
163,8.0675,9.4254
164,8.1143,9.4188
165,8.1703,9.4205
166,8.1828,9.4194
167,8.242,9.4163
168,8.3136,9.4175
169,8.3261,9.4303
170,8.4008,9.4209
171,8.4693,9.4168
172,8.513,9.4111
173,8.5535,9.4067
174,8.6033,9.4064
175,8.6313,9.416
176,8.678,9.4209
177,8.7279,9.4242
178,8.7684,9.4185
179,8.8244,9.4098
180,8.8618,9.4088
181,8.9241,9.4111
182,8.9397,9.4164
183,8.9864,9.4237
184,9.03,9.4203
185,9.0736,9.4162
186,9.1017,9.4125
187,9.1235,9.4053
188,9.164,9.4004
189,9.1702,9.4088
190,9.1951,9.4007
191,9.1982,9.3984
192,9.192,9.4051
193,9.2138,9.4031
194,9.2543,9.4051
195,9.2076,9.4113
196,9.2076,9.4053
197,9.2013,9.4054
198,9.2107,9.4066
199,9.1951,9.41
200,9.1982,9.4151
201,9.1795,9.4133
202,9.1951,9.4006
203,9.1889,9.4049
204,9.1858,9.4072
205,9.1671,9.4127
206,9.1951,9.4112
207,9.192,9.4123
208,9.2169,9.4079
209,9.2138,9.3993
210,9.2045,9.4006
211,9.2013,9.3983
212,9.2138,9.407
213,9.2076,9.4085
214,9.22,9.3973
215,9.2138,9.4046
216,9.2138,9.404
217,9.22,9.4123
218,9.2045,9.4221
219,9.2107,9.4141
220,9.2294,9.4026
221,9.2356,9.396
222,9.2636,9.3951
223,9.2574,9.4022
224,9.245,9.409
225,9.2294,9.406
226,9.2263,9.4095
227,9.2325,9.3953
228,9.2512,9.4044
229,9.2481,9.3957
230,9.2418,9.4037
231,9.2574,9.402
232,9.2356,9.4086
233,9.2294,9.4064
234,9.22,9.4105
235,9.2263,9.4058
236,9.2387,9.4048
237,9.2636,9.3948
238,9.2387,9.4028
239,9.2356,9.3929
240,9.2481,9.3914
241,9.22,9.4089
242,9.245,9.4127
243,9.2481,9.4033
244,9.2636,9.3977
245,9.2761,9.3876
246,9.2792,9.3893
247,9.2699,9.4032
248,9.2699,9.4011
249,9.273,9.4046
250,9.2699,9.4006
251,9.273,9.3957
252,9.2792,9.3966
