,V,I
0,-0.2305,6.0134
1,-0.22739,6.0155
2,-0.20558,6.0149
3,-0.16197,6.0095
4,-0.14328,6.0121
5,-0.11214,6.0109
6,-0.068527,6.0114
7,-0.01246,6.013
8,0.031149,6.0138
9,0.080987,6.0123
10,0.15886,6.0078
11,0.18689,6.0122
12,0.25542,6.009
13,0.29591,6.0137
14,0.34887,6.0116
15,0.39559,6.0088
16,0.47346,6.0082
17,0.54199,6.0073
18,0.59494,6.0132
19,0.65412,6.0098
20,0.74446,6.0088
21,0.79429,6.0115
22,0.87217,6.0117
23,0.92823,6.015
24,0.99365,6.013
25,1.0715,6.0077
26,1.1338,6.0116
27,1.221,6.0058
28,1.3145,6.0074
29,1.383,6.0095
30,1.4546,6.0122
31,1.5606,6.0115
32,1.626,6.0112
33,1.7256,6.0097
34,1.8129,6.009
35,1.9375,6.0107
36,2.0153,6.0089
37,2.1555,5.9989
38,2.2271,6.0083
39,2.3299,6.0076
40,2.4421,6.0079
41,2.5449,6.0071
42,2.6414,6.008
43,2.7473,6.0075
44,2.8595,6.0081
45,2.956,6.0128
46,3.037,6.0045
47,3.1616,6.0057
48,3.2924,6.0048
49,3.4108,6.0068
50,3.5229,6.0067
51,3.6257,6.0093
52,3.741,6.0061
53,3.8656,6.0035
54,3.987,6.0031
55,4.1116,6.0066
56,4.2736,6.0013
57,4.3889,6.0053
58,4.5135,6.0067
59,4.6567,6.0014
60,4.8156,6.0026
61,4.9308,6.0019
62,5.0866,6.0066
63,5.2081,6.0052
64,5.3576,6.0011
65,5.4697,6.0028
66,5.6566,6.0022
67,5.7874,6.0054
68,5.9245,6.0058
69,6.0865,6.0034
70,6.236,6.0072
71,6.3575,6.0037
72,6.5257,6.0045
73,6.6814,6.003
74,6.8029,6.0052
75,6.968,6.0027
76,7.1424,6.0003
77,7.3075,5.9997
78,7.4446,6.0033
79,7.6377,6.0003
80,7.7903,6.0059
81,7.9429,6.0014
82,8.1018,6.0037
83,8.298,6.0059
84,8.4849,6.0039
85,8.6843,5.9988
86,8.8681,5.9979
87,9.0892,5.9989
88,9.2543,5.9989
89,9.4599,6.0008
90,9.6499,5.9996
91,9.8274,6.0025
92,9.9925,6.0026
93,10.173,6.0022
94,10.351,6.002
95,10.519,6.0008
96,10.712,5.9931
97,10.893,5.9993
98,11.058,5.9996
99,11.229,6.0034
100,11.41,5.9991
101,11.584,6.0005
102,11.743,6.002
103,11.958,5.9934
104,12.179,5.9994
105,12.357,5.9965
106,12.565,5.998
107,12.762,5.9944
108,12.961,5.9957
109,13.104,5.9974
110,13.332,5.9955
111,13.5,5.9976
112,13.662,5.9961
113,13.827,5.9947
114,13.995,5.9954
115,14.142,5.9968
116,14.328,5.9967
117,14.515,5.997
118,14.693,5.9958
119,14.83,5.9983
120,15.004,5.9981
121,15.169,5.9934
122,15.294,5.9958
123,15.459,5.9997
124,15.637,5.9948
125,15.796,5.9911
126,15.976,5.9918
127,16.144,5.9909
128,16.294,5.9911
129,16.443,5.9891
130,16.549,6.0005
131,16.686,5.9988
