,V,I
0,-0.24919,9.0424
1,-0.22739,9.0541
2,-0.21493,9.0531
3,-0.20247,9.0383
4,-0.19001,9.0489
5,-0.19001,9.0427
6,-0.18689,9.0522
7,-0.1682,9.0499
8,-0.14328,9.0551
9,-0.12771,9.0552
10,-0.090331,9.0487
11,-0.099676,9.0563
12,-0.077872,9.0426
13,-0.068527,9.0445
14,-0.046723,9.0423
15,-0.01246,9.0328
16,0.01246,9.0388
17,0.015574,9.0423
18,0.015574,9.0471
19,0.031149,9.0468
20,0.049838,9.0474
21,0.065412,9.0591
22,0.10591,9.0494
23,0.11525,9.0523
24,0.12771,9.0435
25,0.18066,9.0384
26,0.17132,9.0431
27,0.2087,9.0312
28,0.23673,9.0404
29,0.25853,9.0449
30,0.30526,9.0514
31,0.31149,9.0445
32,0.3551,9.0465
33,0.35198,9.0506
34,0.41116,9.0372
35,0.4392,9.0432
36,0.47658,9.0295
37,0.48904,9.0403
38,0.51707,9.0473
39,0.57002,9.0368
40,0.57937,9.0359
41,0.62609,9.0397
42,0.64478,9.0423
43,0.66347,9.0419
44,0.70396,9.0464
45,0.73823,9.0486
46,0.77249,9.0426
47,0.79118,9.0352
48,0.84413,9.0286
49,0.88774,9.0455
50,0.91577,9.0407
51,0.98119,9.0393
52,1.0061,9.038
53,1.0186,9.0457
54,1.084,9.0381
55,1.14,9.0401
56,1.1743,9.0428
57,1.2055,9.0423
58,1.2678,9.0344
59,1.2896,9.0402
60,1.3394,9.0291
61,1.4017,9.0378
62,1.4484,9.0346
63,1.4609,9.022
64,1.5045,9.0361
65,1.5606,9.0425
66,1.5886,9.0476
67,1.6415,9.0351
68,1.707,9.0377
69,1.7225,9.0386
70,1.7911,9.0325
71,1.8347,9.0368
72,1.8658,9.0371
73,1.9343,9.0383
74,1.9748,9.0356
75,2.0434,9.0271
76,2.0994,9.0267
77,2.1648,9.0251
78,2.2084,9.0352
79,2.2645,9.039
80,2.3268,9.0373
81,2.386,9.0412
82,2.4452,9.0295
83,2.5012,9.0287
84,2.5511,9.0247
