,V,I
0,-0.24608,8.8537
1,-0.23362,8.8677
2,-0.23673,8.8697
3,-0.21804,8.8717
4,-0.21493,8.8677
5,-0.2087,8.8624
6,-0.18689,8.8567
7,-0.17132,8.8563
8,-0.17443,8.8626
9,-0.15574,8.8654
10,-0.14951,8.8664
11,-0.14951,8.8645
12,-0.11525,8.854
13,-0.084102,8.8545
14,-0.093446,8.8614
15,-0.062298,8.859
16,-0.052953,8.869
17,-0.031149,8.8647
18,-0.015574,8.8599
19,0.0,8.8573
20,0.018689,8.8585
21,0.037379,8.8622
22,0.074757,8.8663
23,0.090331,8.8567
24,0.093446,8.8585
25,0.11837,8.8501
26,0.14328,8.853
27,0.16509,8.8644
28,0.18378,8.8681
29,0.19935,8.8617
30,0.24296,8.8482
31,0.25853,8.8552
32,0.3146,8.8555
33,0.32395,8.8582
34,0.36444,8.856
35,0.37379,8.8479
36,0.43297,8.8518
37,0.45477,8.8604
38,0.47658,8.8618
39,0.50461,8.8585
40,0.54199,8.8558
41,0.57937,8.8518
42,0.64789,8.8465
43,0.6697,8.8583
44,0.70396,8.8587
45,0.77249,8.8492
46,0.79741,8.8596
47,0.84102,8.8509
48,0.89397,8.8464
49,0.93446,8.8492
50,0.96873,8.8536
51,1.0466,8.8469
52,1.0777,8.8579
53,1.1027,8.8534
54,1.1494,8.8531
55,1.1992,8.8519
56,1.2366,8.8555
57,1.2927,8.8536
58,1.3394,8.853
59,1.383,8.8551
60,1.4391,8.8346
61,1.492,8.8396
62,1.5325,8.8436
63,1.5855,8.8566
64,1.6415,8.8477
65,1.6851,8.8492
66,1.7194,8.8385
67,1.7911,8.8434
68,1.8097,8.8454
69,1.8689,8.8544
70,1.9156,8.85
71,1.9904,8.8458
72,2.0184,8.8446
73,2.0994,8.845
74,2.1212,8.8414
75,2.168,8.8414
76,2.2084,8.8478
77,2.2676,8.836
78,2.3081,8.8396
79,2.358,8.8447
80,2.386,8.8483
81,2.4483,8.848
82,2.4919,8.8473
83,2.5667,8.8452
84,2.6009,8.8363
85,2.6508,8.8389
86,2.6819,8.8397
87,2.7473,8.8478
88,2.7722,8.8512
89,2.8127,8.8507
90,2.8501,8.8355
91,2.9342,8.8423
92,2.9841,8.8373
93,3.0557,8.8387
94,3.0713,8.8487
95,3.118,8.8461
96,3.1865,8.8328
97,3.2582,8.8441
98,3.2924,8.8441
99,3.3547,8.8442
100,3.4108,8.8362
101,3.4731,8.8322
102,3.5416,8.8326
103,3.5915,8.8391
104,3.6288,8.8415
105,3.6911,8.8438
106,3.7659,8.8448
107,3.8188,8.8466
108,3.8749,8.8375
109,3.9372,8.8333
110,3.9964,8.8358
111,4.0587,8.8401
112,4.1708,8.8365
113,4.1957,8.8429
114,4.2612,8.828
115,4.3421,8.8265
116,4.392,8.8425
117,4.4512,8.8429
118,4.529,8.8424
119,4.6038,8.8391
120,4.663,8.8294
121,4.7595,8.8309
122,4.8312,8.8392
123,4.9122,8.8394
124,4.9713,8.8364
125,5.0523,8.8327
126,5.124,8.8297
127,5.2081,8.8272
128,5.2673,8.8321
129,5.3482,8.8351
130,5.4168,8.839
131,5.4728,8.8342
132,5.5538,8.8357
133,5.6286,8.8347
134,5.7127,8.8366
135,5.7719,8.8328
136,5.8435,8.8349
137,5.912,8.8315
138,5.9899,8.8308
139,6.0553,8.8324
140,6.1176,8.8291
141,6.1924,8.8322
142,6.2765,8.8362
143,6.3357,8.8357
144,6.4042,8.83
145,6.4478,8.83
146,6.5132,8.8286
147,6.588,8.824
148,6.6565,8.8418
149,6.7219,8.8331
150,6.778,8.8273
151,6.8745,8.8239
152,6.9306,8.8319
153,7.0085,8.8281
154,7.077,8.8325
155,7.1268,8.8253
156,7.1736,8.822
157,7.2483,8.8283
158,7.2826,8.8441
159,7.3386,8.8421
160,7.4009,8.831
161,7.485,8.8262
162,7.5505,8.8196
163,7.6128,8.8248
164,7.6501,8.8343
165,7.6937,8.8362
166,7.7623,8.8262
167,7.8277,8.8293
168,7.89,8.82
169,7.9616,8.8251
170,8.0146,8.8209
171,8.0738,8.8265
172,8.1547,8.8259
173,8.2046,8.8254
174,8.2357,8.8208
175,8.2887,8.8253
176,8.351,8.8248
177,8.3977,8.832
178,8.4507,8.8266
179,8.5254,8.8137
180,8.5659,8.8139
181,8.6376,8.8103
182,8.6874,8.8075
183,8.7217,8.8251
184,8.7497,8.8238
185,8.8026,8.8195
186,8.8151,8.8143
187,8.8587,8.8147
188,8.8836,8.8121
189,8.9272,8.8159
190,8.9584,8.8155
191,8.9802,8.8178
192,8.9958,8.8154
193,9.0331,8.8157
194,9.0363,8.8203
195,9.0612,8.8204
196,9.083,8.8138
197,9.1048,8.8121
198,9.1297,8.8142
199,9.1577,8.8138
200,9.1515,8.8226
201,9.1733,8.824
202,9.2138,8.8141
203,9.2294,8.8105
204,9.2668,8.8133
205,9.2574,8.8148
206,9.2854,8.819
207,9.2823,8.8163
208,9.3291,8.8192
209,9.3353,8.8134
210,9.3197,8.8133
211,9.3415,8.8154
212,9.3695,8.8232
213,9.3758,8.8221
214,9.41,8.8138
215,9.3945,8.8139
216,9.41,8.8099
217,9.4505,8.7943
218,9.4723,8.8169
219,9.4848,8.8197
220,9.5097,8.8204
221,9.5222,8.8092
222,9.5471,8.8106
223,9.5751,8.8127
224,9.6032,8.8165
225,9.6063,8.8158
226,9.6281,8.8185
227,9.653,8.8165
228,9.6748,8.8203
229,9.7028,8.8151
230,9.7246,8.8123
231,9.7714,8.8145
232,9.8087,8.8068
233,9.8243,8.8196
234,9.8399,8.8168
235,9.8461,8.8118
236,9.8866,8.8129
237,9.8897,8.8209
238,9.9365,8.8189
239,9.9769,8.8147
240,10.014,8.8061
241,10.03,8.811
242,10.07,8.8136
243,10.108,8.8195
244,10.142,8.8136
245,10.183,8.8095
246,10.229,8.8033
247,10.273,8.8078
248,10.31,8.8134
249,10.366,8.8084
250,10.388,8.8117
251,10.454,8.8115
252,10.482,8.8048
253,10.531,8.8085
254,10.578,8.8115
255,10.631,8.813
256,10.644,8.8123
257,10.709,8.804
258,10.743,8.8074
259,10.802,8.8036
260,10.843,8.813
261,10.883,8.8166
262,10.915,8.8123
263,10.967,8.8112
264,10.992,8.8083
265,11.033,8.8093
266,11.067,8.8094
267,11.117,8.8105
268,11.17,8.802
269,11.22,8.8138
270,11.242,8.8081
271,11.288,8.8086
272,11.329,8.8066
273,11.397,8.81
274,11.438,8.8118
275,11.472,8.8061
276,11.491,8.8071
277,11.534,8.8044
278,11.562,8.8117
279,11.609,8.8137
280,11.618,8.8147
281,11.687,8.8019
282,11.731,8.8008
283,11.784,8.8018
284,11.827,8.8074
285,11.837,8.8073
286,11.88,8.8099
287,11.946,8.7999
288,11.977,8.8033
289,12.014,8.8023
290,12.055,8.8102
291,12.067,8.8129
292,12.104,8.8097
293,12.139,8.8072
294,12.17,8.8051
295,12.192,8.8036
296,12.229,8.805
297,12.269,8.8152
298,12.298,8.8133
299,12.335,8.8044
300,12.35,8.8052
301,12.394,8.8056
302,12.438,8.8059
303,12.469,8.808
304,12.475,8.8148
305,12.506,8.8068
306,12.553,8.8043
307,12.565,8.7994
308,12.615,8.8051
309,12.656,8.8037
310,12.699,8.8015
311,12.712,8.8002
312,12.737,8.8063
313,12.749,8.8101
314,12.799,8.8058
315,12.818,8.8025
316,12.855,8.7995
317,12.874,8.8022
318,12.908,8.7999
319,12.927,8.8013
320,12.942,8.8051
321,12.98,8.8037
322,12.998,8.8071
323,13.036,8.8087
324,13.076,8.7979
325,13.132,8.7967
326,13.154,8.8069
327,13.204,8.8053
328,13.235,8.8041
329,13.297,8.7998
330,13.304,8.7998
331,13.341,8.8027
332,13.363,8.8106
333,13.419,8.8139
334,13.456,8.8007
335,13.503,8.7933
336,13.522,8.7983
337,13.565,8.7982
338,13.606,8.7982
339,13.634,8.8151
340,13.659,8.8085
341,13.702,8.7997
342,13.715,8.7973
343,13.765,8.8007
344,13.805,8.7954
345,13.827,8.8027
346,13.849,8.7962
347,13.886,8.8026
348,13.914,8.7992
349,13.958,8.8005
350,13.983,8.7975
351,14.045,8.7957
352,14.064,8.8005
353,14.123,8.7962
354,14.129,8.796
355,14.163,8.8014
356,14.182,8.797
357,14.263,8.7968
358,14.241,8.807
359,14.304,8.7956
360,14.325,8.795
361,14.363,8.7967
362,14.388,8.8024
363,14.416,8.8018
364,14.428,8.8067
365,14.462,8.8054
366,14.506,8.7985
367,14.54,8.8009
368,14.578,8.8007
369,14.599,8.7982
370,14.627,8.7943
371,14.64,8.7984
372,14.671,8.7992
373,14.696,8.8058
374,14.724,8.7967
375,14.771,8.8023
376,14.824,8.7987
377,14.852,8.7958
378,14.895,8.7889
379,14.902,8.796
380,14.933,8.8018
381,14.939,8.8055
382,14.964,8.8112
383,14.986,8.7998
384,15.039,8.7963
385,15.079,8.7837
386,15.16,8.7915
387,15.176,8.7984
388,15.226,8.7973
389,15.282,8.7845
