,V,I
0,26.439,6.4846
1,26.022,6.4905
2,25.1,6.0791
3,23.209,6.0637
4,21.452,6.0673
5,19.711,6.0575
6,17.945,6.0463
7,16.207,6.0436
8,14.487,6.0467
9,12.843,6.0463
10,11.531,6.1582
11,9.9988,6.0867
12,8.5721,6.071
13,7.2265,6.061
14,5.9556,6.0495
15,4.7159,6.0477
16,3.5541,6.0427
17,2.4732,6.0378
18,1.4297,6.0404
19,0.47969,6.0365
20,-0.19624,6.0028
21,-0.17443,6.005
22,-0.14328,6.0013
23,-0.10591,6.0028
24,-0.077872,6.006
25,-0.052953,6.0006
26,-0.015574,6.0013
27,0.024919,6.002
28,0.059183,6.0033
29,0.084102,6.0045
30,0.14017,6.0059
31,0.16509,6.007
32,0.20558,6.0056
33,0.28657,6.0025
34,0.29903,6.0037
35,0.33641,6.0025
36,0.3987,6.0028
37,0.46723,5.9975
38,0.51707,6.0005
39,0.58248,5.9976
40,0.6697,6.0048
41,0.69773,6.0059
42,0.80052,5.9987
43,0.8379,6.0041
44,0.90954,5.9996
45,0.97496,6.0023
46,1.0435,5.9996
47,1.112,6.0017
48,1.1681,6.0024
49,1.246,5.9989
50,1.3114,6.004
51,1.3674,6.0053
52,1.4515,6.0015
53,1.5419,6.0009
54,1.6353,6.0015
55,1.7007,6.0014
56,1.7942,6.0026
57,1.8783,5.9999
58,1.9655,5.9986
59,2.0496,5.9999
60,2.1617,6.0013
61,2.2396,6.0031
62,2.3112,6.002
63,2.3953,6.0013
64,2.5044,5.998
65,2.604,6.0031
66,2.7099,5.9972
67,2.8283,5.9967
68,2.9249,6.002
69,3.0214,5.9985
70,3.1336,5.9989
71,3.2146,6.0025
72,3.3049,6.0052
73,3.4201,6.0018
74,3.5385,6.0022
75,3.6506,5.9984
76,3.7939,5.9934
77,3.9403,5.9974
78,4.0649,5.9995
79,4.1926,5.9996
80,4.339,6.0004
81,4.4823,5.9989
82,4.6194,6.0014
83,4.7533,5.9995
84,4.881,5.9961
85,4.9931,5.9972
86,5.1333,5.9964
87,5.2486,6.0005
88,5.3919,5.9993
89,5.5414,5.9982
90,5.666,5.9992
91,5.8092,6.0007
92,5.9463,6.0005
93,6.102,6.0002
94,6.2609,5.9993
95,6.4073,5.9943
96,6.5724,5.9958
97,6.7406,5.9966
98,6.8901,5.9943
99,7.0677,5.9966
100,7.2327,5.997
101,7.3947,5.9942
102,7.5442,5.9968
103,7.6875,6.0028
104,7.8308,5.9973
105,7.9865,5.9923
106,8.1361,5.9943
107,8.2607,5.9978
108,8.4289,5.9933
109,8.5908,5.9933
110,8.7248,5.9975
111,8.8618,5.999
112,9.0518,5.9948
113,9.1609,5.9992
114,9.3446,5.9941
115,9.5191,5.9912
116,9.6748,5.9944
117,9.8212,5.995
118,9.9894,5.9899
119,10.133,5.995
120,10.27,5.9961
121,10.441,5.9949
122,10.575,5.9994
123,10.725,5.9942
124,10.893,5.9968
125,11.064,5.9898
126,11.245,5.993
127,11.385,5.9961
128,11.566,5.9943
129,11.74,5.9891
130,11.905,5.9873
131,12.051,5.9937
132,12.176,5.9954
133,12.335,5.9915
134,12.444,5.9945
135,12.603,5.991
136,12.759,5.9938
137,12.936,5.9885
138,13.076,5.9888
139,13.204,5.991
140,13.341,5.9921
141,13.475,5.9919
142,13.59,5.9907
143,13.737,5.9935
144,13.861,5.9934
145,13.989,5.9892
146,14.12,5.9892
147,14.238,5.9909
148,14.403,5.9879
149,14.518,5.9897
150,14.668,5.9878
151,14.765,5.9921
152,14.886,5.9873
153,14.983,5.9923
154,15.123,5.9875
155,15.222,5.9913
156,15.353,5.9899
157,15.503,5.9868
158,15.621,5.9871
159,15.761,5.9848
160,15.889,5.9878
161,16.004,5.9878
162,16.113,5.9891
163,16.207,5.9904
164,16.316,5.991
165,16.459,5.987
166,16.559,5.9853
167,16.677,5.9852
168,16.78,5.9883
169,16.88,5.9856
170,16.973,5.9885
171,17.107,5.9847
172,17.216,5.9864
173,17.303,5.9871
174,17.375,5.9836
175,17.478,5.9898
176,17.531,5.986
177,17.646,5.9832
178,17.727,5.9862
179,17.795,5.9882
180,17.867,5.9875
181,17.976,5.9802
182,18.026,5.9822
183,18.066,5.9862
184,18.15,5.9852
185,18.216,5.9885
186,18.266,5.9833
187,18.344,5.985
188,18.431,5.9834
189,18.481,5.9854
190,18.54,5.982
191,18.602,5.984
192,18.646,5.9875
193,18.677,5.9841
194,18.752,5.982
195,18.78,5.9869
196,18.842,5.9842
197,18.901,5.9844
198,18.998,5.9851
199,19.082,5.984
200,19.15,5.9815
201,19.231,5.982
202,19.287,5.9824
203,19.315,5.9802
204,19.378,5.9848
