,V,I
0,-0.21804,9.5826
1,-0.23673,9.5834
2,-0.22739,9.5882
3,-0.22427,9.584
4,-0.20247,9.5952
5,-0.2087,9.5893
6,-0.18378,9.584
7,-0.19935,9.5798
8,-0.18066,9.5847
9,-0.19312,9.5861
10,-0.16509,9.5904
11,-0.18378,9.5895
12,-0.16509,9.5829
13,-0.14328,9.5751
14,-0.14017,9.5903
15,-0.15574,9.5883
16,-0.12771,9.5839
17,-0.13394,9.5912
18,-0.087217,9.5845
19,-0.093446,9.5783
20,-0.077872,9.5734
21,-0.080987,9.5697
22,-0.068527,9.5811
23,-0.071642,9.5793
24,-0.056068,9.5761
25,-0.046723,9.5739
26,-0.031149,9.5628
27,-0.024919,9.5759
28,-0.01246,9.583
29,-0.024919,9.5901
30,-0.01246,9.58
31,0.0062298,9.5755
32,0.034264,9.5733
33,0.037379,9.5812
34,0.043608,9.584
35,0.068527,9.584
36,0.080987,9.578
37,0.090331,9.5801
38,0.10279,9.5718
39,0.10902,9.5665
40,0.13082,9.5751
41,0.1464,9.5724
42,0.16197,9.5785
43,0.18066,9.5768
44,0.17755,9.5729
45,0.21804,9.5717
46,0.20247,9.5826
47,0.23362,9.5799
48,0.26788,9.5732
49,0.30526,9.5625
50,0.30214,9.5632
51,0.33952,9.5712
52,0.33641,9.581
53,0.34887,9.5831
54,0.38001,9.5713
55,0.41116,9.5615
56,0.42674,9.5678
57,0.47346,9.5712
58,0.5233,9.568
59,0.51395,9.5735
60,0.53887,9.5684
61,0.57314,9.5717
62,0.60117,9.5685
63,0.63855,9.5769
64,0.65724,9.5741
65,0.67904,9.579
66,0.73511,9.5753
67,0.77249,9.5724
68,0.80675,9.5699
69,0.8379,9.5732
70,0.89085,9.5718
71,0.93758,9.5652
72,0.9843,9.5732
73,1.0186,9.5695
74,1.0591,9.5596
75,1.1151,9.5644
76,1.165,9.5745
77,1.2179,9.5756
78,1.2802,9.5702
79,1.3082,9.563
80,1.3643,9.5623
81,1.4173,9.567
82,1.4609,9.576
83,1.5169,9.5786
84,1.5979,9.5623
85,1.6447,9.5678
86,1.7319,9.5624
87,1.7817,9.5754
88,1.8502,9.5737
89,1.9156,9.5593
90,2.006,9.5629
91,2.0589,9.5563
92,2.1524,9.5595
93,2.2022,9.5684
94,2.277,9.5738
95,2.3424,9.5751
96,2.4265,9.5749
97,2.4826,9.5544
98,2.5698,9.5606
99,2.6601,9.5612
100,2.7411,9.5735
101,2.8377,9.5675
102,2.9124,9.5686
103,2.9934,9.5589
104,3.0744,9.5618
105,3.146,9.5624
106,3.2364,9.5716
107,3.3298,9.5668
108,3.4232,9.5682
109,3.5011,9.5573
110,3.5821,9.5619
111,3.6693,9.5677
112,3.7628,9.5679
113,3.8624,9.5622
114,3.9559,9.5595
115,4.0587,9.5559
116,4.1864,9.5631
117,4.2643,9.569
118,4.3795,9.5646
119,4.4979,9.5659
120,4.6194,9.566
121,4.7377,9.558
122,4.8561,9.5536
123,4.9495,9.5593
124,5.0679,9.565
125,5.1832,9.5695
126,5.2984,9.5639
127,5.3919,9.5581
128,5.5227,9.5521
129,5.6317,9.5584
130,5.7251,9.5651
131,5.8217,9.5687
132,5.9183,9.5603
133,6.0429,9.5582
134,6.1581,9.556
135,6.2734,9.5736
136,6.3886,9.565
137,6.5412,9.5657
138,6.6565,9.5528
139,6.806,9.5535
140,6.915,9.5529
141,7.0427,9.5584
142,7.1829,9.5465
143,7.32,9.5665
144,7.4228,9.5531
145,7.5505,9.5532
146,7.6626,9.556
147,7.7778,9.5644
148,7.8962,9.5593
149,8.0457,9.5584
150,8.1579,9.5586
151,8.3074,9.5536
152,8.4351,9.5531
153,8.5628,9.5581
154,8.6749,9.5609
155,8.812,9.5614
156,8.9241,9.5603
157,9.0705,9.5485
158,9.2076,9.5523
159,9.3509,9.5554
160,9.4879,9.5577
161,9.6156,9.5593
162,9.7278,9.5557
163,9.8524,9.5491
164,9.9801,9.5502
165,10.083,9.5537
166,10.211,9.5561
167,10.32,9.5607
168,10.45,9.5541
169,10.584,9.5539
170,10.718,9.5525
171,10.849,9.553
172,11.005,9.55
173,11.142,9.5545
174,11.288,9.5522
175,11.4,9.5544
176,11.538,9.5481
177,11.65,9.552
178,11.79,9.5601
179,11.911,9.5612
180,12.027,9.5534
181,12.136,9.5393
182,12.269,9.5533
183,12.375,9.5482
184,12.491,9.5565
185,12.59,9.5601
186,12.734,9.5538
187,12.883,9.5454
188,13.017,9.5482
189,13.142,9.5453
190,13.285,9.5522
191,13.431,9.5531
192,13.565,9.5447
193,13.693,9.5456
194,13.836,9.5468
195,13.945,9.5525
196,14.085,9.5503
197,14.198,9.549
198,14.307,9.5478
199,14.419,9.5457
200,14.553,9.5416
201,14.646,9.5532
202,14.789,9.5481
203,14.898,9.5496
204,15.02,9.547
205,15.129,9.5491
206,15.235,9.547
207,15.356,9.5497
208,15.487,9.5524
209,15.618,9.5502
210,15.736,9.5446
211,15.873,9.5452
212,15.982,9.5424
213,16.107,9.5368
214,16.21,9.552
215,16.331,9.5464
216,16.45,9.5438
217,16.599,9.5339
218,16.686,9.5435
219,16.802,9.5477
220,16.914,9.546
221,17.013,9.548
222,17.116,9.5427
223,17.235,9.5352
224,17.331,9.5418
225,17.44,9.5387
226,17.552,9.541
227,17.658,9.5541
228,17.758,9.5458
229,17.864,9.5409
230,17.963,9.539
231,18.066,9.5408
232,18.166,9.545
233,18.231,9.5537
234,18.344,9.5426
235,18.428,9.5388
236,18.524,9.5369
237,18.627,9.5462
238,18.739,9.5528
239,18.857,9.5424
240,18.995,9.5289
241,19.119,9.5374
242,19.216,9.532
243,19.318,9.537
244,19.412,9.539
245,19.499,9.5448
246,19.568,9.5488
247,19.646,9.5413
248,19.702,9.5407
249,19.795,9.5411
250,19.879,9.5425
251,19.957,9.542
252,20.032,9.5291
253,20.107,9.5347
254,20.175,9.5424
255,20.25,9.5381
256,20.303,9.5485
257,20.384,9.5398
258,20.49,9.5401
259,20.574,9.536
