,V,I
0,-0.2305,9.3771
1,-0.23673,9.3763
2,-0.2087,9.3786
3,-0.21181,9.3732
4,-0.19001,9.3802
5,-0.18378,9.3822
6,-0.17443,9.3738
7,-0.14017,9.3672
8,-0.14328,9.3652
9,-0.14017,9.3684
10,-0.13082,9.3735
11,-0.1246,9.3711
12,-0.093446,9.3756
13,-0.077872,9.3704
14,-0.046723,9.3793
15,-0.049838,9.3722
16,-0.043608,9.374
17,-0.01246,9.374
18,0.0093446,9.3645
19,0.037379,9.3663
20,0.065412,9.3617
21,0.084102,9.3758
22,0.10591,9.3712
23,0.1464,9.3625
24,0.17443,9.3556
25,0.18378,9.3668
26,0.22427,9.3721
27,0.27099,9.3609
28,0.28034,9.3716
29,0.29903,9.3698
30,0.32083,9.37
31,0.37379,9.3716
32,0.40805,9.3676
33,0.4392,9.3728
34,0.52018,9.3588
35,0.52018,9.3625
36,0.5451,9.3689
37,0.58871,9.3672
38,0.62298,9.3704
39,0.6697,9.3594
40,0.72888,9.3687
41,0.76626,9.3683
42,0.77249,9.3682
43,0.82544,9.3635
44,0.89397,9.361
45,0.91577,9.3658
46,1.003,9.3581
47,1.0466,9.3619
48,1.0684,9.3657
49,1.1432,9.3615
50,1.1961,9.3757
51,1.2553,9.3639
52,1.3207,9.3632
53,1.383,9.364
54,1.4391,9.3656
55,1.4796,9.3632
56,1.5606,9.3551
57,1.5824,9.3734
58,1.6509,9.3602
59,1.7319,9.3599
60,1.8129,9.3659
61,1.8907,9.3699
62,1.9717,9.3652
63,2.062,9.357
64,2.1088,9.3662
65,2.2022,9.3613
66,2.2957,9.3616
67,2.3922,9.3616
68,2.4639,9.3541
69,2.5511,9.3593
70,2.629,9.3577
71,2.7349,9.3534
72,2.8127,9.3636
73,2.9186,9.3589
74,3.0059,9.3655
75,3.09,9.3607
76,3.1741,9.3678
77,3.2831,9.374
78,3.3952,9.362
79,3.5136,9.3573
80,3.6413,9.3525
81,3.7628,9.3609
82,3.8624,9.352
83,3.9777,9.3501
84,4.0805,9.3678
85,4.1864,9.3623
86,4.3328,9.3534
87,4.4387,9.3549
88,4.5758,9.3573
89,4.6817,9.3605
90,4.8094,9.3514
91,4.9153,9.3557
92,5.0274,9.3465
93,5.1769,9.3565
94,5.3046,9.3593
95,5.4355,9.3516
96,5.5476,9.3534
97,5.641,9.3532
98,5.7812,9.3596
99,5.9214,9.3482
100,6.074,9.3529
101,6.1799,9.3651
102,6.3076,9.3535
103,6.4291,9.3524
104,6.5226,9.351
105,6.6503,9.3511
106,6.7717,9.3565
107,6.9057,9.3484
108,7.049,9.3489
109,7.1549,9.3537
110,7.2982,9.3553
111,7.4352,9.349
112,7.5816,9.3481
113,7.7187,9.3511
114,7.8401,9.3467
115,8.0052,9.3535
116,8.1018,9.3554
117,8.2575,9.3478
118,8.3697,9.3443
119,8.5192,9.3406
120,8.6344,9.3461
121,8.7777,9.3492
122,8.9179,9.3599
123,9.0145,9.3605
124,9.1484,9.3603
125,9.3104,9.3653
126,9.4381,9.3535
127,9.6125,9.3479
128,9.7714,9.3358
129,9.9084,9.3493
130,10.064,9.3367
131,10.204,9.3435
132,10.363,9.3532
133,10.503,9.3577
134,10.696,9.3401
135,10.862,9.338
136,11.027,9.3471
137,11.173,9.3494
138,11.329,9.3454
139,11.481,9.3417
140,11.634,9.3442
141,11.79,9.3501
142,11.989,9.3502
143,12.132,9.3486
144,12.285,9.3472
145,12.438,9.3425
146,12.615,9.3473
147,12.749,9.3415
148,12.902,9.3516
149,13.079,9.3562
150,13.204,9.3545
151,13.372,9.3404
152,13.568,9.3372
153,13.733,9.3391
154,13.899,9.3393
155,14.076,9.3372
156,14.226,9.3426
157,14.36,9.3473
158,14.525,9.3426
159,14.736,9.3376
160,14.852,9.3484
161,15.026,9.348
162,15.197,9.3474
163,15.347,9.3429
164,15.493,9.333
165,15.646,9.3453
166,15.82,9.3409
167,15.967,9.3313
168,16.123,9.3387
169,16.278,9.3475
170,16.425,9.343
171,16.584,9.3443
172,16.742,9.3477
173,16.911,9.3398
174,17.082,9.3329
175,17.216,9.3374
176,17.384,9.3348
177,17.502,9.344
178,17.674,9.3337
179,17.823,9.3275
180,18.01,9.3408
181,18.147,9.3471
182,18.315,9.3466
183,18.496,9.3381
