,V,I
0,-0.934926,8.99231
1,-0.931233,8.992688
2,-0.929034,8.99272
3,-0.929473,8.991149
4,-0.929305,8.991091
5,-0.929943,8.990863
6,-0.924525,8.990026
7,-0.927995,8.989251
8,-0.926293,8.988806
9,-0.926782,8.988613
10,-0.921264,8.988201
11,-0.918798,8.987294
12,-0.923451,8.985647
13,-0.922694,8.984583
14,-0.918526,8.983483
15,-0.91715,8.982428
16,-0.918503,8.981466
17,-0.919983,8.980561
18,-0.916346,8.980176
19,-0.913759,8.979906
20,-0.913984,8.979905
21,-0.912947,8.978955
22,-0.915079,8.978471
23,-0.911204,8.978189
24,-0.910346,8.978652
25,-0.908758,8.977054
26,-0.909416,8.976842
27,-0.909847,8.976556
28,-0.905917,8.976303
29,-0.905036,8.975592
30,-0.901602,8.974551
31,-0.908565,8.974134
32,-0.905875,8.974147
33,-0.898586,8.973877
34,-0.901952,8.973275
35,-0.902458,8.972823
36,-0.9026,8.972535
37,-0.898038,8.972732
38,-0.897241,8.972562
39,-0.897017,8.97274
40,-0.897214,8.971592
41,-0.894811,8.971519
42,-0.893513,8.971746
43,-0.892759,8.971317
44,-0.89507,8.970448
45,-0.889648,8.970265
46,-0.889407,8.970375
47,-0.887486,8.969919
48,-0.888011,8.968886
49,-0.886201,8.968945
50,-0.884722,8.96876
51,-0.883392,8.968775
52,-0.879331,8.968243
53,-0.88103,8.967831
54,-0.880886,8.967986
55,-0.874902,8.96776
56,-0.874285,8.967592
57,-0.871238,8.966801
58,-0.86887,8.96709
59,-0.865314,8.966569
60,-0.863229,8.965341
61,-0.861283,8.965335
62,-0.862175,8.964561
63,-0.861174,8.963459
64,-0.856323,8.963516
65,-0.855844,8.962809
66,-0.853084,8.962189
67,-0.851717,8.961664
68,-0.847426,8.961711
69,-0.844115,8.962148
70,-0.839022,8.961655
71,-0.838257,8.961925
72,-0.835276,8.962013
73,-0.832536,8.962271
74,-0.828526,8.961834
75,-0.824908,8.960723
76,-0.826124,8.960965
77,-0.820533,8.960276
78,-0.813998,8.960582
79,-0.814476,8.959572
80,-0.811625,8.959724
81,-0.809411,8.95969
82,-0.801529,8.959346
83,-0.799381,8.959059
84,-0.796945,8.958672
85,-0.796062,8.958786
86,-0.785822,8.959094
87,-0.782909,8.958927
88,-0.779806,8.959322
89,-0.778073,8.958836
90,-0.768811,8.958598
91,-0.764269,8.958369
92,-0.761697,8.957983
93,-0.758161,8.957164
94,-0.755573,8.956275
95,-0.745706,8.955981
96,-0.743895,8.955875
97,-0.736421,8.955327
98,-0.736286,8.954685
99,-0.730092,8.954339
100,-0.723296,8.955009
101,-0.718542,8.954185
102,-0.712277,8.954036
103,-0.708763,8.953689
104,-0.703666,8.954118
105,-0.695184,8.95428
106,-0.688969,8.953894
107,-0.683021,8.953712
108,-0.682733,8.95346
109,-0.671768,8.954216
110,-0.662374,8.954232
111,-0.661493,8.953761
112,-0.654874,8.954003
113,-0.646105,8.954119
114,-0.633374,8.953963
115,-0.627485,8.953392
116,-0.624219,8.953252
117,-0.614439,8.953167
118,-0.605661,8.953424
119,-0.593823,8.953773
120,-0.590799,8.952748
121,-0.584684,8.95231
122,-0.575546,8.952152
123,-0.565496,8.952446
124,-0.556763,8.95182
125,-0.549567,8.952421
126,-0.538108,8.951639
127,-0.528306,8.951395
128,-0.519923,8.950806
129,-0.509269,8.950068
130,-0.505431,8.949512
131,-0.487881,8.949557
132,-0.480019,8.949474
133,-0.468913,8.949286
134,-0.46194,8.948968
135,-0.452013,8.94865
136,-0.438013,8.948177
137,-0.428173,8.94788
138,-0.414434,8.947947
139,-0.407903,8.947126
140,-0.394309,8.947152
141,-0.382143,8.947365
142,-0.370283,8.947164
143,-0.361654,8.946514
144,-0.34776,8.945945
145,-0.337227,8.946342
146,-0.323125,8.945215
147,-0.313289,8.944328
148,-0.298183,8.944186
149,-0.287605,8.944393
150,-0.271462,8.945062
151,-0.257952,8.944385
152,-0.249129,8.94471
153,-0.233338,8.945236
154,-0.218453,8.945677
155,-0.204889,8.945494
156,-0.190735,8.944904
157,-0.180042,8.945056
158,-0.16292,8.944716
159,-0.146087,8.944233
160,-0.130458,8.944455
161,-0.120601,8.943819
162,-0.102795,8.944169
163,-0.084823,8.943557
164,-0.068749,8.943695
165,-0.057898,8.942877
166,-0.041217,8.942615
167,-0.02187,8.942546
168,-0.005834,8.942274
169,0.0119182,8.942127
170,0.0274018,8.941998
171,0.0456964,8.941057
172,0.0668086,8.941857
173,0.0846468,8.941875
174,0.105334,8.941344
175,0.1209033,8.940552
176,0.1410745,8.94051
177,0.1595195,8.940221
178,0.1780297,8.939087
179,0.1971616,8.938689
180,0.2145052,8.938378
181,0.2387709,8.938612
182,0.2570925,8.937766
183,0.2769228,8.936893
184,0.2939148,8.936528
185,0.316157,8.936565
186,0.3427839,8.93666
187,0.3636875,8.936731
188,0.3799241,8.936295
189,0.4037175,8.936195
190,0.4260959,8.936072
191,0.452065,8.935793
192,0.469259,8.935582
193,0.4939905,8.93506
194,0.5160599,8.935052
195,0.539881,8.935258
196,0.5644522,8.93466
197,0.5836931,8.933279
198,0.6134699,8.932763
199,0.6344025,8.932645
200,0.6597334,8.931847
201,0.684806,8.931478
202,0.7069039,8.931276
203,0.7345753,8.93187
204,0.7593471,8.931324
205,0.7883269,8.931038
206,0.8112884,8.930241
207,0.8364466,8.930035
208,0.8636441,8.930094
209,0.8922918,8.929532
210,0.9190367,8.928968
211,0.9443899,8.929021
212,0.9721806,8.92895
