,V,I
0,-0.23985,9.3703
1,-0.24608,9.3672
2,-0.21181,9.3712
3,-0.20558,9.3776
4,-0.2087,9.3702
5,-0.20558,9.3712
6,-0.16509,9.3649
7,-0.16509,9.3633
8,-0.16197,9.3621
9,-0.17132,9.3724
10,-0.14017,9.3789
11,-0.14951,9.363
12,-0.096561,9.3605
13,-0.11525,9.3628
14,-0.10279,9.3641
15,-0.059183,9.37
16,-0.056068,9.3718
17,-0.062298,9.372
18,-0.040493,9.3646
19,-0.0062298,9.36
20,-0.031149,9.3629
21,0.0031149,9.3536
22,0.015574,9.3686
23,0.028034,9.3627
24,0.040493,9.3697
25,0.059183,9.3655
26,0.074757,9.3641
27,0.11525,9.3654
28,0.14328,9.3566
29,0.10902,9.3684
30,0.14017,9.3593
31,0.15263,9.36
32,0.16197,9.362
33,0.19312,9.3623
34,0.21493,9.362
35,0.22116,9.3573
36,0.25542,9.3582
37,0.25853,9.3673
38,0.28657,9.3713
39,0.32395,9.3631
40,0.3551,9.3557
41,0.35821,9.3598
42,0.39559,9.3613
43,0.41428,9.3629
44,0.43608,9.3596
45,0.45789,9.3557
46,0.51395,9.359
47,0.56068,9.3626
48,0.5856,9.359
49,0.60429,9.369
50,0.64166,9.368
51,0.67593,9.3557
52,0.71642,9.3514
53,0.74446,9.3577
54,0.80052,9.3516
55,0.84413,9.3561
56,0.85036,9.363
57,0.88774,9.3625
58,0.93446,9.3527
59,0.9843,9.3529
60,1.0154,9.3629
61,1.0684,9.3644
62,1.1089,9.3622
63,1.1587,9.3589
64,1.2055,9.3514
65,1.2366,9.3592
66,1.2989,9.3492
67,1.3456,9.3624
68,1.3955,9.3603
69,1.436,9.3611
70,1.4951,9.3577
71,1.5668,9.3506
72,1.6104,9.3495
73,1.6665,9.3542
74,1.7256,9.3514
75,1.7817,9.358
76,1.8347,9.355
77,1.8565,9.3588
78,1.9312,9.357
79,1.9717,9.3549
80,2.0184,9.3493
81,2.087,9.3429
82,2.1462,9.3544
83,2.2053,9.3575
84,2.2521,9.3597
85,2.3268,9.3569
86,2.3735,9.3532
87,2.5012,9.3455
88,2.576,9.3468
89,2.5729,9.3559
90,2.6414,9.3534
91,2.6975,9.3579
92,2.738,9.3589
93,2.8127,9.3549
94,2.9218,9.351
95,2.9809,9.3553
96,3.0557,9.3365
97,3.1398,9.3447
98,3.2083,9.3492
99,3.2582,9.3493
100,3.3329,9.3486
101,3.3859,9.3586
102,3.4637,9.3496
103,3.5447,9.336
104,3.5883,9.3469
105,3.6413,9.3499
106,3.7192,9.3561
107,3.822,9.3527
108,3.8998,9.3443
109,3.9808,9.3457
110,4.0431,9.3436
111,4.1241,9.3411
112,4.1739,9.3425
113,4.2144,9.349
114,4.3141,9.3557
115,4.3795,9.3495
116,4.4325,9.3528
117,4.4979,9.3466
118,4.5758,9.3463
119,4.6567,9.3411
120,4.7003,9.3424
121,4.7876,9.3502
122,4.8592,9.3464
123,4.9495,9.3328
124,4.9869,9.3411
125,5.0523,9.3412
126,5.1022,9.3388
127,5.1707,9.3438
128,5.2455,9.3493
129,5.2953,9.3487
130,5.3887,9.3375
131,5.4448,9.3376
132,5.5133,9.3329
133,5.5694,9.3408
134,5.6317,9.3465
135,5.7002,9.3439
136,5.7594,9.3394
137,5.7937,9.3436
138,5.8591,9.345
139,5.8996,9.337
140,5.9619,9.3399
141,6.0148,9.33
142,6.0865,9.3421
143,6.1301,9.3347
144,6.1799,9.3382
145,6.2329,9.3431
146,6.2547,9.3393
147,6.3357,9.335
148,6.398,9.3362
149,6.4291,9.3356
150,6.4665,9.3391
151,6.5319,9.3336
152,6.5412,9.3415
153,6.5848,9.3366
154,6.6876,9.3351
155,6.7281,9.3406
156,6.7562,9.3307
157,6.8091,9.3386
158,6.8496,9.342
159,6.8901,9.341
160,6.968,9.3403
161,6.9929,9.3396
162,7.0583,9.3313
163,7.13,9.323
164,7.1518,9.3396
165,7.1767,9.3406
166,7.2639,9.3379
167,7.3075,9.3371
168,7.3605,9.334
169,7.4228,9.3293
170,7.4477,9.3414
171,7.5006,9.3311
172,7.5411,9.335
173,7.6003,9.3351
174,7.6408,9.342
175,7.7187,9.3286
176,7.7903,9.3318
177,7.8246,9.3281
178,7.9024,9.3319
179,7.9336,9.3374
180,7.9772,9.3366
181,8.027,9.3394
182,8.0831,9.3326
183,8.1547,9.3371
184,8.1766,9.332
185,8.2264,9.3404
186,8.2856,9.3352
187,8.3448,9.332
188,8.4008,9.334
189,8.4538,9.3375
190,8.5285,9.3339
191,8.5659,9.3251
192,8.6562,9.3233
193,8.703,9.3365
194,8.7746,9.3374
195,8.8494,9.3299
196,8.8899,9.331
197,8.9272,9.3343
198,8.9926,9.3355
199,9.0581,9.3332
200,9.1079,9.3352
201,9.1546,9.3278
202,9.2325,9.3349
203,9.2948,9.3289
204,9.3602,9.3348
205,9.4505,9.336
206,9.4973,9.3359
207,9.5782,9.3321
208,9.6561,9.3189
209,9.7091,9.3347
210,9.7496,9.3361
211,9.8056,9.3387
212,9.8773,9.3422
213,9.952,9.3285
214,10.061,9.3227
215,10.145,9.329
216,10.223,9.3278
217,10.292,9.3418
218,10.391,9.3277
219,10.466,9.3319
220,10.572,9.3206
221,10.634,9.3288
222,10.715,9.3269
223,10.784,9.3176
224,10.815,9.3376
225,10.862,9.3434
226,10.974,9.3391
227,11.061,9.3339
228,11.133,9.3303
229,11.232,9.3284
230,11.316,9.3259
231,11.376,9.3272
232,11.463,9.3238
233,11.538,9.3377
234,11.6,9.3353
235,11.715,9.3255
236,11.762,9.3315
237,11.818,9.3291
238,11.896,9.3307
239,11.995,9.3378
240,12.058,9.3264
241,12.129,9.328
242,12.235,9.3218
243,12.301,9.3314
244,12.388,9.319
245,12.444,9.338
246,12.506,9.3291
247,12.59,9.3315
248,12.69,9.33
249,12.768,9.3327
250,12.849,9.3345
251,12.933,9.3307
252,13.02,9.3276
253,13.126,9.3239
254,13.226,9.3264
255,13.329,9.324
256,13.41,9.3311
257,13.478,9.3364
258,13.565,9.3303
259,13.684,9.3172
260,13.762,9.3256
261,13.855,9.3217
262,13.958,9.3352
263,14.048,9.3299
264,14.135,9.3186
265,14.213,9.3282
266,14.282,9.3307
267,14.366,9.3337
268,14.456,9.3192
269,14.509,9.3342
270,14.565,9.3296
271,14.677,9.3327
272,14.746,9.3305
273,14.836,9.3216
274,14.97,9.3184
275,15.067,9.3197
276,15.135,9.3246
277,15.201,9.3378
278,15.291,9.3343
279,15.344,9.3358
280,15.484,9.3191
281,15.543,9.324
282,15.634,9.3205
283,15.739,9.3161
284,15.792,9.3317
285,15.867,9.3341
286,15.964,9.3256
287,16.076,9.3146
288,16.141,9.3225
289,16.216,9.3286
290,16.3,9.3306
291,16.356,9.3238
292,16.397,9.3254
293,16.465,9.3326
294,16.552,9.3343
295,16.643,9.3286
296,16.724,9.3266
297,16.817,9.325
298,16.908,9.316
299,16.995,9.3199
300,17.079,9.325
301,17.16,9.3282
302,17.25,9.3284
303,17.359,9.3274
304,17.471,9.3187
305,17.543,9.3189
306,17.618,9.3298
307,17.714,9.3268
308,17.798,9.3283
309,17.892,9.3245
310,18.004,9.322
311,18.097,9.3213
312,18.172,9.3206
313,18.234,9.3153
314,18.331,9.3255
315,18.434,9.3193
316,18.515,9.3294
317,18.611,9.3292
318,18.692,9.3246
319,18.764,9.3173
320,18.851,9.324
321,18.929,9.3276
322,19.032,9.3306
323,19.144,9.3206
324,19.234,9.3249
325,19.337,9.3188
326,19.44,9.3183
327,19.53,9.3141
328,19.596,9.3163
329,19.661,9.3327
330,19.761,9.325
331,19.851,9.324
332,19.913,9.3156
333,19.96,9.3172
334,20.06,9.3238
335,20.172,9.3306
336,20.225,9.3251
337,20.321,9.3149
338,20.384,9.3247
339,20.459,9.321
340,20.549,9.3236
341,20.62,9.321
342,20.705,9.3236
343,20.789,9.3106
344,20.891,9.322
345,20.92,9.3279
346,21.007,9.3259
347,21.106,9.3258
348,21.175,9.3234
349,21.281,9.3172
350,21.384,9.3158
351,21.474,9.3195
352,21.527,9.3173
353,21.58,9.3199
354,21.658,9.3268
355,21.748,9.3179
356,21.835,9.3144
357,21.885,9.3249
358,21.957,9.3232
359,22.022,9.3152
360,22.069,9.3225
361,22.156,9.3271
362,22.222,9.3234
363,22.315,9.3213
364,22.387,9.3152
365,22.455,9.3192
366,22.536,9.3206
367,22.608,9.3219
368,22.686,9.3208
369,22.767,9.3154
370,22.876,9.3162
371,22.975,9.3157
372,23.025,9.3108
373,23.075,9.3176
374,23.128,9.3279
375,23.218,9.3272
376,23.296,9.3184
377,23.355,9.3177
378,23.436,9.3163
379,23.492,9.3133
380,23.558,9.3211
381,23.598,9.3229
382,23.707,9.3111
383,23.763,9.313
384,23.826,9.3195
385,23.894,9.3203
386,23.932,9.323
387,24.009,9.3201
388,24.044,9.3133
389,24.103,9.3259
390,24.168,9.3182
391,24.231,9.3106
392,24.305,9.313
393,24.358,9.3137
394,24.449,9.3144
395,24.551,9.3132
396,24.592,9.3084
397,24.645,9.3188
398,24.695,9.3117
399,24.748,9.3184
400,24.773,9.3117
401,24.816,9.3188
402,24.86,9.3247
403,24.891,9.313
404,24.95,9.3206
