,V,I
0,-0.23362,9.0495
1,-0.2305,9.0576
2,-0.22739,9.0558
3,-0.22427,9.0557
4,-0.23362,9.0532
5,-0.22739,9.0531
6,-0.20558,9.0659
7,-0.19312,9.0558
8,-0.19624,9.0606
9,-0.19312,9.0594
10,-0.18066,9.0601
11,-0.1682,9.0522
12,-0.1464,9.0464
13,-0.12148,9.0498
14,-0.11525,9.051
15,-0.10902,9.0626
16,-0.10279,9.0543
17,-0.096561,9.0521
18,-0.093446,9.0537
19,-0.077872,9.0524
20,-0.049838,9.0547
21,-0.01246,9.0491
22,-0.034264,9.053
23,-0.021804,9.0558
24,-0.015574,9.0528
25,0.0031149,9.0539
26,0.028034,9.0502
27,0.074757,9.0551
28,0.065412,9.0491
29,0.068527,9.0465
30,0.093446,9.057
31,0.077872,9.0575
32,0.11525,9.0558
33,0.1464,9.0492
34,0.1464,9.0524
35,0.16197,9.0466
36,0.19935,9.0355
37,0.19001,9.0557
38,0.21181,9.0515
39,0.25853,9.0455
40,0.28345,9.0517
41,0.27722,9.054
42,0.31149,9.0583
43,0.34887,9.0501
44,0.35198,9.0483
45,0.3551,9.0454
46,0.38936,9.0458
47,0.41739,9.0485
48,0.44543,9.0359
49,0.47035,9.0504
50,0.47346,9.0587
51,0.49527,9.0536
52,0.5233,9.0484
53,0.57937,9.0492
54,0.58248,9.0563
55,0.61052,9.0477
56,0.65101,9.0493
57,0.65101,9.0428
58,0.71019,9.0415
59,0.71331,9.0519
60,0.76937,9.0422
61,0.80675,9.0458
62,0.82856,9.0433
63,0.84413,9.0483
64,0.87217,9.0462
65,0.90643,9.0514
66,0.91577,9.0633
67,0.97496,9.0506
68,1.0061,9.045
69,1.0466,9.0434
70,1.0933,9.0411
71,1.112,9.0456
72,1.14,9.0432
73,1.1899,9.0454
74,1.2148,9.0535
75,1.2615,9.0454
76,1.2896,9.0493
77,1.3332,9.0485
78,1.3519,9.0507
79,1.3986,9.0447
80,1.464,9.0439
81,1.492,9.0408
82,1.5419,9.0403
83,1.5668,9.0437
84,1.5948,9.0428
85,1.6509,9.0478
86,1.6758,9.0443
87,1.7506,9.0359
88,1.7661,9.0312
89,1.8097,9.0453
90,1.8471,9.0597
91,1.872,9.0507
92,1.925,9.0465
93,1.9686,9.0393
94,2.0247,9.0403
95,2.0683,9.0409
96,2.115,9.0375
97,2.1493,9.0457
