,V,I
0,-0.23362,9.639
1,-0.21804,9.636
2,-0.22739,9.6379
3,-0.22739,9.6407
4,-0.19935,9.6265
5,-0.19624,9.6288
6,-0.16509,9.6337
7,-0.16509,9.6356
8,-0.14328,9.6385
9,-0.14951,9.6395
10,-0.14017,9.6328
11,-0.12148,9.6293
12,-0.10279,9.6303
13,-0.099676,9.6257
14,-0.099676,9.6313
15,-0.084102,9.6327
16,-0.10279,9.6332
17,-0.096561,9.6286
18,-0.046723,9.6309
19,-0.046723,9.6379
20,-0.031149,9.6336
21,-0.015574,9.6344
22,-0.015574,9.6352
23,-0.0062298,9.625
24,0.01246,9.6285
25,0.056068,9.625
26,0.059183,9.6299
27,0.090331,9.6171
28,0.099676,9.6228
29,0.11525,9.6304
30,0.13082,9.6276
31,0.17132,9.6333
32,0.21493,9.6334
33,0.23362,9.6378
34,0.24608,9.6333
35,0.30837,9.627
36,0.32083,9.6247
37,0.37379,9.6189
38,0.40805,9.6255
39,0.45789,9.627
40,0.51084,9.619
41,0.54199,9.6272
42,0.58871,9.6266
43,0.62298,9.6299
44,0.6697,9.6295
45,0.73511,9.633
46,0.78183,9.6307
47,0.85348,9.6228
48,0.90954,9.6177
49,0.95627,9.6179
50,1.0279,9.6237
51,1.0902,9.6287
52,1.193,9.6148
53,1.2491,9.6177
54,1.3332,9.6133
55,1.3955,9.6153
56,1.4422,9.6199
57,1.4983,9.6159
58,1.5792,9.6222
59,1.6322,9.6213
60,1.7194,9.6232
61,1.7848,9.6179
62,1.8502,9.6188
63,1.897,9.6194
64,1.9779,9.6144
65,2.0527,9.6193
66,2.1337,9.6183
67,2.224,9.6197
68,2.305,9.6246
69,2.358,9.619
70,2.4452,9.6287
71,2.5231,9.6169
72,2.6196,9.6173
73,2.7099,9.6112
74,2.7972,9.6123
75,2.8595,9.6123
76,2.9342,9.6064
77,3.0339,9.615
78,3.1211,9.6203
79,3.2395,9.6123
80,3.3391,9.6137
81,3.4326,9.618
82,3.5354,9.6245
83,3.6288,9.6084
84,3.7472,9.6093
85,3.8749,9.6089
86,3.9684,9.6082
87,4.1116,9.6034
88,4.2144,9.5987
89,4.3203,9.6047
90,4.4169,9.6061
91,4.5135,9.6052
92,4.6162,9.5999
93,4.7128,9.6014
94,4.8,9.6019
95,4.8872,9.6062
96,4.9713,9.5982
97,5.0586,9.5946
98,5.1395,9.5976
99,5.2548,9.5962
100,5.3264,9.5906
101,5.4074,9.5921
102,5.5009,9.593
103,5.5414,9.5939
104,5.585,9.5872
105,5.6597,9.5874
106,5.7127,9.5968
107,5.7625,9.5924
108,5.8124,9.5946
109,5.8871,9.5912
110,5.9152,9.5914
111,5.9556,9.5866
112,6.0148,9.584
113,6.0584,9.5944
114,6.1052,9.5929
115,6.1519,9.5919
116,6.1955,9.5881
117,6.2173,9.593
118,6.264,9.5947
119,6.3419,9.5805
120,6.3855,9.5879
121,6.4011,9.5874
122,6.4509,9.5895
123,6.4821,9.5852
124,6.5007,9.5781
125,6.5226,9.5922
126,6.5942,9.5884
127,6.6191,9.5954
128,6.6721,9.5906
129,6.7219,9.5922
130,6.7593,9.5899
131,6.8029,9.5853
132,6.8714,9.5854
133,6.9306,9.5775
134,6.968,9.5803
135,7.024,9.5794
136,7.0988,9.5695
137,7.1175,9.5784
138,7.1455,9.5802
139,7.2109,9.5904
140,7.2483,9.5944
141,7.3168,9.5802
142,7.3542,9.5944
143,7.4009,9.5773
144,7.457,9.5805
145,7.5006,9.5708
146,7.5536,9.5755
147,7.6003,9.5769
148,7.6439,9.5718
149,7.6844,9.5838
150,7.6937,9.5842
151,7.7623,9.5892
152,7.781,9.5843
153,7.8246,9.58
154,7.8713,9.5844
155,7.9305,9.5728
156,7.9585,9.576
157,7.999,9.5681
158,8.0426,9.5721
159,8.0956,9.5744
160,8.1298,9.5655
161,8.1797,9.5706
162,8.2139,9.5708
163,8.2357,9.582
164,8.2575,9.5701
165,8.2825,9.5691
166,8.3198,9.5686
167,8.3385,9.5681
168,8.3884,9.5705
169,8.4164,9.5671
170,8.4071,9.5744
171,8.4444,9.5743
172,8.5005,9.5601
173,8.5223,9.5677
174,8.5535,9.5641
175,8.5846,9.5679
176,8.6002,9.5736
177,8.6064,9.567
178,8.6625,9.5681
179,8.6469,9.57
180,8.6874,9.5709
181,8.7061,9.5625
182,8.7279,9.5694
183,8.7279,9.5718
184,8.7466,9.5555
185,8.7653,9.5625
186,8.8058,9.5615
187,8.8182,9.568
188,8.8556,9.5589
189,8.8774,9.5631
190,8.8867,9.5647
191,8.9241,9.5528
192,8.9179,9.5559
193,8.9304,9.5507
194,8.9272,9.5693
195,8.9272,9.5574
196,8.9179,9.5621
197,8.9117,9.5617
198,8.9428,9.5552
199,8.9459,9.5651
200,8.9522,9.564
201,8.9522,9.5676
202,8.9304,9.5715
203,8.9584,9.5588
204,8.9459,9.5678
205,8.9708,9.5572
206,8.9615,9.5621
207,8.9833,9.5561
208,9.002,9.552
209,9.002,9.5589
210,9.0051,9.5543
211,9.0363,9.5583
212,9.0207,9.5547
213,9.0363,9.5592
214,9.0331,9.5623
215,9.0394,9.5542
216,9.0518,9.551
217,9.0581,9.55
218,9.0674,9.5521
219,9.0674,9.5505
220,9.1048,9.534
221,9.111,9.5531
222,9.111,9.5514
223,9.1141,9.5508
224,9.1141,9.5421
225,9.111,9.5516
226,9.0892,9.5528
227,9.1141,9.5376
228,9.1048,9.5539
229,9.0768,9.5494
230,9.083,9.5568
231,9.0705,9.5521
232,9.0612,9.5487
233,9.0581,9.5532
234,9.0986,9.5426
235,9.083,9.5581
236,9.0705,9.5532
237,9.0705,9.5509
238,9.0799,9.5549
239,9.0705,9.5483
240,9.0892,9.5454
241,9.111,9.5463
242,9.0861,9.5509
243,9.0643,9.5518
244,9.0736,9.544
245,9.0705,9.5499
246,9.0518,9.5536
247,9.0986,9.5506
248,9.1141,9.5458
249,9.0861,9.5546
250,9.0923,9.5552
251,9.0892,9.5512
252,9.111,9.5478
253,9.1359,9.5393
254,9.1515,9.5471
255,9.1609,9.5395
256,9.139,9.5357
257,9.1484,9.5402
258,9.1515,9.547
259,9.1484,9.5493
260,9.1546,9.5494
261,9.164,9.5524
262,9.1609,9.5494
263,9.1671,9.5385
264,9.1733,9.5472
265,9.192,9.5334
266,9.1951,9.5415
267,9.2325,9.5379
268,9.2387,9.5431
269,9.2325,9.5434
270,9.273,9.5342
271,9.2699,9.5514
272,9.2854,9.5361
273,9.2979,9.5398
274,9.3166,9.5456
275,9.3197,9.5424
276,9.3041,9.5416
277,9.354,9.534
278,9.3322,9.5444
279,9.354,9.5342
280,9.3851,9.5305
281,9.4069,9.5384
282,9.4007,9.5408
283,9.41,9.5411
284,9.4381,9.5358
285,9.4163,9.5473
286,9.4132,9.5422
287,9.4474,9.5374
288,9.4474,9.543
289,9.4287,9.5332
290,9.435,9.5476
291,9.4318,9.5447
292,9.4163,9.5361
293,9.4163,9.5402
294,9.4599,9.5442
295,9.4661,9.5466
296,9.4817,9.5381
297,9.4879,9.5448
298,9.5004,9.5474
299,9.5128,9.5343
300,9.5627,9.5363
301,9.5938,9.5343
302,9.625,9.5402
303,9.6374,9.5381
304,9.6592,9.5281
305,9.6499,9.5422
306,9.7153,9.5271
307,9.7309,9.5419
308,9.7807,9.5373
309,9.8087,9.5397
310,9.8274,9.5431
311,9.843,9.5417
312,9.8773,9.5372
313,9.9209,9.5268
314,9.9427,9.5409
315,9.9832,9.5337
316,10.021,9.5341
317,10.049,9.5287
318,10.049,9.5395
319,10.102,9.5405
320,10.151,9.5403
321,10.173,9.542
322,10.207,9.5444
323,10.245,9.5349
324,10.257,9.534
325,10.295,9.5295
326,10.335,9.5361
327,10.401,9.536
328,10.413,9.5284
329,10.497,9.5287
330,10.5,9.5356
331,10.535,9.5384
332,10.556,9.5375
333,10.594,9.5421
334,10.625,9.5464
335,10.659,9.541
336,10.721,9.5357
337,10.774,9.5286
338,10.79,9.5345
339,10.852,9.5315
340,10.902,9.5326
341,10.936,9.5397
342,10.996,9.528
343,11.055,9.5354
344,11.092,9.5352
345,11.114,9.5397
346,11.182,9.5331
347,11.198,9.5399
348,11.263,9.5321
349,11.326,9.5233
350,11.351,9.5347
351,11.4,9.5308
352,11.453,9.5366
353,11.503,9.5339
354,11.575,9.531
355,11.631,9.5313
356,11.734,9.5267
357,11.762,9.5399
358,11.837,9.5338
359,11.871,9.5355
360,11.949,9.5349
361,12.005,9.5282
362,12.058,9.5334
363,12.12,9.5231
364,12.145,9.5274
365,12.179,9.5353
366,12.22,9.5365
367,12.266,9.537
368,12.316,9.5266
369,12.372,9.5389
370,12.403,9.5424
371,12.45,9.5299
372,12.491,9.5319
373,12.525,9.5288
374,12.55,9.5333
375,12.615,9.5238
376,12.637,9.5289
377,12.646,9.536
378,12.69,9.5341
379,12.752,9.531
380,12.768,9.5301
381,12.808,9.5312
382,12.846,9.5397
383,12.874,9.5396
384,12.905,9.5361
385,12.949,9.5178
386,12.998,9.5362
387,13.058,9.5324
388,13.139,9.52
389,13.229,9.527
390,13.26,9.5315
391,13.335,9.5339
392,13.416,9.5225
393,13.472,9.5318
394,13.512,9.5306
395,13.559,9.5267
396,13.637,9.5333
397,13.665,9.5324
398,13.74,9.5276
399,13.833,9.5239
400,13.871,9.5246
401,13.945,9.5291
402,14.008,9.5284
403,14.085,9.5328
404,14.129,9.5294
405,14.194,9.5298
406,14.285,9.5362
407,14.344,9.5313
408,14.428,9.5248
409,14.506,9.523
410,14.587,9.5215
411,14.631,9.523
412,14.68,9.5174
413,14.752,9.5246
414,14.78,9.5291
415,14.839,9.5312
416,14.898,9.5241
417,14.933,9.5331
418,15.001,9.5301
419,15.045,9.5269
420,15.12,9.5251
421,15.154,9.5163
422,15.185,9.5328
423,15.241,9.5262
424,15.275,9.5158
425,15.297,9.5236
426,15.319,9.5305
427,15.347,9.5303
428,15.394,9.5291
429,15.409,9.539
430,15.472,9.5299
431,15.481,9.5277
432,15.525,9.5273
433,15.571,9.5248
434,15.624,9.5244
435,15.69,9.5167
436,15.736,9.5187
437,15.786,9.5223
438,15.833,9.5244
439,15.883,9.5262
440,15.923,9.5303
441,15.992,9.5276
442,16.063,9.5335
443,16.11,9.5243
444,16.166,9.5194
445,16.232,9.5167
446,16.294,9.5233
447,16.359,9.5144
448,16.419,9.5173
449,16.481,9.5271
450,16.503,9.5238
451,16.574,9.5288
452,16.58,9.5214
453,16.64,9.5271
454,16.665,9.5268
455,16.73,9.5221
456,16.761,9.5264
457,16.805,9.5122
458,16.82,9.5228
459,16.873,9.5249
460,16.92,9.5159
461,16.964,9.5181
462,17.007,9.5182
463,17.057,9.5292
464,17.076,9.5216
465,17.113,9.5198
466,17.144,9.5273
467,17.182,9.5219
468,17.238,9.5178
469,17.247,9.5189
470,17.294,9.5258
471,17.3,9.5228
472,17.356,9.5141
473,17.384,9.524
474,17.437,9.5174
475,17.481,9.5203
476,17.518,9.5188
477,17.555,9.5254
478,17.596,9.5253
479,17.612,9.5229
480,17.708,9.5244
481,17.73,9.5137
482,17.808,9.5131
483,17.817,9.5134
484,17.854,9.5182
485,17.898,9.5201
486,17.907,9.5147
487,17.985,9.5218
488,18.041,9.5193
489,18.085,9.5182
490,18.132,9.5233
491,18.172,9.5165
492,18.206,9.5201
493,18.241,9.5114
494,18.284,9.519
495,18.344,9.5161
496,18.381,9.5093
497,18.437,9.5131
498,18.453,9.5211
499,18.499,9.5119
500,18.524,9.511
501,18.54,9.5192
502,18.54,9.5251
503,18.558,9.5161
504,18.549,9.5138
505,18.552,9.5169
506,18.549,9.5208
507,18.574,9.5127
508,18.599,9.5093
509,18.627,9.5155
510,18.636,9.5192
511,18.664,9.5182
512,18.652,9.5163
513,18.652,9.5198
514,18.655,9.5202
515,18.646,9.5242
516,18.674,9.5206
517,18.692,9.5144
518,18.717,9.5162
519,18.752,9.5126
520,18.764,9.5106
521,18.798,9.5135
522,18.845,9.5163
523,18.901,9.5205
524,18.945,9.5094
525,18.991,9.5163
526,19.041,9.514
527,19.088,9.5117
528,19.16,9.5113
529,19.234,9.5046
530,19.284,9.5068
531,19.318,9.5047
532,19.362,9.5072
533,19.368,9.5148
534,19.421,9.5125
535,19.459,9.5146
536,19.502,9.5109
537,19.53,9.5217
538,19.558,9.5183
539,19.602,9.51
540,19.63,9.5119
541,19.658,9.5111
542,19.72,9.5155
543,19.764,9.5045
544,19.801,9.5011
545,19.792,9.5107
546,19.82,9.5123
547,19.848,9.5153
548,19.857,9.5127
549,19.898,9.5147
550,19.92,9.5186
551,19.945,9.5123
552,19.982,9.5099
553,19.998,9.5022
554,20.035,9.5102
555,20.066,9.5021
556,20.103,9.4991
557,20.107,9.5115
558,20.116,9.5142
559,20.141,9.5182
560,20.138,9.512
561,20.178,9.5116
562,20.172,9.5189
563,20.181,9.5127
564,20.206,9.5065
565,20.228,9.5015
566,20.234,9.5121
567,20.269,9.5084
568,20.303,9.5051
569,20.334,9.5116
570,20.362,9.5119
571,20.427,9.5089
572,20.465,9.5074
573,20.493,9.5065
574,20.543,9.5085
575,20.608,9.5008
576,20.639,9.5056
577,20.677,9.5042
578,20.742,9.5067
579,20.789,9.5137
580,20.807,9.502
581,20.879,9.4995
582,20.907,9.5064
583,20.938,9.5092
584,20.969,9.5054
585,21.016,9.5142
586,21.057,9.5101
587,21.081,9.5101
588,21.131,9.5036
589,21.169,9.5004
590,21.187,9.5045
591,21.237,9.5073
592,21.268,9.4989
593,21.256,9.5086
594,21.287,9.5074
595,21.324,9.5067
596,21.365,9.505
597,21.368,9.5085
598,21.421,9.509
599,21.458,9.5105
600,21.49,9.4965
601,21.536,9.486
602,21.574,9.5044
603,21.605,9.5003
604,21.645,9.4997
605,21.661,9.5014
606,21.701,9.5042
607,21.714,9.5027
608,21.779,9.5016
609,21.807,9.5028
610,21.832,9.5076
611,21.857,9.5052
612,21.87,9.5022
613,21.904,9.5001
614,21.957,9.4951
615,22.007,9.4876
616,22.032,9.4944
617,22.056,9.4966
618,22.066,9.5039
619,22.088,9.5045
620,22.103,9.5018
621,22.147,9.5074
622,22.162,9.5072
623,22.2,9.4949
624,22.209,9.4978
625,22.234,9.4969
626,22.243,9.4984
627,22.296,9.4958
628,22.327,9.4959
