,V,I
0,-0.23362,8.8649
1,-0.21804,8.8586
2,-0.19001,8.8524
3,-0.19001,8.8518
4,-0.18378,8.8563
5,-0.1682,8.8474
6,-0.1464,8.8444
7,-0.13394,8.8523
8,-0.099676,8.8464
9,-0.090331,8.856
10,-0.084102,8.8595
11,-0.093446,8.8568
12,-0.056068,8.8499
13,-0.037379,8.843
14,-0.018689,8.8507
15,-0.01246,8.8493
16,0.021804,8.8547
17,0.024919,8.8561
18,0.059183,8.8467
19,0.071642,8.8563
20,0.10902,8.8538
21,0.15263,8.8507
22,0.1682,8.8457
23,0.19001,8.8486
24,0.19624,8.854
25,0.23673,8.8406
26,0.26476,8.8504
27,0.29903,8.8538
28,0.33641,8.8521
29,0.3769,8.8474
30,0.38313,8.847
31,0.42051,8.8544
32,0.42362,8.8448
33,0.49838,8.8493
34,0.51084,8.851
35,0.55445,8.8512
36,0.5856,8.847
37,0.61986,8.8434
38,0.64478,8.8512
39,0.68527,8.8493
40,0.74757,8.8466
41,0.80364,8.8504
42,0.82233,8.844
43,0.88774,8.8532
44,0.93135,8.8497
45,0.97184,8.8484
46,1.0497,8.8433
47,1.1089,8.8477
48,1.1681,8.8497
49,1.221,8.8431
50,1.2802,8.8412
51,1.302,8.8495
52,1.3861,8.8503
53,1.4609,8.8476
54,1.5387,8.8496
55,1.5824,8.8526
56,1.6415,8.8412
57,1.7007,8.8408
58,1.7786,8.8479
59,1.8222,8.8498
60,1.9188,8.8451
61,1.9842,8.8422
62,2.0434,8.8474
63,2.0994,8.849
64,2.1804,8.8433
65,2.2614,8.8392
66,2.3299,8.8467
67,2.4171,8.8487
68,2.4888,8.8517
69,2.604,8.8395
70,2.6819,8.843
71,2.7629,8.8411
72,2.8657,8.8416
73,2.9591,8.8376
74,3.0214,8.8433
75,3.1367,8.8372
76,3.2364,8.8467
77,3.3018,8.8391
78,3.3859,8.8411
79,3.4855,8.8446
80,3.5696,8.8427
81,3.6506,8.8408
82,3.7534,8.8344
83,3.8188,8.8459
84,3.8811,8.8389
85,3.9995,8.8348
86,4.0649,8.8398
87,4.1521,8.8392
88,4.2518,8.8402
89,4.3671,8.8386
90,4.4356,8.8434
91,4.5197,8.8383
92,4.6536,8.831
93,4.7533,8.8411
94,4.8405,8.8326
95,4.9464,8.8344
96,5.0461,8.8311
97,5.1209,8.8393
98,5.2174,8.8341
99,5.314,8.8383
100,5.4105,8.8333
101,5.4822,8.8322
102,5.5912,8.8354
103,5.6504,8.8368
104,5.7345,8.8341
105,5.8248,8.8359
106,5.9245,8.8387
107,5.9899,8.8387
108,6.0834,8.837
109,6.1893,8.8278
110,6.2516,8.8375
111,6.3263,8.834
112,6.4291,8.8364
113,6.5132,8.8321
114,6.616,8.831
115,6.7032,8.8298
116,6.8029,8.8319
117,6.9026,8.8337
118,6.9773,8.8318
119,7.0926,8.8319
120,7.1954,8.8226
121,7.2982,8.829
122,7.3947,8.8323
123,7.4695,8.8291
124,7.5505,8.8273
125,7.6533,8.8245
126,7.7374,8.8231
127,7.8588,8.8257
128,7.9274,8.8318
129,8.0364,8.8348
130,8.108,8.8347
