,V,I
0,-0.21181,9.2349
1,-0.2305,9.2383
2,-0.23673,9.2297
3,-0.23362,9.2361
4,-0.22427,9.2355
5,-0.21493,9.2388
6,-0.21181,9.2346
7,-0.18066,9.2366
8,-0.2087,9.2398
9,-0.18066,9.2328
10,-0.15574,9.2359
11,-0.16197,9.2321
12,-0.13394,9.2341
13,-0.12771,9.2342
14,-0.10591,9.2257
15,-0.099676,9.2237
16,-0.084102,9.2305
17,-0.068527,9.2339
18,-0.056068,9.218
19,-0.037379,9.2355
20,-0.021804,9.2363
21,0.018689,9.2263
22,0.034264,9.2243
23,0.021804,9.2243
24,0.043608,9.224
25,0.062298,9.227
26,0.093446,9.2264
27,0.099676,9.2294
28,0.14017,9.2259
29,0.15263,9.2279
30,0.15886,9.226
31,0.19001,9.2309
32,0.19935,9.2321
33,0.22116,9.2239
34,0.26165,9.2267
35,0.28657,9.2192
36,0.28968,9.2247
37,0.30526,9.2153
38,0.33641,9.2158
39,0.37067,9.2291
40,0.40493,9.2348
41,0.45166,9.2347
42,0.47035,9.2195
43,0.47969,9.2159
44,0.51084,9.2139
45,0.53576,9.2198
46,0.56691,9.2293
47,0.61052,9.2232
48,0.65101,9.2213
49,0.67904,9.2202
50,0.71019,9.2065
51,0.74446,9.223
52,0.76626,9.2247
53,0.79741,9.2275
54,0.84102,9.2209
55,0.89397,9.2188
56,0.88462,9.2268
57,0.92512,9.2221
58,0.96873,9.2209
59,0.99365,9.2186
60,1.0715,9.2143
61,1.1151,9.2132
62,1.1618,9.2134
63,1.1743,9.219
64,1.2304,9.2158
65,1.2646,9.2269
66,1.2896,9.2125
67,1.3705,9.2158
68,1.4048,9.2218
69,1.4453,9.2211
70,1.4983,9.2174
71,1.5637,9.2145
72,1.5824,9.2151
73,1.6509,9.2074
74,1.7163,9.2099
75,1.7755,9.2147
76,1.816,9.2121
77,1.8783,9.2174
78,1.897,9.2178
79,1.9593,9.2276
80,2.0309,9.2269
81,2.1212,9.219
82,2.1742,9.2081
83,2.2147,9.208
84,2.2489,9.2163
85,2.3299,9.2132
86,2.4016,9.2099
87,2.4639,9.2094
88,2.5449,9.2102
89,2.6196,9.2138
90,2.6601,9.2093
91,2.7224,9.2191
92,2.8034,9.2205
93,2.8439,9.214
94,2.9404,9.2131
95,3.0245,9.2021
