,V,I
0,-0.22739,8.8401
1,-0.23985,8.8434
2,-0.2305,8.8334
3,-0.21493,8.8365
4,-0.22739,8.836
5,-0.20558,8.8401
6,-0.18378,8.8392
7,-0.19312,8.8437
8,-0.17132,8.8352
9,-0.16197,8.8373
10,-0.1682,8.8414
11,-0.1682,8.8515
12,-0.15574,8.8425
13,-0.12771,8.8289
14,-0.11837,8.8283
15,-0.099676,8.8295
16,-0.099676,8.8452
17,-0.084102,8.839
18,-0.074757,8.8377
19,-0.074757,8.8384
20,-0.059183,8.8355
21,-0.046723,8.8373
22,-0.028034,8.8394
23,-0.0062298,8.8293
24,0.0062298,8.8395
25,0.015574,8.831
26,0.040493,8.8227
27,0.065412,8.8292
28,0.077872,8.8367
29,0.093446,8.8343
30,0.13082,8.8401
31,0.14328,8.8333
32,0.18689,8.8317
33,0.20247,8.8258
34,0.21493,8.8302
35,0.22116,8.8314
36,0.26165,8.839
37,0.26165,8.8303
38,0.27411,8.8335
39,0.28034,8.8303
40,0.32083,8.8353
41,0.3146,8.8431
42,0.36756,8.8446
43,0.3769,8.8331
44,0.40493,8.8266
45,0.44854,8.8264
46,0.461,8.8387
47,0.48904,8.8369
48,0.52641,8.8341
49,0.56379,8.8327
50,0.59183,8.8262
51,0.62921,8.8327
52,0.65724,8.8309
53,0.67904,8.8309
54,0.70396,8.833
55,0.73511,8.8332
56,0.7538,8.8262
57,0.80675,8.8243
58,0.84413,8.8145
59,0.88774,8.8342
60,0.92512,8.8309
61,0.95938,8.8313
62,0.9843,8.8277
63,1.0466,8.8275
64,1.0622,8.8313
65,1.1432,8.8402
66,1.1774,8.8339
67,1.2366,8.8347
68,1.2771,8.8222
69,1.3238,8.8298
70,1.3425,8.8341
71,1.4017,8.8294
72,1.4484,8.8328
73,1.4951,8.8298
74,1.5419,8.8215
75,1.601,8.8237
76,1.6291,8.8296
77,1.6945,8.8329
78,1.735,8.8346
79,1.7724,8.8322
80,1.8097,8.8152
81,1.8907,8.8164
82,1.9281,8.8308
83,1.9717,8.8351
84,2.0153,8.835
85,2.0963,8.8386
86,2.1337,8.8325
87,2.2178,8.8264
88,2.2739,8.8205
89,2.3299,8.8219
90,2.4171,8.8201
91,2.4794,8.8259
92,2.5293,8.828
93,2.6009,8.8233
94,2.6508,8.8267
95,2.7068,8.8312
96,2.766,8.833
97,2.819,8.832
98,2.8937,8.8256
99,2.9436,8.824
100,3.0059,8.8299
101,3.0619,8.8331
102,3.1305,8.8344
103,3.2052,8.8192
104,3.2737,8.8131
105,3.336,8.8239
106,3.3983,8.8343
107,3.4669,8.8324
108,3.5603,8.8231
109,3.6133,8.8314
110,3.6942,8.8204
111,3.7783,8.8198
112,3.8375,8.8245
113,3.9029,8.8253
114,3.9684,8.8299
115,4.0338,8.8272
116,4.1023,8.8167
117,4.1895,8.8198
118,4.2331,8.8223
119,4.3079,8.8288
120,4.3671,8.8305
121,4.4449,8.8326
122,4.529,8.8242
123,4.6038,8.8128
124,4.6599,8.8195
125,4.7377,8.8175
126,4.7969,8.825
127,4.8748,8.8287
128,4.9184,8.8279
129,4.9869,8.825
130,5.071,8.8223
131,5.124,8.8204
132,5.2205,8.8328
