,V,I
0,-0.24919,8.8711
1,-0.21493,8.8838
2,-0.24608,8.884
3,-0.23362,8.8859
4,-0.23362,8.8912
5,-0.21181,8.8863
6,-0.22427,8.8811
7,-0.21493,8.8715
8,-0.19624,8.8791
9,-0.20247,8.8831
10,-0.1682,8.869
11,-0.18066,8.8838
12,-0.17755,8.8777
13,-0.17755,8.8862
14,-0.17132,8.8815
15,-0.15886,8.8732
16,-0.16197,8.8738
17,-0.1464,8.8754
18,-0.14328,8.8797
19,-0.16197,8.8804
20,-0.1464,8.8864
21,-0.15574,8.8843
22,-0.10279,8.87
23,-0.11214,8.8775
24,-0.10902,8.8813
25,-0.10591,8.8827
26,-0.10902,8.8782
27,-0.093446,8.8706
28,-0.093446,8.8868
29,-0.059183,8.8824
30,-0.068527,8.8861
31,-0.068527,8.8738
32,-0.040493,8.8777
33,-0.037379,8.8682
34,-0.018689,8.8701
35,-0.0031149,8.8744
36,-0.0093446,8.8785
37,0.0062298,8.8815
38,0.028034,8.8713
39,0.034264,8.8831
40,0.040493,8.8847
41,0.049838,8.8771
42,0.071642,8.8787
43,0.077872,8.8714
44,0.077872,8.8721
45,0.11214,8.8778
46,0.11525,8.8673
47,0.11837,8.8741
48,0.14017,8.8744
49,0.17132,8.8859
50,0.16197,8.8755
51,0.18066,8.8721
52,0.19312,8.8803
53,0.19001,8.8756
54,0.22739,8.8663
55,0.25542,8.8639
56,0.25853,8.8693
57,0.27411,8.8682
58,0.29903,8.8663
59,0.2928,8.8772
60,0.33018,8.8744
61,0.33641,8.87
62,0.35198,8.872
63,0.33952,8.8746
64,0.36133,8.8775
65,0.36133,8.8811
66,0.38624,8.8798
67,0.39559,8.8721
68,0.40805,8.8681
69,0.461,8.8759
70,0.45166,8.865
71,0.47346,8.8637
72,0.48281,8.8656
73,0.47035,8.8729
74,0.47969,8.8708
75,0.49838,8.8656
76,0.52018,8.8786
77,0.52953,8.8717
78,0.56068,8.8688
79,0.55133,8.8734
80,0.55445,8.8738
81,0.58248,8.8666
82,0.61986,8.8652
83,0.62921,8.8739
84,0.61363,8.8741
85,0.64789,8.8716
86,0.65724,8.8756
87,0.65724,8.8658
88,0.68839,8.8794
89,0.72265,8.8737
90,0.72888,8.8698
91,0.75692,8.8662
92,0.76003,8.8683
93,0.7756,8.8698
94,0.80987,8.8597
95,0.84102,8.8638
96,0.85971,8.864
97,0.89397,8.8669
98,0.89708,8.8651
99,0.90643,8.8692
100,0.922,8.8715
101,0.94692,8.8671
102,0.95627,8.8648
103,0.9843,8.8635
104,0.99053,8.8742
105,0.9843,8.8721
106,1.0217,8.8614
107,1.0123,8.8687
108,1.0435,8.8676
109,1.0622,8.8696
110,1.0996,8.8722
111,1.0933,8.8701
112,1.1151,8.8595
113,1.1369,8.8632
114,1.1463,8.8643
115,1.1743,8.861
116,1.1961,8.8606
117,1.2304,8.8593
118,1.2241,8.8571
119,1.246,8.8625
120,1.2553,8.8662
121,1.2428,8.8716
122,1.2584,8.868
123,1.2958,8.8656
124,1.2927,8.8721
125,1.3145,8.8678
126,1.302,8.8667
127,1.3394,8.8574
128,1.3207,8.8648
129,1.355,8.8515
130,1.4017,8.8582
131,1.3923,8.8645
132,1.3861,8.8639
133,1.3986,8.8668
134,1.411,8.8543
135,1.4017,8.8691
136,1.4422,8.8709
137,1.4827,8.8701
