,V,I
0,-0.24608,9.6348
1,-0.2305,9.6334
2,-0.22116,9.6254
3,-0.20558,9.6237
4,-0.21804,9.62
5,-0.20247,9.6248
6,-0.19312,9.6243
7,-0.18689,9.6221
8,-0.17443,9.6124
9,-0.17443,9.6258
10,-0.1682,9.6243
11,-0.17132,9.6221
12,-0.15886,9.6241
13,-0.15263,9.6195
14,-0.13705,9.6201
15,-0.13394,9.6213
16,-0.10902,9.6218
17,-0.10279,9.6191
18,-0.084102,9.6109
19,-0.080987,9.6097
20,-0.062298,9.6089
21,-0.021804,9.6085
22,-0.028034,9.6224
23,-0.021804,9.6188
24,0.0031149,9.6192
25,0.01246,9.6036
26,0.037379,9.6075
27,0.043608,9.6087
28,0.059183,9.6112
29,0.056068,9.6167
30,0.090331,9.6189
31,0.084102,9.6113
32,0.10279,9.6167
33,0.10902,9.6141
34,0.14328,9.609
35,0.15574,9.6097
36,0.21804,9.6053
37,0.19935,9.6013
38,0.23985,9.6109
39,0.26165,9.6062
40,0.2928,9.6113
41,0.29591,9.6128
42,0.33329,9.6015
43,0.34575,9.6044
44,0.38624,9.6009
45,0.39559,9.6095
46,0.42362,9.6199
47,0.43297,9.6132
48,0.47969,9.6134
49,0.50461,9.6023
50,0.5451,9.5979
51,0.57002,9.6019
52,0.60117,9.6067
53,0.65101,9.611
54,0.66347,9.6192
55,0.68839,9.6056
56,0.72888,9.6023
57,0.76003,9.6013
58,0.78183,9.6092
59,0.84725,9.603
60,0.85659,9.6046
61,0.90331,9.5985
62,0.94069,9.601
63,0.96873,9.6052
64,0.99053,9.6094
65,1.0404,9.5949
66,1.1089,9.5992
67,1.1182,9.6037
68,1.1805,9.6016
69,1.2179,9.6061
70,1.2646,9.6066
71,1.2989,9.6116
72,1.3581,9.6078
73,1.3986,9.6008
74,1.4671,9.5937
75,1.5201,9.6067
76,1.5792,9.6018
77,1.6104,9.6111
78,1.6633,9.6019
79,1.7506,9.5904
80,1.7911,9.5982
81,1.8565,9.6054
82,1.9063,9.5949
83,1.9655,9.6034
84,2.0216,9.601
85,2.1057,9.598
86,2.1617,9.5978
