,V,I
0,-0.24608,9.5898
1,-0.24296,9.5906
2,-0.22116,9.5879
3,-0.22427,9.5881
4,-0.20558,9.5908
5,-0.21804,9.5852
6,-0.19935,9.5928
7,-0.18689,9.5853
8,-0.16197,9.5728
9,-0.16509,9.5779
10,-0.13705,9.592
11,-0.14328,9.5964
12,-0.11525,9.5725
13,-0.1246,9.5935
14,-0.093446,9.5953
15,-0.068527,9.5858
16,-0.049838,9.576
17,-0.034264,9.5761
18,-0.040493,9.5839
19,-0.0031149,9.5722
20,0.021804,9.5753
21,0.021804,9.5778
22,0.046723,9.5836
23,0.080987,9.5788
24,0.077872,9.5819
25,0.080987,9.5787
26,0.10591,9.5792
27,0.1246,9.5819
28,0.14328,9.5794
29,0.1682,9.5716
30,0.17443,9.5837
31,0.2087,9.5786
32,0.22427,9.5718
33,0.28345,9.572
34,0.28034,9.5766
35,0.32083,9.5764
36,0.32706,9.5672
37,0.36756,9.5724
38,0.3551,9.5846
39,0.38001,9.573
40,0.40493,9.5756
41,0.41428,9.5746
42,0.43297,9.5781
43,0.45477,9.5748
44,0.461,9.5712
45,0.47346,9.5802
46,0.48281,9.5803
47,0.51707,9.584
48,0.5233,9.5737
49,0.57002,9.5795
50,0.58871,9.5791
51,0.61363,9.5761
52,0.64789,9.5726
53,0.66347,9.576
54,0.70396,9.5687
55,0.72888,9.5708
56,0.76937,9.5654
57,0.79429,9.5715
58,0.81921,9.5735
59,0.86282,9.5771
60,0.88462,9.5759
61,0.90954,9.5782
62,0.99988,9.5729
63,1.0061,9.5784
64,1.0746,9.566
65,1.0964,9.5664
66,1.14,9.571
67,1.1805,9.5713
68,1.2304,9.5694
69,1.3332,9.5702
70,1.3581,9.5815
71,1.411,9.5709
72,1.464,9.5743
73,1.5107,9.5683
74,1.5606,9.5765
75,1.626,9.5704
76,1.7163,9.5704
77,1.7537,9.572
78,1.8035,9.567
79,1.8845,9.5647
80,1.9468,9.5658
81,2.0122,9.5642
82,2.0963,9.5735
83,2.1773,9.5734
84,2.2116,9.5648
85,2.2801,9.5652
86,2.3393,9.5725
87,2.3985,9.5694
88,2.4639,9.5616
89,2.5667,9.5653
90,2.6321,9.565
91,2.6726,9.5599
92,2.7411,9.5579
93,2.794,9.5651
94,2.847,9.5717
95,2.9467,9.5714
96,3.009,9.5617
97,3.0495,9.5653
98,3.1211,9.5609
99,3.1772,9.5642
100,3.2364,9.5653
101,3.3049,9.5591
102,3.3734,9.5653
103,3.4357,9.5649
104,3.498,9.5553
105,3.5665,9.551
106,3.5946,9.5655
107,3.6693,9.5648
108,3.7316,9.5624
109,3.8126,9.5664
110,3.8562,9.5683
111,3.931,9.5626
112,4.0307,9.5597
113,4.0743,9.5556
114,4.1397,9.5583
115,4.2207,9.559
116,4.3079,9.5505
117,4.3671,9.5613
118,4.4418,9.5556
119,4.5259,9.5654
120,4.5539,9.557
121,4.6443,9.5603
122,4.7128,9.5685
123,4.7782,9.563
124,4.8499,9.5577
125,4.9184,9.5584
126,5.0087,9.5639
127,5.0305,9.5524
128,5.1333,9.5414
129,5.2174,9.5543
130,5.2797,9.5571
131,5.3576,9.558
132,5.4137,9.5604
133,5.4417,9.5616
134,5.4978,9.5563
135,5.5694,9.5543
136,5.6597,9.5554
137,5.694,9.5507
138,5.7906,9.5525
139,5.8373,9.5551
140,5.884,9.5517
141,5.9619,9.5416
142,6.0366,9.5554
143,6.1114,9.558
144,6.1706,9.5581
145,6.2391,9.5542
146,6.3076,9.5618
147,6.3481,9.5447
148,6.454,9.5427
149,6.5007,9.5539
150,6.5817,9.5545
151,6.6471,9.5516
152,6.7063,9.5481
153,6.7749,9.5562
154,6.834,9.5508
155,6.9399,9.5475
156,6.9836,9.5563
157,7.0801,9.5524
158,7.1206,9.5616
159,7.2047,9.5503
160,7.2577,9.5489
161,7.348,9.5516
162,7.429,9.5537
163,7.5069,9.5424
164,7.5754,9.5379
165,7.6346,9.5492
166,7.6906,9.5569
167,7.7841,9.5475
168,7.8401,9.547
169,7.9149,9.5601
170,7.9959,9.5597
171,8.1018,9.5459
172,8.161,9.5411
173,8.2451,9.5392
174,8.3074,9.5424
175,8.3666,9.5479
176,8.4257,9.5402
177,8.4756,9.5395
178,8.5348,9.5434
179,8.5815,9.5558
180,8.6344,9.5442
181,8.6656,9.552
182,8.6967,9.5588
183,8.7341,9.552
184,8.8089,9.5422
185,8.8307,9.5429
186,8.8805,9.5503
187,8.9148,9.546
188,9.0113,9.5385
189,9.0113,9.551
190,9.0986,9.5474
191,9.1951,9.5412
192,9.2231,9.5488
193,9.2792,9.5417
194,9.3322,9.5453
195,9.3789,9.54
196,9.4132,9.5422
197,9.4692,9.5373
198,9.544,9.5455
199,9.5658,9.5419
200,9.6281,9.5404
201,9.6686,9.5437
202,9.7402,9.5438
203,9.8025,9.5458
204,9.8648,9.5438
205,9.9458,9.5459
206,9.9551,9.5557
207,10.033,9.5433
208,10.105,9.541
209,10.183,9.5322
210,10.239,9.5428
211,10.301,9.5412
212,10.341,9.5396
213,10.382,9.5401
214,10.429,9.542
215,10.497,9.5397
216,10.541,9.5351
217,10.634,9.5386
218,10.65,9.5474
219,10.712,9.538
220,10.768,9.5371
221,10.827,9.5415
222,10.899,9.5321
223,10.955,9.5371
224,11.017,9.5266
225,11.052,9.5369
226,11.092,9.5413
227,11.173,9.5343
228,11.186,9.5365
229,11.235,9.5373
230,11.276,9.5465
231,11.31,9.5451
232,11.332,9.539
233,11.357,9.5308
234,11.435,9.5384
235,11.472,9.5373
236,11.513,9.5253
237,11.55,9.5338
238,11.59,9.5412
239,11.603,9.5425
240,11.65,9.5332
241,11.69,9.5448
242,11.687,9.5445
243,11.734,9.5354
244,11.762,9.5353
245,11.771,9.5357
246,11.787,9.5317
247,11.84,9.5299
248,11.871,9.5346
249,11.868,9.5362
250,11.924,9.5386
251,11.952,9.5454
252,12.002,9.5408
253,12.027,9.5383
254,12.086,9.5427
255,12.136,9.5341
256,12.167,9.5253
257,12.235,9.5284
258,12.285,9.535
259,12.316,9.5323
260,12.366,9.5243
261,12.388,9.5338
262,12.416,9.5415
263,12.469,9.5373
264,12.509,9.5326
265,12.544,9.5417
266,12.572,9.5393
267,12.625,9.53
268,12.65,9.5358
269,12.709,9.5277
270,12.774,9.5346
271,12.818,9.5333
272,12.877,9.5285
273,12.886,9.5329
274,12.939,9.5281
275,12.989,9.5319
276,13.02,9.5289
277,13.079,9.5264
278,13.092,9.541
279,13.145,9.5314
280,13.167,9.5309
281,13.229,9.5208
282,13.244,9.5273
283,13.288,9.5282
284,13.347,9.5207
285,13.35,9.5282
286,13.366,9.5248
287,13.388,9.5291
288,13.385,9.5304
289,13.419,9.5301
290,13.431,9.5427
291,13.462,9.5355
292,13.481,9.5234
293,13.487,9.5249
294,13.487,9.5276
295,13.494,9.5289
296,13.519,9.5197
297,13.547,9.531
298,13.553,9.5354
299,13.578,9.5325
300,13.578,9.5323
301,13.603,9.5317
302,13.649,9.5274
303,13.662,9.5242
304,13.69,9.5305
305,13.709,9.5254
306,13.752,9.5177
307,13.765,9.5276
308,13.793,9.5176
309,13.818,9.5266
310,13.874,9.524
311,13.899,9.5318
312,13.933,9.5289
313,13.927,9.5237
314,13.961,9.5358
315,13.986,9.5276
316,14.017,9.5178
317,14.039,9.5166
318,14.061,9.5282
319,14.073,9.5276
320,14.082,9.5238
321,14.079,9.5334
322,14.114,9.5312
