,V,I
0,-0.23362,9.4902
1,-0.23362,9.4858
2,-0.22739,9.4862
3,-0.21804,9.4857
4,-0.21493,9.493
5,-0.19624,9.4903
6,-0.19001,9.4801
7,-0.18689,9.4853
8,-0.16509,9.4796
9,-0.14951,9.4766
10,-0.13705,9.48
11,-0.11837,9.4823
12,-0.13705,9.4814
13,-0.096561,9.4678
14,-0.10279,9.491
15,-0.065412,9.4913
16,-0.059183,9.4852
17,-0.021804,9.4741
18,-0.037379,9.4683
19,-0.018689,9.4707
20,0.031149,9.4726
21,0.015574,9.4835
22,0.037379,9.4832
23,0.062298,9.4835
24,0.084102,9.4801
25,0.077872,9.4677
26,0.10591,9.4743
27,0.10902,9.4896
28,0.13082,9.4825
29,0.1682,9.4778
30,0.19935,9.473
31,0.21181,9.4748
32,0.27099,9.4651
33,0.28034,9.47
34,0.30214,9.4743
35,0.34887,9.4667
36,0.34887,9.4849
37,0.37379,9.4782
38,0.39247,9.4802
39,0.42674,9.4799
40,0.45789,9.4742
41,0.49838,9.4694
42,0.5451,9.4651
43,0.56691,9.4714
44,0.60117,9.4712
45,0.64166,9.4633
46,0.67281,9.4694
47,0.71019,9.4774
48,0.74134,9.4733
49,0.79429,9.4718
50,0.81921,9.4758
51,0.84102,9.4872
52,0.89085,9.4747
53,0.91889,9.4743
54,0.98119,9.4702
55,1.031,9.4742
56,1.1151,9.4677
57,1.1151,9.4625
58,1.1743,9.4609
59,1.2179,9.4732
60,1.2833,9.4759
61,1.3612,9.4725
62,1.3986,9.4709
63,1.4391,9.4752
64,1.4827,9.4633
65,1.5543,9.4659
66,1.601,9.4714
67,1.6509,9.4746
68,1.735,9.4685
69,1.7942,9.4541
70,1.844,9.4586
71,1.9156,9.4635
72,1.9686,9.4792
73,2.0278,9.4752
74,2.087,9.4686
75,2.1835,9.4686
76,2.2178,9.4716
77,2.2863,9.4638
78,2.3517,9.4618
79,2.3985,9.4691
80,2.4888,9.4536
81,2.5573,9.4618
82,2.6321,9.4668
83,2.6913,9.4678
84,2.7629,9.4661
85,2.8096,9.4657
86,2.8937,9.4615
87,2.9654,9.465
88,3.0557,9.4586
89,3.1242,9.46
90,3.1959,9.4591
91,3.2488,9.465
92,3.336,9.4546
93,3.4014,9.4532
94,3.4606,9.4643
95,3.551,9.457
96,3.6226,9.4676
97,3.6818,9.4566
98,3.7285,9.4639
99,3.8282,9.4677
100,3.8905,9.4588
101,3.9933,9.4471
102,4.0805,9.4497
103,4.121,9.4564
104,4.177,9.4584
105,4.2487,9.4562
106,4.2985,9.462
107,4.3671,9.4602
108,4.4449,9.4595
109,4.529,9.458
110,4.5944,9.4526
111,4.6661,9.4663
112,4.744,9.4551
113,4.8249,9.4565
114,4.9028,9.4524
115,4.99,9.4516
116,5.0835,9.4548
117,5.1489,9.4511
118,5.2299,9.4529
119,5.2891,9.4595
120,5.3794,9.4574
121,5.4355,9.4559
122,5.5601,9.4573
123,5.6286,9.4669
124,5.694,9.4588
125,5.7937,9.45
126,5.8684,9.4467
127,5.9432,9.445
128,6.046,9.4547
129,6.1519,9.4535
130,6.2079,9.4572
131,6.3139,9.4466
132,6.4073,9.4548
133,6.4727,9.4565
134,6.5599,9.455
135,6.669,9.4644
136,6.7624,9.4539
137,6.8527,9.448
138,6.9431,9.4499
139,7.0178,9.4595
140,7.1331,9.4457
141,7.2421,9.4435
142,7.3511,9.45
143,7.4321,9.4598
144,7.5473,9.4466
145,7.619,9.461
146,7.7155,9.4516
147,7.8215,9.4543
148,7.9149,9.4505
149,8.0115,9.451
150,8.108,9.4504
151,8.2108,9.4545
152,8.3074,9.4546
153,8.3946,9.4465
154,8.5036,9.4504
155,8.6095,9.4459
156,8.7248,9.4524
157,8.8244,9.4476
158,8.921,9.4536
159,9.03,9.4553
160,9.1141,9.4491
161,9.2418,9.443
162,9.3415,9.449
163,9.463,9.4527
164,9.5378,9.4518
165,9.625,9.4483
166,9.7153,9.4463
167,9.8056,9.4496
168,9.9458,9.4537
169,10.055,9.4496
170,10.158,9.4373
171,10.248,9.4527
172,10.348,9.4463
173,10.46,9.4483
174,10.553,9.4404
175,10.625,9.448
176,10.721,9.445
177,10.843,9.4339
178,10.927,9.4432
179,10.999,9.4417
180,11.117,9.4453
181,11.186,9.443
182,11.288,9.4471
183,11.385,9.4523
184,11.475,9.4493
185,11.544,9.4416
186,11.643,9.4396
187,11.737,9.4302
188,11.796,9.4295
189,11.886,9.4266
190,11.946,9.4379
191,12.002,9.442
192,12.076,9.4371
193,12.101,9.4387
194,12.16,9.4365
195,12.226,9.4318
196,12.241,9.4366
197,12.291,9.4337
198,12.332,9.4285
199,12.363,9.4342
200,12.382,9.4358
201,12.435,9.4261
202,12.475,9.4281
203,12.5,9.4335
204,12.553,9.4319
205,12.534,9.4379
206,12.553,9.4348
207,12.553,9.4359
208,12.584,9.4371
209,12.631,9.4308
210,12.625,9.4323
211,12.646,9.4327
212,12.653,9.4359
213,12.681,9.4265
214,12.715,9.4351
215,12.727,9.4278
216,12.755,9.4307
217,12.765,9.4228
218,12.774,9.4332
219,12.759,9.4378
220,12.752,9.4363
221,12.774,9.4382
222,12.762,9.4289
223,12.787,9.4381
224,12.818,9.426
225,12.833,9.427
226,12.846,9.4252
227,12.871,9.4258
228,12.886,9.4294
229,12.889,9.4313
230,12.917,9.4325
231,12.93,9.4426
232,12.924,9.4377
233,12.936,9.4312
234,12.958,9.4248
235,12.977,9.4327
236,12.983,9.4318
237,13.026,9.4204
238,13.061,9.4252
239,13.033,9.4291
240,13.098,9.432
241,13.132,9.4223
242,13.132,9.4289
243,13.16,9.4344
244,13.201,9.4339
245,13.192,9.4334
246,13.195,9.4157
247,13.238,9.4227
248,13.248,9.4281
249,13.282,9.4164
250,13.304,9.4318
251,13.307,9.4342
252,13.341,9.4306
253,13.385,9.4243
254,13.422,9.4242
255,13.431,9.4273
256,13.45,9.4232
257,13.466,9.4355
258,13.475,9.4299
259,13.531,9.4257
260,13.547,9.4267
261,13.603,9.4162
262,13.628,9.422
263,13.665,9.424
264,13.702,9.4289
265,13.687,9.4282
266,13.718,9.4365
267,13.743,9.4319
268,13.796,9.4238
269,13.827,9.4182
270,13.883,9.4142
271,13.892,9.4308
272,13.914,9.4282
273,13.958,9.4108
274,13.973,9.4216
275,13.983,9.4279
276,14.014,9.4383
277,14.036,9.4305
278,14.054,9.4273
279,14.073,9.4247
280,14.117,9.427
281,14.16,9.4251
282,14.194,9.4231
283,14.232,9.4279
284,14.275,9.4232
285,14.307,9.415
286,14.325,9.4178
287,14.35,9.4233
288,14.381,9.432
289,14.437,9.4254
290,14.472,9.4305
291,14.518,9.428
292,14.543,9.4198
293,14.578,9.418
294,14.621,9.4167
295,14.668,9.4249
296,14.687,9.4288
297,14.724,9.4142
298,14.771,9.4256
299,14.802,9.4172
300,14.846,9.4273
301,14.877,9.4212
302,14.936,9.4257
303,14.939,9.4308
304,15.023,9.4158
305,15.014,9.4252
306,15.042,9.4179
307,15.082,9.4225
308,15.113,9.419
309,15.151,9.4096
310,15.194,9.4235
311,15.244,9.4286
312,15.272,9.4295
313,15.31,9.41
314,15.353,9.426
315,15.381,9.4261
316,15.462,9.4153
317,15.493,9.4199
318,15.515,9.4127
319,15.549,9.4158
320,15.574,9.4241
321,15.627,9.4211
322,15.665,9.4245
323,15.727,9.4174
324,15.768,9.4223
325,15.799,9.4193
326,15.845,9.4185
327,15.861,9.4265
328,15.923,9.424
329,15.973,9.4143
330,16.029,9.4063
331,16.045,9.4142
332,16.06,9.4244
333,16.088,9.4152
334,16.126,9.4252
335,16.141,9.4279
336,16.197,9.4201
337,16.253,9.4145
338,16.303,9.4182
339,16.35,9.4207
340,16.409,9.4151
341,16.456,9.4158
342,16.496,9.4124
343,16.546,9.4217
344,16.599,9.42
345,16.661,9.407
346,16.68,9.418
347,16.705,9.418
348,16.736,9.4206
349,16.805,9.4117
350,16.845,9.426
351,16.889,9.4223
352,16.948,9.417
353,16.979,9.4147
354,17.004,9.4099
355,17.07,9.4087
356,17.098,9.4093
357,17.126,9.4133
358,17.132,9.4191
359,17.169,9.4204
360,17.182,9.4303
361,17.225,9.422
362,17.316,9.4165
363,17.353,9.4176
364,17.428,9.4064
365,17.446,9.4133
366,17.518,9.4137
367,17.531,9.4188
368,17.587,9.4116
369,17.636,9.4104
370,17.689,9.4133
371,17.767,9.4184
372,17.802,9.419
373,17.848,9.4157
374,17.883,9.4188
375,17.932,9.4187
376,17.992,9.4149
377,18.06,9.406
378,18.085,9.4121
379,18.141,9.408
380,18.175,9.4097
381,18.216,9.4049
382,18.238,9.4182
383,18.291,9.4204
384,18.344,9.4204
385,18.384,9.4085
386,18.446,9.4164
387,18.453,9.4229
388,18.499,9.4102
389,18.552,9.4185
390,18.615,9.4112
391,18.661,9.4135
392,18.73,9.4153
393,18.783,9.4101
394,18.811,9.4095
395,18.873,9.4168
396,18.945,9.4152
397,18.995,9.413
398,19.072,9.4131
399,19.1,9.415
400,19.163,9.4173
401,19.231,9.4107
402,19.287,9.4058
403,19.328,9.4145
404,19.362,9.414
405,19.399,9.4124
406,19.465,9.4137
407,19.533,9.415
408,19.58,9.412
409,19.658,9.4066
410,19.708,9.4178
411,19.745,9.4164
412,19.814,9.4178
413,19.885,9.4164
414,19.904,9.4112
415,19.969,9.4098
416,20.05,9.4046
417,20.082,9.4089
418,20.125,9.4107
419,20.216,9.4151
420,20.281,9.4119
421,20.328,9.4104
422,20.396,9.4106
423,20.465,9.4152
424,20.511,9.4092
425,20.571,9.4081
426,20.627,9.4041
427,20.649,9.4153
