,V,I
0,-0.21493,9.1109
1,-0.2305,9.1157
2,-0.2087,9.1207
3,-0.21493,9.1159
4,-0.18378,9.1145
5,-0.15886,9.1058
6,-0.14951,9.1085
7,-0.099676,9.1105
8,-0.087217,9.1178
9,-0.084102,9.1057
10,-0.043608,9.1042
11,-0.031149,9.1125
12,-0.0062298,9.1152
13,0.043608,9.1072
14,0.080987,9.109
15,0.096561,9.1154
16,0.12148,9.1092
17,0.18378,9.1028
18,0.1682,9.1097
19,0.21181,9.1108
20,0.25853,9.1109
21,0.3146,9.1025
22,0.35198,9.1063
23,0.38313,9.1053
24,0.4392,9.1096
25,0.48281,9.1034
26,0.50461,9.1049
27,0.57002,9.114
28,0.61986,9.1104
29,0.66658,9.1054
30,0.72265,9.0963
31,0.77249,9.1037
32,0.8161,9.1067
33,0.85659,9.101
34,0.96873,9.099
35,0.99676,9.1115
36,1.0653,9.1085
37,1.1182,9.1083
38,1.1681,9.1101
39,1.221,9.1089
40,1.3145,9.1028
41,1.3955,9.1007
42,1.4765,9.0985
43,1.5387,9.1028
44,1.6291,9.107
45,1.7038,9.101
46,1.8035,9.0994
47,1.9125,9.1015
48,2.0153,9.1031
49,2.0994,9.104
50,2.1773,9.1031
51,2.2894,9.1062
52,2.3704,9.1018
53,2.5168,9.0984
54,2.6072,9.099
55,2.7224,9.0966
56,2.8158,9.1044
57,2.9311,9.1018
58,3.037,9.1029
59,3.1554,9.1013
60,3.2831,9.0999
61,3.417,9.1022
62,3.5728,9.1005
63,3.6974,9.1059
64,3.8406,9.0992
65,3.9684,9.0959
66,4.1179,9.089
67,4.2362,9.1
68,4.4076,9.0973
69,4.5446,9.0953
70,4.663,9.0992
71,4.8031,9.0975
72,4.9589,9.1023
73,5.0866,9.0991
74,5.2455,9.1087
75,5.4168,9.0995
76,5.585,9.095
77,5.7314,9.0871
78,5.8996,9.0947
79,6.0802,9.0972
80,6.2422,9.0949
81,6.4322,9.087
82,6.6098,9.0868
83,6.7873,9.0957
84,6.9617,9.0999
85,7.1455,9.0969
86,7.3075,9.1013
87,7.4944,9.1005
88,7.6937,9.0995
89,7.918,9.091
90,8.1018,9.0869
91,8.2793,9.0892
92,8.4912,9.0846
93,8.703,9.0884
94,8.8992,9.0892
95,9.1328,9.095
96,9.3353,9.0915
97,9.5284,9.09
98,9.7371,9.0932
99,9.9583,9.0925
100,10.154,9.0919
101,10.382,9.085
102,10.615,9.0877
103,10.821,9.0956
104,11.045,9.0841
105,11.291,9.0836
106,11.503,9.0843
107,11.712,9.0898
108,11.952,9.0905
109,12.157,9.0921
110,12.363,9.0899
111,12.597,9.0834
112,12.821,9.0882
113,13.026,9.0817
114,13.269,9.0733
115,13.491,9.0865
116,13.724,9.085
117,13.927,9.0721
118,14.176,9.07
119,14.372,9.0798
120,14.584,9.0815
121,14.808,9.081
122,14.998,9.0748
123,15.173,9.0825
124,15.366,9.0801
125,15.556,9.0841
126,15.73,9.0767
127,15.917,9.0794
128,16.095,9.0684
129,16.303,9.0647
130,16.471,9.0707
131,16.668,9.0716
132,16.861,9.075
133,17.041,9.066
134,17.21,9.0667
135,17.369,9.0661
136,17.537,9.065
137,17.633,9.0695
138,17.764,9.0589
139,17.886,9.0653
140,17.992,9.0508
141,18.113,9.0461
142,18.2,9.055
143,18.253,9.0559
144,18.287,9.0638
145,18.331,9.0621
146,18.353,9.0656
147,18.406,9.0616
148,18.453,9.0594
149,18.468,9.0578
150,18.509,9.0523
151,18.53,9.0533
152,18.543,9.0569
153,18.596,9.0547
154,18.608,9.0592
155,18.633,9.0669
156,18.68,9.0646
157,18.692,9.0582
158,18.733,9.0611
159,18.733,9.0555
160,18.78,9.0569
161,18.789,9.0558
162,18.817,9.0553
163,18.826,9.0605
164,18.845,9.0599
165,18.864,9.0538
166,18.907,9.0529
167,18.942,9.0588
168,18.96,9.0628
169,19.001,9.0591
170,19.054,9.0601
171,19.076,9.0616
172,19.113,9.0514
173,19.194,9.0568
174,19.222,9.061
175,19.275,9.0599
176,19.325,9.0488
177,19.368,9.0492
178,19.393,9.0566
179,19.477,9.0541
180,19.54,9.0633
181,19.593,9.0568
182,19.68,9.0512
183,19.761,9.0598
184,19.808,9.0523
185,19.864,9.0496
186,19.923,9.0503
187,19.979,9.0512
188,20.044,9.049
189,20.103,9.0462
190,20.169,9.0544
191,20.212,9.0608
192,20.325,9.0541
193,20.371,9.0473
194,20.471,9.0558
195,20.539,9.0622
196,20.608,9.0506
197,20.683,9.0598
198,20.723,9.0495
199,20.81,9.0559
200,20.898,9.0476
201,20.979,9.038
202,21.044,9.0473
203,21.128,9.046
204,21.184,9.0668
205,21.25,9.0553
206,21.371,9.0535
207,21.477,9.053
208,21.571,9.0415
209,21.683,9.0386
210,21.761,9.0417
211,21.823,9.051
212,21.891,9.0436
213,21.991,9.0377
214,22.056,9.0497
215,22.144,9.0523
216,22.24,9.0548
217,22.293,9.049
218,22.359,9.0405
219,22.44,9.0494
220,22.517,9.0511
221,22.602,9.0466
222,22.689,9.0406
223,22.779,9.0475
224,22.876,9.0353
225,22.95,9.0295
226,22.985,9.0387
227,23.019,9.0406
228,23.072,9.0521
229,23.112,9.0424
230,23.175,9.0359
231,23.203,9.0466
232,23.24,9.0507
233,23.281,9.0487
234,23.358,9.0384
235,23.418,9.0376
236,23.467,9.0446
237,23.533,9.0333
238,23.564,9.0377
239,23.583,9.0399
240,23.654,9.0385
241,23.704,9.032
242,23.748,9.0359
243,23.788,9.0405
244,23.801,9.0379
245,23.835,9.0435
246,23.851,9.0393
247,23.928,9.0337
248,23.963,9.0328
249,24.009,9.0331
