,V,I
0,-0.23985,9.4457
1,-0.2305,9.4485
2,-0.20247,9.4474
3,-0.18378,9.4401
4,-0.19312,9.4395
5,-0.17755,9.4458
6,-0.17443,9.4431
7,-0.14951,9.4449
8,-0.14328,9.4411
9,-0.13082,9.4415
10,-0.080987,9.4332
11,-0.065412,9.4266
12,-0.071642,9.4321
13,-0.037379,9.4349
14,-0.049838,9.4461
15,-0.037379,9.4371
16,-0.024919,9.442
17,0.0062298,9.4459
18,0.0,9.4453
19,0.031149,9.4326
20,0.068527,9.4292
21,0.087217,9.4366
22,0.10591,9.4306
23,0.14328,9.4344
24,0.16509,9.4369
25,0.17443,9.4339
26,0.2305,9.4383
27,0.24296,9.4382
28,0.24919,9.4284
29,0.28345,9.4402
30,0.33641,9.4397
31,0.36133,9.4413
32,0.41739,9.427
33,0.45477,9.4353
34,0.48281,9.4295
35,0.52018,9.4219
36,0.56068,9.4239
37,0.59806,9.434
38,0.65412,9.4416
39,0.71019,9.4363
40,0.74757,9.4402
41,0.79429,9.4354
42,0.86594,9.4264
43,0.91266,9.4357
44,0.99053,9.4292
45,1.0341,9.4324
46,1.0933,9.4275
47,1.1587,9.4241
48,1.193,9.4312
49,1.2584,9.4272
50,1.3425,9.4423
51,1.4297,9.4364
52,1.4983,9.4357
53,1.5855,9.4253
54,1.654,9.4346
55,1.7256,9.4315
56,1.8596,9.412
57,1.9312,9.4283
58,2.0122,9.4146
59,2.1025,9.4128
60,2.168,9.4312
61,2.2583,9.4321
62,2.3393,9.4343
63,2.4576,9.4304
64,2.5262,9.4327
65,2.6321,9.4315
66,2.7286,9.4278
67,2.8283,9.4224
68,2.9342,9.4175
69,3.0183,9.4233
70,3.118,9.4264
71,3.2364,9.4179
72,3.3485,9.4255
73,3.47,9.418
74,3.6008,9.4222
75,3.7067,9.4262
76,3.8157,9.4225
77,3.9279,9.4231
78,4.0711,9.4103
79,4.177,9.422
80,4.3172,9.4175
81,4.4262,9.4215
82,4.5508,9.4214
83,4.6723,9.4139
84,4.8094,9.4173
85,4.9277,9.4135
86,5.0648,9.4161
87,5.1956,9.4195
88,5.3358,9.427
89,5.4573,9.4265
90,5.613,9.4066
91,5.7563,9.4138
92,5.9089,9.4056
93,6.0491,9.411
94,6.1675,9.4177
95,6.3294,9.4043
96,6.4416,9.4063
97,6.5755,9.4031
98,6.7188,9.4086
99,6.8434,9.4113
100,6.9711,9.4154
101,7.105,9.4091
102,7.2234,9.4052
103,7.3542,9.4044
104,7.4508,9.3991
105,7.5972,9.4069
106,7.6875,9.3993
107,7.8059,9.3877
108,7.9211,9.3968
109,7.9865,9.3975
110,8.0738,9.4029
111,8.1703,9.4014
112,8.2638,9.4029
113,8.323,9.401
114,8.4382,9.3858
115,8.5098,9.397
116,8.5535,9.3922
117,8.6126,9.4005
118,8.6967,9.3953
119,8.7653,9.3881
120,8.8307,9.3922
121,8.9054,9.3906
122,8.9522,9.4019
123,8.9958,9.3893
124,9.0705,9.3964
125,9.1017,9.4055
126,9.1609,9.397
127,9.2107,9.3871
128,9.2886,9.3854
129,9.3477,9.3894
130,9.3882,9.3883
131,9.4256,9.3878
132,9.4941,9.403
133,9.5346,9.398
134,9.6156,9.3952
135,9.7091,9.3879
136,9.7496,9.3862
137,9.8119,9.3888
138,9.871,9.383
139,9.9302,9.3888
140,9.9707,9.3839
141,10.058,9.3887
142,10.102,9.3971
143,10.158,9.3843
144,10.207,9.3858
145,10.273,9.3882
146,10.326,9.3872
147,10.379,9.3884
148,10.444,9.3886
149,10.513,9.4026
150,10.581,9.3802
151,10.678,9.3853
152,10.756,9.3756
153,10.815,9.3769
154,10.893,9.3854
155,10.961,9.3807
156,11.017,9.3911
157,11.08,9.3801
158,11.182,9.3863
159,11.232,9.3838
160,11.313,9.3807
161,11.366,9.3908
162,11.422,9.3896
163,11.491,9.3872
164,11.566,9.382
165,11.628,9.3833
166,11.699,9.3802
167,11.752,9.3739
168,11.837,9.3748
169,11.924,9.3796
170,11.999,9.3838
171,12.07,9.3844
172,12.142,9.3847
173,12.198,9.3909
174,12.266,9.3798
175,12.388,9.375
176,12.428,9.3798
177,12.5,9.3782
178,12.556,9.3768
179,12.625,9.376
180,12.674,9.382
181,12.752,9.3893
182,12.849,9.3911
183,12.93,9.3815
184,13.008,9.3768
185,13.092,9.3804
186,13.182,9.3675
187,13.266,9.3754
188,13.338,9.3732
189,13.416,9.3793
190,13.547,9.3704
191,13.603,9.3718
192,13.709,9.3737
193,13.783,9.3735
194,13.871,9.3755
195,13.945,9.3692
196,14.039,9.3755
197,14.107,9.3797
198,14.151,9.3794
199,14.244,9.3742
200,14.332,9.3705
201,14.385,9.3718
202,14.469,9.3725
203,14.543,9.368
204,14.603,9.3802
205,14.684,9.3721
206,14.774,9.3729
207,14.864,9.3672
208,14.905,9.3656
209,15.017,9.3714
210,15.073,9.3716
211,15.166,9.3669
212,15.213,9.3654
213,15.282,9.3751
214,15.359,9.368
215,15.397,9.3605
216,15.475,9.3605
217,15.537,9.3612
218,15.574,9.3668
219,15.606,9.3713
220,15.668,9.3732
221,15.705,9.3837
222,15.764,9.361
223,15.83,9.3645
224,15.88,9.3596
225,15.895,9.3656
226,15.97,9.3659
227,16.01,9.3659
228,16.045,9.3669
229,16.098,9.3614
230,16.191,9.3709
231,16.247,9.3592
232,16.319,9.3588
233,16.366,9.3667
234,16.39,9.3677
235,16.412,9.3584
236,16.487,9.3616
237,16.528,9.366
238,16.574,9.3572
239,16.637,9.3501
240,16.674,9.3649
241,16.718,9.3674
242,16.78,9.3692
243,16.842,9.3626
244,16.873,9.3699
245,16.929,9.368
246,16.995,9.3574
247,17.041,9.3511
248,17.073,9.3522
249,17.104,9.3684
250,17.151,9.3666
251,17.21,9.3624
252,17.266,9.3572
253,17.356,9.3553
254,17.403,9.3553
255,17.428,9.3523
256,17.456,9.3594
257,17.493,9.3656
258,17.506,9.3659
259,17.543,9.3616
260,17.605,9.3576
261,17.618,9.3648
262,17.661,9.3539
263,17.711,9.3556
264,17.749,9.3581
265,17.789,9.3574
266,17.842,9.3644
267,17.904,9.3509
268,17.945,9.3532
269,17.982,9.3558
270,18.016,9.3629
271,18.044,9.356
272,18.113,9.3529
273,18.119,9.3633
274,18.175,9.3583
275,18.216,9.3479
276,18.238,9.3515
277,18.291,9.3516
278,18.34,9.3531
279,18.368,9.3544
280,18.381,9.3556
281,18.418,9.3658
282,18.453,9.3635
283,18.49,9.3579
284,18.534,9.3419
285,18.59,9.3469
286,18.599,9.3479
287,18.652,9.3392
288,18.689,9.3545
289,18.717,9.3504
290,18.758,9.3572
291,18.808,9.3482
292,18.808,9.3548
293,18.829,9.3559
294,18.876,9.3511
295,18.892,9.3527
296,18.904,9.3373
297,18.923,9.3493
298,18.945,9.3492
299,18.982,9.346
300,19.019,9.3476
301,19.066,9.3394
302,19.104,9.3426
303,19.091,9.3418
304,19.116,9.3485
305,19.1,9.3522
306,19.11,9.3477
307,19.085,9.349
308,19.144,9.3383
309,19.156,9.3493
310,19.153,9.3412
311,19.178,9.3395
312,19.15,9.3445
313,19.135,9.3525
314,19.15,9.356
315,19.156,9.355
316,19.16,9.3472
317,19.16,9.3418
318,19.181,9.3458
319,19.181,9.347
320,19.197,9.3389
321,19.228,9.3527
322,19.247,9.3486
323,19.262,9.3384
324,19.306,9.3395
325,19.318,9.3466
326,19.315,9.3467
327,19.337,9.3387
328,19.35,9.3522
329,19.346,9.3534
330,19.356,9.346
331,19.39,9.3553
332,19.403,9.3456
333,19.44,9.3459
334,19.477,9.3395
335,19.502,9.3359
336,19.499,9.3464
337,19.521,9.3456
338,19.549,9.3594
339,19.605,9.3478
340,19.639,9.3403
341,19.686,9.3434
342,19.72,9.3453
343,19.751,9.348
344,19.808,9.3391
345,19.857,9.3434
346,19.892,9.3435
347,19.92,9.332
348,19.991,9.3418
349,20.019,9.3436
350,20.075,9.3447
351,20.107,9.3437
352,20.135,9.3474
353,20.135,9.354
354,20.194,9.339
355,20.244,9.3461
356,20.278,9.3327
357,20.321,9.3378
358,20.368,9.3416
359,20.399,9.3324
360,20.43,9.3457
361,20.474,9.345
362,20.527,9.3502
363,20.555,9.3432
364,20.602,9.3476
365,20.633,9.3462
366,20.652,9.3334
367,20.673,9.3422
368,20.692,9.3433
369,20.773,9.3392
370,20.801,9.3451
371,20.87,9.3291
372,20.891,9.3378
373,20.926,9.3353
374,20.926,9.3476
375,20.963,9.3431
376,21.013,9.3447
377,21.025,9.346
378,21.075,9.3383
379,21.138,9.3356
380,21.178,9.335
381,21.212,9.3437
382,21.268,9.3427
383,21.315,9.3349
384,21.371,9.3288
385,21.412,9.3347
386,21.465,9.3401
387,21.477,9.3428
388,21.521,9.3386
389,21.536,9.3484
390,21.592,9.3432
391,21.642,9.3379
392,21.683,9.3394
393,21.739,9.3424
394,21.792,9.3356
395,21.842,9.3281
396,21.935,9.3323
397,21.966,9.3362
398,22.028,9.3412
399,22.1,9.3339
400,22.147,9.3415
401,22.218,9.3444
402,22.253,9.3342
403,22.337,9.3404
404,22.38,9.3322
405,22.44,9.3276
406,22.489,9.3332
407,22.521,9.3365
408,22.545,9.3362
409,22.598,9.3335
410,22.642,9.3423
411,22.667,9.3432
412,22.717,9.3392
413,22.782,9.3489
414,22.792,9.3386
415,22.857,9.3312
416,22.925,9.3241
417,22.972,9.3315
418,23.025,9.3249
419,23.056,9.332
420,23.1,9.3419
421,23.131,9.3378
422,23.193,9.3322
423,23.206,9.3362
424,23.231,9.3397
425,23.274,9.3435
426,23.318,9.3398
427,23.386,9.335
428,23.427,9.3285
429,23.467,9.3336
430,23.542,9.339
431,23.573,9.3331
432,23.648,9.3394
433,23.729,9.3245
434,23.773,9.333
435,23.807,9.3292
436,23.854,9.3344
437,23.872,9.3484
438,23.913,9.3319
439,23.997,9.3281
440,24.041,9.3331
441,24.084,9.3343
442,24.153,9.3292
443,24.209,9.3271
444,24.228,9.3318
445,24.287,9.3311
446,24.33,9.3373
447,24.38,9.3347
448,24.418,9.3383
449,24.47,9.3422
450,24.523,9.3339
451,24.579,9.3256
452,24.664,9.3265
453,24.692,9.3303
454,24.773,9.325
455,24.779,9.3272
456,24.838,9.3253
457,24.879,9.3333
458,24.935,9.3291
459,24.978,9.3294
460,25.025,9.3348
461,25.05,9.34
462,25.093,9.3347
463,25.153,9.331
464,25.196,9.3249
465,25.202,9.3319
466,25.259,9.3241
467,25.271,9.3235
468,25.283,9.3339
469,25.302,9.3403
470,25.336,9.3422
471,25.392,9.3342
472,25.43,9.3316
473,25.536,9.327
474,25.558,9.324
475,25.635,9.3229
476,25.657,9.3235
477,25.701,9.3278
478,25.751,9.3256
479,25.794,9.3213
480,25.829,9.3329
481,25.888,9.3224
482,25.916,9.3342
483,25.95,9.3294
484,25.969,9.3316
485,25.997,9.3364
486,26.012,9.3323
487,26.059,9.3298
488,26.149,9.3186
489,26.174,9.3313
490,26.243,9.3168
491,26.265,9.321
492,26.302,9.3285
493,26.324,9.3314
494,26.414,9.3375
495,26.455,9.3269
496,26.508,9.327
497,26.545,9.3286
498,26.604,9.3259
499,26.635,9.3251
500,26.67,9.3224
501,26.71,9.3306
502,26.735,9.327
503,26.782,9.3185
504,26.794,9.326
505,26.816,9.3288
506,26.825,9.3338
507,26.881,9.3145
508,26.9,9.3336
509,26.947,9.3359
510,26.984,9.3247
511,27.034,9.3188
512,27.065,9.3173
513,27.068,9.3269
514,27.084,9.3242
515,27.115,9.3223
516,27.09,9.3302
517,27.134,9.3228
518,27.162,9.327
519,27.174,9.327
520,27.208,9.3224
521,27.236,9.327
522,27.246,9.3252
523,27.243,9.3242
524,27.296,9.3106
525,27.28,9.3317
526,27.289,9.3244
527,27.324,9.3144
528,27.361,9.3127
529,27.38,9.322
530,27.42,9.3255
531,27.461,9.3273
532,27.47,9.3263
533,27.476,9.3226
534,27.523,9.3205
535,27.539,9.3175
536,27.545,9.3122
537,27.557,9.3244
538,27.57,9.3262
539,27.567,9.3208
540,27.607,9.3242
541,27.645,9.3169
542,27.657,9.3279
543,27.704,9.3212
544,27.747,9.3195
545,27.754,9.3194
546,27.754,9.3128
547,27.763,9.3196
548,27.766,9.317
549,27.8,9.3245
550,27.803,9.3235
551,27.859,9.3174
552,27.884,9.3155
553,27.916,9.3114
554,27.94,9.3193
555,27.978,9.3149
556,27.978,9.3209
557,28.003,9.3232
558,28.034,9.3163
559,28.053,9.318
560,28.09,9.3055
561,28.106,9.3198
562,28.102,9.3201
563,28.109,9.3103
564,28.118,9.3291
565,28.152,9.3182
566,28.196,9.3142
567,28.205,9.3091
568,28.221,9.3206
569,28.221,9.3237
570,28.28,9.322
571,28.271,9.3255
572,28.308,9.3102
573,28.327,9.3154
574,28.339,9.3141
575,28.367,9.3021
576,28.38,9.3146
577,28.377,9.3188
578,28.401,9.3234
579,28.426,9.3168
580,28.423,9.3252
581,28.423,9.3297
582,28.461,9.3192
583,28.476,9.3162
584,28.482,9.3112
585,28.523,9.3148
586,28.538,9.3153
587,28.579,9.3112
588,28.613,9.3104
589,28.691,9.2991
590,28.713,9.3075
591,28.747,9.3073
592,28.769,9.3099
593,28.75,9.3248
594,28.75,9.3165
595,28.76,9.3166
596,28.791,9.3091
597,28.803,9.3108
598,28.819,9.3077
599,28.831,9.3063
600,28.841,9.3075
601,28.825,9.3232
602,28.866,9.3206
603,28.875,9.3186
604,28.89,9.3081
605,28.925,9.3081
606,28.947,9.3035
607,28.965,9.3103
608,28.953,9.3046
609,28.978,9.3078
610,28.975,9.317
611,28.971,9.3083
612,29.0,9.3073
613,28.99,9.3065
614,28.993,9.3144
615,28.987,9.3019
616,28.978,9.31
617,28.953,9.3179
618,28.931,9.313
619,28.968,9.3169
620,28.968,9.3106
621,29.0,9.3051
622,29.024,9.3024
623,29.037,9.2944
624,29.024,9.3022
625,29.018,9.3038
626,29.043,9.3091
627,29.037,9.3073
628,29.049,9.3059
629,29.034,9.3091
630,29.015,9.3025
631,29.009,9.3089
632,29.012,9.308
633,29.024,9.3101
634,29.031,9.3039
635,29.012,9.2982
636,29.028,9.302
637,29.049,9.3041
638,29.046,9.3077
639,29.062,9.3054
640,29.062,9.3033
641,29.062,9.3131
