,V,I
0,-0.24608,9.5545
1,-0.23673,9.544
2,-0.22427,9.5565
3,-0.22427,9.5596
4,-0.21493,9.5494
5,-0.19001,9.5597
6,-0.19001,9.5621
7,-0.19312,9.5606
8,-0.16509,9.5495
9,-0.14951,9.5502
10,-0.16197,9.56
11,-0.13394,9.5474
12,-0.13082,9.5422
13,-0.13705,9.5438
14,-0.13394,9.5524
15,-0.11214,9.5552
16,-0.1246,9.5581
17,-0.093446,9.5567
18,-0.096561,9.5599
19,-0.093446,9.5563
20,-0.096561,9.5559
21,-0.087217,9.5438
22,-0.087217,9.5466
23,-0.071642,9.5472
24,-0.056068,9.5508
25,-0.052953,9.5566
26,-0.046723,9.5467
27,-0.031149,9.5535
28,-0.037379,9.5506
29,-0.015574,9.5557
30,-0.024919,9.5553
31,0.0031149,9.5501
32,-0.0031149,9.5497
33,0.01246,9.5387
34,0.040493,9.5446
35,0.052953,9.5472
36,0.068527,9.5412
37,0.084102,9.5501
38,0.10591,9.5514
39,0.11837,9.5481
40,0.12771,9.5403
41,0.15263,9.5474
42,0.15574,9.5501
43,0.14951,9.5519
44,0.18378,9.5438
45,0.19624,9.5428
46,0.21804,9.548
47,0.26165,9.5454
48,0.27411,9.5442
49,0.28345,9.5434
50,0.30214,9.5462
51,0.33329,9.5376
52,0.34575,9.5425
53,0.36756,9.5457
54,0.41428,9.546
55,0.41428,9.5494
56,0.4392,9.5491
57,0.45477,9.5502
58,0.49527,9.5407
59,0.53887,9.5392
60,0.56379,9.5381
61,0.57314,9.5462
62,0.59183,9.5414
63,0.61363,9.55
64,0.6697,9.5421
65,0.68527,9.5426
66,0.72577,9.5489
67,0.76314,9.5465
68,0.76626,9.5436
69,0.80987,9.5335
70,0.83479,9.5404
71,0.86282,9.5403
72,0.922,9.5367
73,0.94381,9.5417
74,0.98742,9.5427
75,1.0123,9.5417
76,1.0777,9.538
77,1.0964,9.5457
78,1.1463,9.5472
79,1.1837,9.5397
80,1.2241,9.5456
81,1.274,9.539
82,1.3114,9.5449
83,1.3674,9.5362
84,1.4266,9.5381
85,1.4733,9.5359
86,1.5387,9.5433
87,1.5886,9.5448
88,1.6447,9.5395
89,1.6914,9.5408
90,1.7381,9.5493
91,1.7879,9.5417
92,1.844,9.5411
93,1.897,9.5367
94,1.953,9.5436
95,2.0465,9.5391
96,2.087,9.5352
97,2.143,9.5402
98,2.2116,9.5299
99,2.2925,9.5451
100,2.333,9.538
101,2.4203,9.535
102,2.4763,9.5456
103,2.5355,9.5394
104,2.604,9.5403
105,2.7068,9.5263
106,2.7536,9.5412
107,2.8252,9.5447
108,2.9155,9.5354
109,3.0059,9.5353
110,3.0495,9.5382
111,3.1523,9.5378
112,3.2519,9.5336
113,3.3142,9.5397
114,3.4046,9.5435
115,3.5011,9.5356
116,3.5977,9.5315
117,3.66,9.5358
