,V,I
0,-0.24919,5.9931
1,-0.2305,5.998
2,-0.18378,5.9899
3,-0.15263,5.9895
4,-0.12771,5.9904
5,-0.11525,5.9935
6,-0.049838,5.9975
7,-0.01246,5.9985
8,0.0062298,5.9993
9,0.037379,5.9941
10,0.11525,5.9895
11,0.12771,5.9899
12,0.17132,5.9902
13,0.22739,5.9936
14,0.25853,5.994
15,0.31149,5.9954
16,0.3551,5.9986
17,0.40805,5.9927
18,0.45477,5.9946
19,0.49527,5.9874
20,0.53264,5.9956
21,0.59494,5.9907
22,0.63232,5.9905
23,0.68839,5.9905
24,0.72888,5.9919
25,0.78183,5.9957
26,0.81298,5.9947
27,0.90331,5.9923
28,0.95627,5.9943
29,1.0154,5.9935
30,1.0809,5.9937
31,1.14,5.99
32,1.1868,5.9911
33,1.2522,5.992
34,1.3332,5.9903
35,1.4017,5.996
36,1.4453,5.9942
37,1.5637,5.9959
38,1.6415,5.9893
39,1.7319,5.9888
40,1.8191,5.9881
41,1.8938,5.9931
42,1.9811,5.9915
43,2.0839,5.9825
44,2.1555,5.9897
45,2.2427,5.9934
46,2.3362,5.9887
47,2.4171,5.99
48,2.5012,5.9925
49,2.5947,5.9903
50,2.738,5.9853
51,2.7816,5.9912
52,2.8781,5.9871
53,2.9529,5.9901
54,3.0495,5.9896
55,3.1149,5.9892
56,3.2208,5.9935
57,3.3267,5.9946
58,3.3983,5.9926
59,3.5042,5.9888
60,3.6164,5.9866
61,3.6974,5.9889
62,3.8251,5.986
63,3.9434,5.9883
64,4.0525,5.9898
65,4.1615,5.9843
66,4.2736,5.9874
67,4.3889,5.9875
68,4.4698,5.9906
69,4.5944,5.9842
70,4.7003,5.9865
71,4.8063,5.9839
72,4.8997,5.9853
73,5.0025,5.9896
74,5.1084,5.9874
75,5.1987,5.9866
76,5.314,5.9881
77,5.4635,5.9859
78,5.5538,5.9887
79,5.6722,5.9848
80,5.7532,5.9875
81,5.8902,5.9826
82,5.9743,5.9819
83,6.0802,5.9831
84,6.1861,5.9884
85,6.2889,5.9888
86,6.373,5.9845
87,6.5007,5.9822
88,6.6067,5.9845
89,6.7126,5.9823
90,6.8154,5.9836
91,6.9306,5.982
92,6.9929,5.9857
93,7.0895,5.9796
94,7.2359,5.978
95,7.3044,5.9903
96,7.4165,5.9834
97,7.5473,5.982
98,7.6626,5.9795
99,7.7529,5.9799
100,7.8682,5.9808
101,7.9523,5.9864
102,8.0426,5.9777
103,8.108,5.9843
104,8.2015,5.9834
105,8.2825,5.9859
106,8.3728,5.9814
107,8.4693,5.98
108,8.5254,5.9795
109,8.6095,5.9808
110,8.6812,5.9861
111,8.7653,5.9795
112,8.8618,5.9813
113,8.9335,5.9789
114,9.0425,5.9824
115,9.1079,5.9821
116,9.2045,5.9792
117,9.2823,5.9837
118,9.3695,5.9811
119,9.4568,5.98
120,9.5346,5.9813
121,9.6343,5.9813
122,9.7153,5.9805
123,9.7994,5.9801
124,9.8866,5.9844
125,10.002,5.9806
126,10.111,5.9774
127,10.211,5.9815
128,10.285,5.9816
129,10.379,5.9827
130,10.45,5.9795
131,10.55,5.9763
132,10.628,5.9795
133,10.734,5.9762
134,10.834,5.9839
135,10.921,5.9813
136,10.983,5.9772
137,11.067,5.9817
138,11.189,5.9803
139,11.245,5.9786
140,11.319,5.978
141,11.407,5.9818
142,11.45,5.9811
143,11.528,5.978
144,11.628,5.9834
145,11.728,5.984
146,11.827,5.9774
147,11.946,5.9762
148,12.039,5.9822
149,12.129,5.9812
150,12.232,5.9734
151,12.326,5.9767
152,12.4,5.9815
153,12.481,5.9768
154,12.59,5.9773
155,12.693,5.9808
156,12.774,5.9788
157,12.902,5.9756
158,13.008,5.9789
159,13.107,5.9788
160,13.22,5.9772
161,13.341,5.9767
162,13.447,5.9781
163,13.54,5.9763
164,13.659,5.975
165,13.746,5.9812
166,13.871,5.9743
167,13.964,5.9779
168,14.054,5.9794
169,14.154,5.979
170,14.216,5.9767
171,14.304,5.98
172,14.378,5.9822
173,14.45,5.9811
174,14.556,5.9788
175,14.649,5.9766
176,14.771,5.9776
177,14.892,5.9772
178,15.023,5.9704
179,15.132,5.9763
180,15.241,5.9779
181,15.359,5.9764
182,15.512,5.9744
