,V,I
0,-0.22427,9.154
1,-0.23985,9.1587
2,-0.22116,9.1503
3,-0.23673,9.1472
4,-0.20558,9.1585
5,-0.19624,9.1603
6,-0.15574,9.1482
7,-0.15263,9.1547
8,-0.13705,9.1557
9,-0.14328,9.1538
10,-0.11837,9.15
11,-0.10591,9.1524
12,-0.093446,9.1552
13,-0.059183,9.1503
14,-0.068527,9.1546
15,-0.052953,9.1495
16,-0.043608,9.1495
17,0.0031149,9.1383
18,0.024919,9.1394
19,0.040493,9.1457
20,0.024919,9.156
21,0.046723,9.1552
22,0.046723,9.1529
23,0.062298,9.1508
24,0.090331,9.1548
25,0.12771,9.1462
26,0.13705,9.141
27,0.16197,9.1413
28,0.1682,9.1484
29,0.18378,9.1447
30,0.21181,9.1454
31,0.23673,9.1467
32,0.27099,9.1475
33,0.29903,9.144
34,0.33018,9.1363
35,0.29903,9.149
36,0.34887,9.1517
37,0.37379,9.1541
38,0.42362,9.1475
39,0.47035,9.1347
40,0.49527,9.1385
41,0.51084,9.1332
42,0.53887,9.1348
43,0.54822,9.1431
44,0.56379,9.1507
45,0.63232,9.1445
46,0.65724,9.1407
47,0.68839,9.1391
48,0.71019,9.1406
49,0.732,9.1473
50,0.74134,9.1421
51,0.79429,9.1286
52,0.81921,9.1455
53,0.85971,9.1385
54,0.89085,9.1346
55,0.93446,9.1375
56,0.92823,9.1418
57,0.96561,9.1388
58,1.0435,9.1297
59,1.0622,9.1468
60,1.0996,9.1426
61,1.1338,9.1426
62,1.1774,9.1344
63,1.1992,9.1308
64,1.2491,9.1332
65,1.3114,9.1336
66,1.3487,9.1244
67,1.3799,9.1324
68,1.4391,9.1332
69,1.464,9.1391
70,1.4827,9.132
71,1.5294,9.137
72,1.5606,9.1442
73,1.6166,9.1359
74,1.6384,9.1392
75,1.682,9.1325
76,1.7132,9.1353
77,1.7724,9.1203
78,1.8284,9.12
79,1.8814,9.1266
80,1.9094,9.1282
81,1.9406,9.1396
82,1.9842,9.1337
83,2.0091,9.1359
84,2.034,9.1324
85,2.115,9.1293
86,2.1306,9.128
87,2.1991,9.1174
88,2.2271,9.1289
89,2.2614,9.1269
90,2.2988,9.1199
91,2.3299,9.1251
92,2.3704,9.1327
93,2.4016,9.137
94,2.4794,9.1194
95,2.5012,9.1334
96,2.5199,9.1257
97,2.5667,9.1274
98,2.6227,9.1243
99,2.6663,9.1287
100,2.7255,9.1294
101,2.766,9.1243
102,2.8034,9.1137
103,2.8314,9.1151
104,2.8781,9.1219
105,2.9186,9.1276
106,2.9747,9.1318
107,3.0059,9.1303
108,3.0495,9.1302
109,3.09,9.1212
110,3.1305,9.119
111,3.1772,9.107
112,3.2208,9.1202
113,3.2706,9.1191
114,3.3018,9.1164
115,3.3329,9.1202
116,3.3734,9.1188
117,3.4014,9.1269
118,3.4419,9.113
119,3.5011,9.1243
120,3.5011,9.128
121,3.5354,9.1224
122,3.579,9.1288
123,3.6257,9.1172
124,3.6475,9.1182
125,3.6974,9.1151
126,3.7472,9.1158
127,3.769,9.1171
128,3.8251,9.1145
129,3.878,9.1273
130,3.9092,9.1179
131,3.9465,9.1226
132,3.9995,9.1221
133,4.0618,9.1071
134,4.0867,9.1127
135,4.1334,9.1066
136,4.1739,9.1197
137,4.1989,9.118
138,4.2487,9.1135
139,4.3079,9.1145
140,4.3733,9.1169
141,4.3889,9.1206
142,4.4262,9.1152
143,4.4636,9.1187
144,4.4979,9.1215
145,4.5851,9.11
146,4.6349,9.1167
147,4.6817,9.1052
148,4.7097,9.1025
149,4.7595,9.1101
150,4.8,9.1126
151,4.8249,9.111
152,4.8841,9.1152
153,4.909,9.1213
154,4.9371,9.1082
155,4.9869,9.1143
156,5.0118,9.121
157,5.0492,9.1142
158,5.0897,9.1156
159,5.1582,9.1092
160,5.1832,9.1136
161,5.2299,9.1079
162,5.2673,9.1083
163,5.2891,9.1079
164,5.3545,9.1102
165,5.3981,9.1156
166,5.4417,9.1195
167,5.504,9.1149
168,5.5414,9.1147
169,5.5943,9.1091
170,5.6597,9.1077
171,5.7002,9.1077
172,5.7594,9.1102
