,V,I
0,-0.24296,9.5989
1,-0.24296,9.6116
2,-0.23673,9.6171
3,-0.23362,9.6092
4,-0.23985,9.6084
5,-0.24919,9.6151
6,-0.2087,9.602
7,-0.22739,9.5993
8,-0.18689,9.6011
9,-0.21493,9.6063
10,-0.19001,9.6027
11,-0.19312,9.6087
12,-0.16197,9.6044
13,-0.14328,9.6059
14,-0.13082,9.5996
15,-0.11837,9.6007
16,-0.11837,9.6054
17,-0.10591,9.5976
18,-0.084102,9.5965
19,-0.087217,9.5922
20,-0.059183,9.6083
21,-0.071642,9.6057
22,-0.034264,9.5948
23,-0.034264,9.5959
24,-0.034264,9.6029
25,-0.0062298,9.602
26,-0.031149,9.5955
27,0.0093446,9.6002
28,0.0062298,9.6005
29,0.043608,9.5962
30,0.043608,9.6001
31,0.046723,9.59
32,0.059183,9.5971
33,0.080987,9.5956
34,0.10279,9.591
35,0.13082,9.5882
36,0.12148,9.5964
37,0.17443,9.5987
38,0.1682,9.5961
39,0.20558,9.5914
40,0.21181,9.5896
41,0.23985,9.5953
42,0.28968,9.5925
43,0.28034,9.592
44,0.30214,9.5906
45,0.31772,9.5935
46,0.33641,9.583
47,0.3769,9.5923
48,0.41116,9.5978
49,0.44543,9.6024
50,0.47035,9.5885
51,0.50772,9.592
52,0.52953,9.5936
53,0.56068,9.5887
54,0.62609,9.5791
55,0.63232,9.584
56,0.66658,9.5936
57,0.67593,9.5859
58,0.72577,9.5859
59,0.7538,9.5846
60,0.80675,9.5864
61,0.84102,9.5925
62,0.86282,9.5871
63,0.8784,9.587
64,0.92823,9.5858
65,0.95315,9.5875
66,1.003,9.5833
67,1.0404,9.5757
68,1.0622,9.5807
69,1.0809,9.5835
70,1.1182,9.5847
71,1.1712,9.5824
72,1.1681,9.5955
73,1.2273,9.5921
74,1.2522,9.5854
75,1.2833,9.5873
76,1.3332,9.5834
77,1.3892,9.581
78,1.436,9.5784
79,1.5014,9.5767
80,1.5232,9.5836
81,1.5855,9.5804
82,1.6197,9.5755
83,1.6914,9.5792
84,1.7288,9.5852
85,1.7692,9.5837
86,1.8222,9.5747
87,1.8845,9.5783
88,1.925,9.5782
89,1.9842,9.5862
90,2.0465,9.5853
91,2.0932,9.5794
92,2.1275,9.5819
93,2.2022,9.5697
94,2.2583,9.5748
95,2.2925,9.5792
96,2.3704,9.5822
97,2.4296,9.5851
98,2.4639,9.5859
99,2.5355,9.5851
100,2.6414,9.5807
101,2.7037,9.5777
102,2.766,9.5704
103,2.847,9.5764
104,2.9062,9.58
105,2.9529,9.57
106,3.0526,9.5685
107,3.146,9.5778
108,3.2114,9.5785
109,3.2955,9.579
110,3.3765,9.577
111,3.4326,9.58
112,3.5198,9.5759
113,3.6257,9.5758
114,3.7067,9.5815
115,3.7659,9.5707
116,3.8593,9.5746
117,3.9279,9.5752
118,4.0213,9.5702
119,4.1148,9.5689
120,4.1989,9.5771
121,4.2767,9.5818
122,4.3421,9.5692
123,4.4325,9.5731
124,4.4979,9.584
125,4.5758,9.5765
126,4.6972,9.5778
127,4.7782,9.571
128,4.8779,9.5737
129,4.9807,9.5661
130,5.0741,9.566
131,5.1645,9.5753
132,5.2673,9.5732
133,5.4043,9.5694
134,5.4853,9.5746
135,5.5912,9.5732
136,5.6971,9.5786
137,5.7937,9.5767
138,5.9089,9.5709
139,6.0055,9.5703
140,6.1363,9.5757
141,6.2391,9.5742
142,6.3606,9.5692
143,6.4758,9.576
144,6.5599,9.5753
145,6.7063,9.5738
146,6.8247,9.5725
147,6.9586,9.5689
148,7.077,9.5649
149,7.1985,9.5705
150,7.3075,9.5737
151,7.4165,9.5692
152,7.5473,9.569
153,7.6595,9.5656
154,7.781,9.559
155,7.9274,9.5679
156,8.0115,9.5722
157,8.1267,9.5714
158,8.242,9.5608
159,8.3541,9.5747
160,8.4849,9.5773
161,8.5908,9.571
162,8.7403,9.5633
163,8.812,9.562
164,8.9272,9.5675
165,9.03,9.5654
166,9.139,9.5629
167,9.2543,9.5747
168,9.3882,9.5731
169,9.5315,9.5706
170,9.6405,9.5685
171,9.7527,9.563
172,9.9022,9.5669
173,10.005,9.5711
174,10.145,9.5646
175,10.273,9.5577
176,10.394,9.5659
177,10.506,9.5629
178,10.64,9.5611
179,10.765,9.5661
180,10.902,9.564
181,11.052,9.565
182,11.176,9.5661
183,11.307,9.5696
184,11.41,9.5645
185,11.541,9.5594
186,11.64,9.5637
187,11.777,9.5558
188,11.889,9.5643
189,12.017,9.5584
190,12.089,9.5634
191,12.207,9.5621
192,12.294,9.5629
193,12.413,9.5672
194,12.534,9.5577
195,12.659,9.5639
196,12.752,9.5678
197,12.874,9.56
198,12.998,9.5553
199,13.107,9.5524
200,13.226,9.5526
201,13.353,9.5568
202,13.456,9.5543
203,13.543,9.564
204,13.671,9.5607
205,13.796,9.5644
206,13.908,9.5485
207,14.033,9.5589
208,14.154,9.5646
209,14.26,9.561
210,14.366,9.5564
211,14.478,9.5494
212,14.568,9.5572
213,14.637,9.5472
214,14.746,9.5489
215,14.789,9.5575
216,14.877,9.5548
217,14.926,9.5605
218,15.001,9.5555
219,15.064,9.5601
220,15.113,9.5635
221,15.213,9.5589
222,15.3,9.5565
223,15.369,9.5411
224,15.434,9.5559
225,15.512,9.5561
226,15.587,9.5457
227,15.658,9.544
228,15.746,9.5579
229,15.833,9.5638
230,15.908,9.5539
231,15.989,9.5515
232,16.048,9.5677
233,16.113,9.5559
234,16.213,9.5455
235,16.303,9.5486
236,16.39,9.556
237,16.456,9.552
238,16.531,9.5517
239,16.615,9.554
240,16.683,9.55
241,16.802,9.5523
242,16.873,9.5489
243,16.929,9.5511
244,16.979,9.5596
245,17.057,9.5522
246,17.122,9.555
247,17.216,9.5414
248,17.319,9.5441
249,17.39,9.5502
250,17.453,9.5453
251,17.499,9.5511
252,17.574,9.5513
253,17.649,9.5548
254,17.721,9.5513
255,17.798,9.5526
256,17.883,9.5568
257,17.939,9.5521
258,18.038,9.5433
259,18.129,9.5436
260,18.178,9.5502
261,18.253,9.5513
262,18.319,9.5458
263,18.387,9.5471
264,18.446,9.5496
265,18.54,9.5465
266,18.618,9.5439
267,18.667,9.5426
268,18.742,9.5501
269,18.764,9.5522
270,18.848,9.5435
271,18.882,9.5441
272,18.938,9.5484
273,19.004,9.5466
274,19.047,9.5376
275,19.11,9.5463
276,19.175,9.5449
277,19.244,9.5441
278,19.281,9.5416
279,19.312,9.5421
280,19.346,9.5554
281,19.384,9.5434
282,19.421,9.5452
283,19.443,9.5407
284,19.471,9.548
285,19.493,9.5504
286,19.505,9.5433
287,19.54,9.5456
288,19.599,9.5519
289,19.652,9.5503
290,19.73,9.5409
291,19.767,9.5453
292,19.795,9.55
293,19.845,9.5475
294,19.91,9.5388
295,19.985,9.5352
296,20.007,9.5394
297,20.069,9.5483
298,20.103,9.5426
299,20.153,9.5382
300,20.203,9.5442
301,20.275,9.5515
302,20.318,9.5429
303,20.381,9.541
304,20.412,9.5456
305,20.459,9.5435
306,20.499,9.5389
307,20.571,9.53
308,20.599,9.5375
309,20.639,9.5413
310,20.667,9.5254
311,20.658,9.5438
312,20.677,9.5482
313,20.711,9.5451
314,20.733,9.5467
315,20.767,9.5456
316,20.792,9.5516
317,20.86,9.5347
318,20.882,9.5374
319,20.913,9.5333
320,20.982,9.5363
321,20.985,9.5402
322,21.035,9.5339
323,21.053,9.5433
324,21.119,9.5337
325,21.138,9.5418
326,21.2,9.5333
327,21.234,9.5373
328,21.265,9.5393
329,21.293,9.5343
330,21.324,9.5377
331,21.324,9.5325
332,21.331,9.5337
333,21.337,9.5346
334,21.343,9.5301
335,21.318,9.5355
336,21.324,9.5356
337,21.318,9.5403
338,21.275,9.5397
339,21.29,9.5328
340,21.287,9.5498
341,21.287,9.5334
342,21.275,9.5358
343,21.3,9.5356
344,21.303,9.5363
345,21.296,9.529
346,21.315,9.5177
347,21.306,9.5388
348,21.287,9.5402
349,21.337,9.5381
350,21.328,9.5411
351,21.346,9.533
352,21.334,9.5402
353,21.387,9.5333
354,21.399,9.5361
355,21.415,9.5249
356,21.458,9.5259
357,21.471,9.5325
358,21.462,9.527
359,21.477,9.5309
360,21.502,9.5301
361,21.502,9.5345
362,21.511,9.5273
363,21.511,9.5322
364,21.483,9.5396
365,21.452,9.533
366,21.468,9.5313
367,21.452,9.5335
368,21.465,9.5263
369,21.486,9.53
370,21.514,9.5236
371,21.483,9.5317
372,21.493,9.5245
373,21.468,9.5324
374,21.458,9.5292
375,21.437,9.5284
376,21.427,9.5403
377,21.405,9.5365
378,21.374,9.5357
379,21.356,9.5317
380,21.346,9.5383
381,21.359,9.5323
382,21.39,9.5273
383,21.377,9.5309
384,21.39,9.5409
385,21.409,9.5322
386,21.415,9.535
387,21.452,9.5308
388,21.483,9.5327
389,21.514,9.527
390,21.514,9.5322
391,21.539,9.5256
392,21.539,9.5248
393,21.561,9.5226
394,21.577,9.5229
395,21.605,9.5257
396,21.633,9.5263
397,21.645,9.5234
398,21.667,9.5218
399,21.68,9.5265
400,21.655,9.5308
401,21.673,9.5241
402,21.658,9.525
403,21.67,9.5207
404,21.636,9.523
405,21.633,9.5211
406,21.623,9.5195
407,21.583,9.528
408,21.602,9.529
409,21.583,9.5393
410,21.586,9.531
411,21.589,9.5258
412,21.567,9.531
413,21.561,9.5315
414,21.539,9.5282
415,21.564,9.5226
416,21.564,9.5256
417,21.567,9.5278
418,21.614,9.5231
419,21.617,9.528
420,21.648,9.5248
421,21.676,9.5236
422,21.732,9.5223
423,21.767,9.519
424,21.798,9.516
425,21.807,9.5168
426,21.779,9.5227
427,21.785,9.5189
428,21.789,9.5158
429,21.779,9.5193
430,21.779,9.5169
431,21.742,9.526
432,21.714,9.5248
433,21.701,9.5282
434,21.676,9.5281
435,21.692,9.5242
436,21.68,9.5297
437,21.692,9.5245
438,21.686,9.526
439,21.676,9.5187
440,21.667,9.5137
441,21.652,9.525
442,21.667,9.5138
443,21.642,9.5255
444,21.63,9.5282
445,21.658,9.5245
446,21.667,9.5248
447,21.701,9.5252
448,21.72,9.5276
449,21.739,9.5185
450,21.764,9.5211
451,21.789,9.5205
452,21.798,9.5208
453,21.817,9.5158
454,21.832,9.5115
455,21.848,9.5185
456,21.835,9.5227
457,21.86,9.52
458,21.863,9.5225
459,21.86,9.5187
460,21.857,9.5315
461,21.876,9.5243
462,21.901,9.5128
463,21.904,9.5074
464,21.919,9.5063
465,21.926,9.5153
466,21.904,9.501
467,21.888,9.5163
468,21.866,9.5221
469,21.885,9.5189
470,21.863,9.5178
471,21.898,9.5124
472,21.885,9.5232
473,21.866,9.5213
474,21.885,9.5201
475,21.901,9.5118
476,21.926,9.5119
477,21.916,9.5146
478,21.941,9.5101
479,21.926,9.5181
480,21.926,9.5189
481,21.923,9.5208
482,21.941,9.5196
483,21.932,9.5222
484,21.954,9.5175
485,21.966,9.5176
486,21.972,9.514
487,21.975,9.509
488,22.007,9.5121
489,22.028,9.508
490,22.003,9.5045
491,21.991,9.5062
492,21.975,9.5191
493,21.935,9.5194
494,21.923,9.5169
495,21.929,9.5153
496,21.916,9.5243
497,21.932,9.5124
498,21.932,9.5153
499,21.932,9.5196
500,21.932,9.5131
501,21.947,9.5064
502,21.957,9.5113
503,21.951,9.5169
504,21.932,9.517
505,21.969,9.517
506,21.954,9.517
507,21.975,9.5108
508,21.963,9.5216
509,22.016,9.5177
510,22.022,9.5109
511,22.05,9.5087
512,22.075,9.5174
513,22.103,9.5056
514,22.156,9.4909
515,22.169,9.507
516,22.212,9.5067
517,22.225,9.5106
518,22.222,9.4965
519,22.209,9.5114
520,22.197,9.5138
521,22.19,9.513
522,22.181,9.5071
523,22.172,9.5022
524,22.156,9.5103
525,22.131,9.513
526,22.137,9.5002
527,22.113,9.5035
528,22.113,9.5108
529,22.1,9.519
530,22.1,9.5147
531,22.094,9.5092
532,22.069,9.5198
533,22.072,9.5113
534,22.084,9.5051
535,22.06,9.5025
536,22.084,9.5076
537,22.094,9.5068
538,22.116,9.5002
539,22.103,9.5099
540,22.131,9.5092
541,22.181,9.5138
542,22.193,9.5073
543,22.25,9.4913
544,22.237,9.5105
545,22.25,9.5051
546,22.253,9.5056
547,22.268,9.5011
548,22.278,9.511
549,22.287,9.4992
550,22.343,9.4947
551,22.331,9.5
552,22.303,9.5086
553,22.312,9.5074
554,22.29,9.5011
555,22.278,9.5065
556,22.284,9.5043
557,22.284,9.5074
558,22.262,9.5068
559,22.262,9.503
560,22.25,9.5033
561,22.25,9.5051
562,22.265,9.4928
563,22.287,9.4996
564,22.293,9.5073
565,22.321,9.5091
566,22.334,9.5001
567,22.349,9.4991
568,22.371,9.5068
569,22.399,9.5001
570,22.436,9.4935
571,22.412,9.5004
572,22.402,9.5048
573,22.424,9.4995
574,22.43,9.4885
575,22.436,9.4949
576,22.464,9.504
577,22.477,9.5061
578,22.48,9.5025
579,22.499,9.4907
580,22.499,9.5037
581,22.486,9.5006
582,22.505,9.4927
583,22.499,9.4895
584,22.474,9.4975
585,22.471,9.4874
586,22.458,9.487
587,22.418,9.5007
588,22.405,9.5021
589,22.396,9.5051
590,22.421,9.5019
591,22.39,9.5016
592,22.424,9.4993
593,22.433,9.5026
594,22.424,9.4978
595,22.44,9.4913
596,22.471,9.4932
597,22.464,9.4952
598,22.474,9.49
599,22.493,9.494
600,22.493,9.507
601,22.486,9.5014
602,22.517,9.4958
603,22.542,9.4966
604,22.57,9.4951
605,22.592,9.4904
606,22.608,9.499
607,22.626,9.4929
608,22.642,9.491
609,22.689,9.486
610,22.729,9.4835
611,22.748,9.4825
612,22.729,9.4873
613,22.726,9.496
614,22.714,9.4908
615,22.707,9.4848
616,22.701,9.4917
617,22.726,9.4927
618,22.717,9.4944
619,22.723,9.4838
620,22.692,9.4934
621,22.695,9.4818
622,22.704,9.473
623,22.707,9.4928
624,22.707,9.4877
625,22.714,9.4931
626,22.683,9.4926
627,22.695,9.4963
628,22.701,9.4951
629,22.701,9.4922
630,22.707,9.4929
631,22.707,9.4874
632,22.729,9.488
633,22.717,9.4884
634,22.757,9.4794
635,22.773,9.4865
636,22.801,9.4802
637,22.845,9.4899
638,22.863,9.481
639,22.863,9.4841
640,22.873,9.4875
641,22.882,9.4849
642,22.891,9.4845
643,22.863,9.4793
644,22.901,9.4813
645,22.907,9.481
646,22.894,9.4735
647,22.882,9.4834
648,22.863,9.4845
649,22.848,9.4938
650,22.82,9.4895
651,22.835,9.4866
652,22.832,9.4972
653,22.82,9.4795
654,22.832,9.489
655,22.829,9.4821
656,22.838,9.4844
657,22.885,9.4766
658,22.913,9.4749
659,22.932,9.4857
660,22.95,9.483
661,23.0,9.4792
662,23.0,9.4772
663,23.044,9.4752
664,23.047,9.4786
665,23.084,9.4737
666,23.081,9.478
667,23.084,9.4782
668,23.115,9.4744
669,23.153,9.4693
670,23.147,9.4697
671,23.175,9.4799
672,23.181,9.4779
673,23.187,9.4789
674,23.181,9.4742
675,23.187,9.4803
676,23.19,9.4767
677,23.181,9.4716
678,23.187,9.4715
679,23.159,9.4711
680,23.128,9.4758
681,23.119,9.4725
682,23.115,9.4724
683,23.1,9.4781
684,23.109,9.4758
685,23.106,9.4798
686,23.147,9.4756
687,23.125,9.4778
688,23.159,9.4799
689,23.172,9.4701
690,23.184,9.4694
691,23.184,9.4668
692,23.184,9.4748
693,23.19,9.469
694,23.2,9.4656
695,23.203,9.4705
696,23.221,9.4791
697,23.259,9.4801
698,23.293,9.4724
699,23.321,9.472
700,23.346,9.4756
701,23.374,9.468
702,23.396,9.4648
703,23.452,9.4565
704,23.446,9.4663
705,23.474,9.4564
706,23.461,9.4619
707,23.458,9.4623
708,23.474,9.4629
709,23.471,9.4765
710,23.483,9.4647
711,23.505,9.471
712,23.514,9.4655
713,23.533,9.4639
714,23.53,9.4602
715,23.583,9.4535
716,23.548,9.4633
717,23.567,9.4551
718,23.57,9.4597
719,23.545,9.465
720,23.536,9.4655
721,23.536,9.4762
722,23.555,9.4697
723,23.545,9.4688
724,23.567,9.4729
725,23.601,9.4623
726,23.626,9.4586
727,23.654,9.4537
728,23.689,9.4591
729,23.701,9.4556
730,23.726,9.4437
731,23.729,9.4562
732,23.729,9.4594
733,23.72,9.4632
734,23.717,9.4585
735,23.735,9.4661
736,23.76,9.4633
737,23.795,9.4419
738,23.807,9.4551
739,23.835,9.452
740,23.829,9.4542
741,23.826,9.4486
742,23.807,9.4494
743,23.763,9.4601
744,23.785,9.4598
745,23.779,9.4711
746,23.763,9.4598
747,23.757,9.4641
748,23.782,9.467
749,23.816,9.4565
750,23.866,9.4501
751,23.916,9.4394
752,23.947,9.4559
753,23.988,9.4509
754,24.013,9.4347
755,24.044,9.4422
756,24.062,9.4472
757,24.109,9.4466
758,24.128,9.4512
