,V,I
0,-0.2305,8.8504
1,-0.23362,8.8513
2,-0.21181,8.8433
3,-0.2087,8.8331
4,-0.18689,8.8371
5,-0.17443,8.8415
6,-0.15886,8.8522
7,-0.16197,8.8589
8,-0.16509,8.8458
9,-0.14017,8.8371
10,-0.10591,8.8443
11,-0.10591,8.8446
12,-0.093446,8.8451
13,-0.10591,8.8468
14,-0.090331,8.8397
15,-0.059183,8.8378
16,-0.046723,8.8454
17,-0.046723,8.8417
18,-0.031149,8.8396
19,-0.015574,8.8427
20,0.018689,8.8422
21,0.018689,8.8429
22,0.034264,8.8355
23,0.031149,8.8324
24,0.059183,8.8426
25,0.080987,8.8486
26,0.090331,8.847
27,0.087217,8.8333
28,0.12148,8.8375
29,0.13394,8.8385
30,0.18066,8.8487
31,0.18689,8.8449
32,0.21493,8.8345
33,0.2305,8.8238
34,0.24919,8.8365
35,0.25542,8.8389
36,0.28034,8.8506
37,0.29591,8.8407
38,0.33329,8.8403
39,0.3551,8.835
40,0.38936,8.8349
41,0.40493,8.8387
42,0.43608,8.8509
43,0.43608,8.8491
44,0.47969,8.842
45,0.52018,8.8317
46,0.55133,8.8286
47,0.56691,8.832
48,0.61986,8.8313
49,0.61052,8.8421
50,0.65412,8.8384
51,0.69773,8.8335
52,0.71331,8.8373
53,0.72577,8.8352
54,0.78806,8.8296
55,0.82856,8.8424
56,0.86905,8.8331
57,0.91889,8.8314
58,0.92823,8.8348
59,0.95315,8.8329
60,1.0186,8.8339
61,1.0591,8.8446
62,1.084,8.8371
63,1.1307,8.8274
64,1.1837,8.8305
65,1.2335,8.8413
66,1.2615,8.8405
67,1.2989,8.8358
68,1.3238,8.8305
69,1.3737,8.8306
70,1.4204,8.8367
71,1.4796,8.8368
72,1.4858,8.84
73,1.5481,8.8403
74,1.6042,8.8375
75,1.6758,8.8315
76,1.7007,8.832
77,1.7692,8.8238
78,1.8253,8.8293
79,1.8689,8.838
80,1.9406,8.8308
81,1.9966,8.8362
82,2.0558,8.832
83,2.0994,8.8254
84,2.1648,8.8328
85,2.2209,8.8407
86,2.2832,8.829
87,2.333,8.829
88,2.386,8.8332
89,2.4514,8.8353
90,2.5262,8.8314
91,2.5853,8.8305
92,2.6383,8.8251
93,2.7006,8.8265
94,2.7629,8.8245
95,2.8065,8.8324
96,2.875,8.84
97,2.9311,8.8443
98,2.9778,8.8329
99,3.0619,8.8241
100,3.1336,8.8275
101,3.1959,8.8341
102,3.28,8.8319
103,3.3173,8.8279
104,3.389,8.829
105,3.4855,8.8192
106,3.5447,8.827
107,3.6008,8.8292
108,3.6662,8.8304
109,3.7285,8.83
110,3.8095,8.8356
111,3.8718,8.8336
112,3.9559,8.8306
113,4.0057,8.8164
114,4.0867,8.8238
115,4.149,8.8332
116,4.2362,8.8397
117,4.2861,8.8247
118,4.3639,8.8212
