,V,I
0,-0.23362,9.2192
1,-0.23362,9.1995
2,-0.21493,9.2037
3,-0.21493,9.1971
4,-0.21804,9.2043
5,-0.19935,9.2074
6,-0.19312,9.1943
7,-0.17443,9.2007
8,-0.15886,9.1976
9,-0.1464,9.206
10,-0.15574,9.2079
11,-0.14017,9.202
12,-0.13082,9.2066
13,-0.11525,9.203
14,-0.093446,9.2037
15,-0.10279,9.2017
16,-0.077872,9.2049
17,-0.065412,9.1976
18,-0.037379,9.1832
19,-0.021804,9.193
20,-0.0062298,9.1934
21,0.0,9.2036
22,0.021804,9.2084
23,0.043608,9.2076
24,0.043608,9.2102
25,0.056068,9.1986
26,0.074757,9.194
27,0.099676,9.1964
28,0.099676,9.2014
29,0.1464,9.2011
30,0.14951,9.1955
31,0.17443,9.1926
32,0.18689,9.2015
33,0.21804,9.1977
34,0.23362,9.1956
35,0.23985,9.1958
36,0.25853,9.2056
37,0.28345,9.1983
38,0.31772,9.2007
39,0.32706,9.1989
40,0.35821,9.191
41,0.38936,9.1975
42,0.41428,9.1924
43,0.45166,9.192
44,0.47346,9.2032
45,0.48281,9.2059
46,0.50461,9.1984
47,0.5451,9.196
48,0.58248,9.2
49,0.59806,9.198
50,0.67593,9.1956
51,0.67281,9.1976
52,0.68216,9.1997
53,0.7538,9.1943
54,0.79741,9.1929
55,0.82233,9.1968
56,0.86905,9.1951
57,0.91266,9.1926
58,0.93135,9.1984
59,0.96873,9.1956
60,1.031,9.2053
61,1.0591,9.1991
62,1.1058,9.2039
63,1.1743,9.1918
64,1.2148,9.1889
65,1.2646,9.1831
66,1.2896,9.1812
67,1.3363,9.1952
68,1.3799,9.1945
69,1.4142,9.1963
70,1.4796,9.2016
71,1.5419,9.1994
72,1.5699,9.2007
73,1.6291,9.1961
74,1.682,9.1904
75,1.7288,9.1881
76,1.7755,9.188
77,1.8471,9.1929
78,1.8907,9.1905
79,1.9343,9.1956
80,2.0091,9.194
81,2.0589,9.1979
82,2.1243,9.1875
83,2.1866,9.1927
84,2.2458,9.203
85,2.3019,9.192
86,2.3704,9.184
87,2.4389,9.1855
88,2.4857,9.1814
89,2.5604,9.1804
90,2.6414,9.1854
91,2.6632,9.195
92,2.7193,9.2025
93,2.766,9.1991
94,2.8501,9.1956
95,2.8875,9.1873
96,2.9529,9.1938
97,3.009,9.1939
98,3.0837,9.186
99,3.1523,9.1859
100,3.2114,9.1886
101,3.2955,9.1883
102,3.3454,9.1819
103,3.4232,9.1846
104,3.4575,9.1878
105,3.5603,9.1836
106,3.5759,9.1932
107,3.6444,9.196
108,3.7129,9.1949
109,3.7783,9.1883
110,3.8282,9.1863
111,3.9279,9.191
112,3.9964,9.1914
113,4.04,9.1881
114,4.121,9.1744
115,4.177,9.1868
116,4.2456,9.1855
117,4.3172,9.1921
118,4.4013,9.1919
119,4.473,9.1897
120,4.5695,9.179
121,4.6225,9.1858
122,4.6941,9.1861
123,4.7595,9.1822
124,4.8405,9.1846
125,4.9059,9.1798
126,4.9745,9.1789
127,5.0243,9.1857
128,5.0897,9.187
129,5.1427,9.1914
130,5.2143,9.1852
131,5.2953,9.1844
132,5.3451,9.1949
133,5.3981,9.1879
134,5.4573,9.182
135,5.5601,9.1754
136,5.5912,9.1846
137,5.6815,9.1709
138,5.7563,9.1799
139,5.8124,9.1868
140,5.8747,9.187
141,5.9806,9.1855
142,6.0429,9.1815
143,6.0927,9.19
144,6.1706,9.1886
145,6.2484,9.1859
146,6.3107,9.1758
147,6.4011,9.1759
