,V,I
0,-0.24919,9.6627
1,-0.21493,9.659
2,-0.21804,9.6576
3,-0.21804,9.6617
4,-0.20558,9.6599
5,-0.19312,9.6558
6,-0.18689,9.6496
7,-0.18066,9.6591
8,-0.1682,9.6549
9,-0.15263,9.6508
10,-0.14017,9.6554
11,-0.1246,9.6516
12,-0.11837,9.6612
13,-0.11525,9.6605
14,-0.11525,9.6518
15,-0.090331,9.6566
16,-0.077872,9.6513
17,-0.056068,9.6504
18,-0.028034,9.6484
19,-0.024919,9.6552
20,-0.024919,9.6582
21,0.0062298,9.6401
22,0.040493,9.648
23,0.037379,9.6548
24,0.080987,9.6564
25,0.10902,9.6447
26,0.10279,9.6459
27,0.11214,9.6537
28,0.15886,9.6426
29,0.18066,9.6544
30,0.21181,9.6509
31,0.2305,9.6433
32,0.28034,9.642
33,0.27722,9.6434
34,0.32083,9.643
35,0.36444,9.6422
36,0.38936,9.6456
37,0.40805,9.647
38,0.45789,9.6487
39,0.50772,9.6514
40,0.52641,9.6484
41,0.58871,9.648
42,0.63543,9.6406
43,0.65412,9.632
44,0.71019,9.6418
45,0.74134,9.6346
46,0.77249,9.6431
47,0.8161,9.6459
48,0.85036,9.6486
49,0.88462,9.6472
50,0.93758,9.6439
51,1.003,9.6537
52,1.0497,9.642
53,1.1214,9.6371
54,1.1494,9.6349
55,1.193,9.6387
56,1.2678,9.636
57,1.3301,9.6369
58,1.3892,9.643
59,1.4546,9.6373
60,1.5107,9.6404
61,1.5792,9.6444
62,1.626,9.649
63,1.6976,9.6478
64,1.7661,9.6347
65,1.8222,9.6383
66,1.9094,9.6356
67,1.9811,9.6354
68,2.0496,9.6331
69,2.1212,9.6327
70,2.1898,9.6432
71,2.2801,9.6441
72,2.3767,9.6434
73,2.4608,9.6283
74,2.5511,9.633
75,2.6103,9.6382
76,2.6975,9.6313
77,2.7816,9.6286
78,2.9,9.627
79,2.9872,9.6374
80,3.0775,9.6311
81,3.1585,9.6269
82,3.2364,9.634
83,3.3142,9.6311
84,3.417,9.6275
85,3.5074,9.6282
86,3.5852,9.6397
87,3.6631,9.639
88,3.7815,9.6344
89,3.8687,9.631
90,3.9808,9.6154
91,4.0836,9.6322
92,4.1802,9.6295
93,4.2705,9.614
94,4.3764,9.6168
95,4.4823,9.6262
96,4.5633,9.629
97,4.6505,9.6235
98,4.7564,9.6276
99,4.8156,9.6337
100,4.9184,9.6212
101,5.0305,9.6214
102,5.1084,9.6266
103,5.205,9.6246
104,5.2828,9.619
105,5.4074,9.6148
106,5.4791,9.6175
107,5.6005,9.6089
108,5.6846,9.634
109,5.7719,9.6227
